actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-27T03:11:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T03:11:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-27T03:11:24.9Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2023-12-27T03:11:24Z,40000,False,,,0,,Jump Ball M. Brown vs. D. Sabonis: Tip to J. Grant,"[203924, 1629650, 1627734]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Brown,1629650.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-12-27T03:11:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,90.3580814717477,42.8921568627451,1610612757,0,0,2023-12-27T03:11:56Z,70000,False,-36.0,38.0,1,right,MISS M. Brogdon driving floating Shot - blocked,"[1627763, 1631099]",1610612757.0,POR,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,Murray,1631099.0,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-12-27T03:11:48.5Z,1,REGULAR,block,,[],1631099,,,1610612757,0,0,2023-12-27T03:11:53Z,80000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2023-12-27T03:11:48.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2023-12-27T03:11:56Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2023-12-27T03:12:06.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,0,0,2023-12-27T03:12:16Z,110000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Left,,,,,,1204.0,,,,,,,,,,,,,,
12,PT11M20.00S,2023-12-27T03:12:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,5.075558475689881,52.94117647058824,1610612758,0,2,2023-12-27T03:12:53Z,120000,False,-15.0,-5.0,1,left,D. Sabonis cutting Layup (2 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.55,Made,,,,,2.0,K. Murray,1631099.0,1.0,,,,,,,,,,
14,PT11M20.00S,2023-12-27T03:12:32.8Z,1,REGULAR,foul,personal,['1freethrow'],1629650,,,1610612758,0,2,2023-12-27T03:12:43Z,140000,False,,,0,,M. Brown shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1629650, 1627734]",1610612757.0,POR,shooting,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,,,,,,1204.0,,,,,1.0,0.0,Sabonis,1627734.0,,,,,,
16,PT11M20.00S,2023-12-27T03:12:57.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627734,,,1610612758,0,3,2023-12-27T03:12:57Z,160000,False,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
17,PT11M05.00S,2023-12-27T03:13:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,68.01905387647832,76.22549019607843,1610612757,0,3,2023-12-27T03:13:17Z,170000,False,131.0,248.0,1,right,MISS A. Simons 28' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,28.06,Missed,,,,,,,,,,,,,,,,,,
18,PT11M02.00S,2023-12-27T03:13:16.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,3,2023-12-27T03:13:17Z,180000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,17.0,,,,,,,,,,1.0,1.0,0.0,,,
19,PT10M54.00S,2023-12-27T03:13:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.075558475689881,51.71568627450981,1610612758,0,3,2023-12-27T03:14:42Z,190000,False,-9.0,-5.0,1,left,MISS D. Sabonis cutting Layup,[1627734],1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2023-12-27T03:13:27.7Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,3,2023-12-27T03:14:42Z,200000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,19.0,,,,,,,,,,1.0,0.0,1.0,,,
