actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-15T03:11:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-15T03:11:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-15T03:11:43.0Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-12-15T03:11:43Z,40000,False,,,0,,Jump Ball W. Kessler vs. D. Ayton: Tip to T. Horton-Tucker,"[1629659, 1631117, 1629028]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-15T03:11:58.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,93.64323258869908,49.01960784313725,1610612762,0,2,2023-12-15T03:12:04Z,70000,False,-5.0,7.0,1,right,W. Kessler alley-oop DUNK (2 PTS) (C. Sexton 1 AST),"[1631117, 1629012]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
10,PT11M18.00S,2023-12-15T03:12:34.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,13.222733245729303,26.96078431372549,1610612757,2,2,2023-12-15T03:12:41Z,100000,False,115.0,72.0,1,left,D. Ayton 13' turnaround Jump Shot (2 PTS) (S. Sharpe 1 AST),"[1629028, 1631101]",1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,13.57,Made,2.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2023-12-15T03:13:11.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,76.82325886990802,85.7843137254902,1610612762,2,2,2023-12-15T03:13:17Z,130000,False,179.0,165.0,1,right,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.36,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2023-12-15T03:13:15.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,2,2,2023-12-15T03:13:17Z,140000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M45.00S,2023-12-15T03:13:20.7Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612757,2,2,2023-12-15T03:13:29Z,150000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Simons 2 FT),"[203482, 1629014]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101283.0,1.0,0.0,Simons,1629014.0,,,,,
17,PT10M45.00S,2023-12-15T03:13:42.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629014,,,1610612757,3,2,2023-12-15T03:14:01Z,170000,False,,,0,,A. Simons Free Throw 1 of 2 (1 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2023-12-15T03:13:42.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629014,,,1610612757,3,2,2023-12-15T03:14:01Z,180000,False,,,0,,MISS A. Simons Free Throw 2 of 2,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2023-12-15T03:13:46.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,3,2,2023-12-15T03:14:01Z,190000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M31.00S,2023-12-15T03:14:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,94.1688567674113,54.41176470588235,1610612762,3,4,2023-12-15T03:14:15Z,200000,False,22.0,2.0,1,right,S. Fontecchio driving Layup (2 PTS) (C. Sexton 2 AST),"[1631323, 1629012]",1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,C. Sexton,1629012.0,2.0,,,,,,,,,,,,,,
22,PT10M16.00S,2023-12-15T03:14:24.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,19.004599211563733,6.127450980392156,1610612757,3,4,2023-12-15T03:14:34Z,220000,False,219.0,126.0,1,left,MISS S. Sharpe 25' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,25.31,Missed,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2023-12-15T03:14:31.8Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,3,4,2023-12-15T03:14:34Z,230000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,
24,PT10M09.00S,2023-12-15T03:14:32.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641739,5.590000152587891,50.0,1610612757,5,4,2023-12-15T03:14:50Z,240000,False,0.0,0.0,1,left,T. Camara putback Layup (2 PTS),[1641739],1610612757.0,POR,putback,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2023-12-15T03:14:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629659,71.7969776609724,24.264705882352942,1610612762,5,4,2023-12-15T03:15:43Z,250000,False,-129.0,213.0,1,right,MISS T. Horton-Tucker 24' pullup 3PT,[1629659],1610612762.0,UTA,pullup,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2023-12-15T03:14:41.2Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,5,4,2023-12-15T03:14:47Z,260000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M49.00S,2023-12-15T03:14:52.3Z,1,REGULAR,2pt,Jump Shot,[],1631101,21.107095926412615,33.57843137254902,1610612757,5,4,2023-12-15T03:16:14Z,270000,False,82.0,146.0,1,left,MISS S. Sharpe 16' Jump Shot,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,16.74,Missed,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2023-12-15T03:14:54.3Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,5,4,2023-12-15T03:16:14Z,280000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,
29,PT09M44.00S,2023-12-15T03:14:57.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1641739,7.440867279894875,43.38235294117647,1610612757,5,4,2023-12-15T03:16:52Z,290000,False,33.0,17.0,1,left,MISS T. Camara Hook - blocked,"[1641739, 1631117]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,Kessler,1631117.0,,,
30,PT09M44.00S,2023-12-15T03:14:57.4Z,1,REGULAR,block,,[],1631117,,,1610612757,5,4,2023-12-15T03:14:59Z,300000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M41.00S,2023-12-15T03:15:00.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,5,4,2023-12-15T03:15:06Z,310000,False,,,0,,D. Ayton REBOUND (Off:2 Def:0),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,29.0,2.0,0.0,2.0,,,,,,,,,,
32,PT09M41.00S,2023-12-15T03:15:00.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629028,7.178055190538765,44.36274509803921,1610612757,7,4,2023-12-15T03:15:10Z,320000,False,28.0,15.0,1,left,D. Ayton turnaround Jump Shot (4 PTS),[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.19,Made,4.0,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2023-12-15T03:15:14.9Z,1,REGULAR,foul,personal,[],1641739,,,1610612762,7,4,2023-12-15T03:18:53Z,330000,False,,,0,,T. Camara personal FOUL (1 PF),"[1641739, 203482]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202056.0,1.0,0.0,Olynyk,203482.0,,,,,
35,PT09M27.00S,2023-12-15T03:15:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,89.30683311432325,37.745098039215684,1610612762,7,6,2023-12-15T03:15:48Z,350000,False,-61.0,48.0,1,right,C. Sexton 7' turnaround Jump Shot (2 PTS),[1629012],1610612762.0,UTA,turnaround,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,2.0,,,,,,,,,,,,,,,,,
36,PT09M27.00S,2023-12-15T03:15:43.6Z,1,REGULAR,foul,personal,['1freethrow'],1629680,,,1610612762,7,6,2023-12-15T03:15:49Z,360000,False,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Sexton 1 FT),"[1629680, 1629012]",1610612757.0,POR,shooting,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,101283.0,1.0,0.0,Sexton,1629012.0,,,,,
38,PT09M27.00S,2023-12-15T03:16:11.7Z,1,REGULAR,freethrow,1 of 1,[],1629012,,,1610612762,7,7,2023-12-15T03:16:11Z,380000,False,,,0,,C. Sexton Free Throw 1 of 1 (3 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
39,PT09M17.00S,2023-12-15T03:16:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629680,13.354139290407357,50.73529411764706,1610612757,7,7,2023-12-15T03:18:10Z,390000,False,-4.0,73.0,1,left,MISS M. Thybulle 7' driving floating Shot,[1629680],1610612757.0,POR,driving floating,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,,,,,,,,,,,,,
40,PT09M15.00S,2023-12-15T03:16:22.3Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,7,7,2023-12-15T03:16:25Z,400000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT09M10.00S,2023-12-15T03:16:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,90.48948751642575,49.50980392156863,1610612762,7,9,2023-12-15T03:19:17Z,410000,False,-2.0,37.0,1,right,T. Horton-Tucker driving Layup (2 PTS),[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,,,,,,,,,,,
42,PT09M10.00S,2023-12-15T03:16:35.8Z,1,REGULAR,foul,personal,['1freethrow'],1629028,,,1610612762,7,9,2023-12-15T03:16:41Z,420000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Horton-Tucker 1 FT),"[1629028, 1629659]",1610612757.0,POR,shooting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202056.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,
44,PT09M10.00S,2023-12-15T03:16:55.2Z,1,REGULAR,freethrow,1 of 1,[],1629659,,,1610612762,7,10,2023-12-15T03:16:55Z,440000,False,,,0,,T. Horton-Tucker Free Throw 1 of 1 (3 PTS),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
