actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-09T03:12:12.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-09T03:12:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-09T03:12:15.1Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-02-09T03:12:15Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Walker: Tip to C. Cunningham,"[1630595, 1631105, 1631133]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Walker,1631133.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-02-09T03:12:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630595,96.40275952693824,3.431372549019608,1610612765,0,0,2024-02-09T03:12:48Z,70000,False,-233.0,-19.0,1,right,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Left Corner 3,24+ Left,23.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-02-09T03:12:39.0Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,0,0,2024-02-09T03:12:39Z,80000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-09T03:12:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641709,90.62089356110381,56.372549019607845,1610612765,0,0,2024-02-09T03:13:25Z,90000,False,32.0,36.0,1,right,MISS A. Thompson driving floating bank Shot,[1641709],1610612765.0,DET,driving floating bank,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-02-09T03:12:47.3Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,0,0,2024-02-09T03:12:51Z,100000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M25.00S,2024-02-09T03:12:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,94.40999984741211,50.0,1610612765,0,0,2024-02-09T03:12:45Z,110000,False,0.0,0.0,1,right,MISS J. Duren tip Layup,[1631105],1610612765.0,DET,tip,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-02-09T03:12:46.5Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,0,0,2024-02-09T03:12:46Z,120000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M19.00S,2024-02-09T03:12:52.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641739,7.835085413929041,38.970588235294116,1610612757,0,0,2024-02-09T03:16:01Z,130000,False,55.0,21.0,1,left,MISS T. Camara running Layup,[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,5.9,Missed,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2024-02-09T03:12:53.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2024-02-09T03:13:02Z,140000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
