actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-21T02:11:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-21T02:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-21T02:11:32.6Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2024-03-21T02:11:32Z,40000,False,,,0,,Jump Ball D. Ayton vs. I. Zubac: Tip to A. Simons,"[1629014, 1629028, 1627826]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Ayton,1629028.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-21T02:11:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,18.2161629434954,47.794117647058826,1610612757,2,0,2024-03-21T02:11:53Z,70000,False,11.0,119.0,1,left,S. Henderson 11' driving floating Jump Shot (2 PTS),[1630703],1610612757.0,POR,driving floating,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,11.92,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2024-03-21T02:12:13.4Z,1,REGULAR,3pt,Jump Shot,[],202331,89.17542706964521,95.34313725490196,1610612746,2,0,2024-03-21T02:12:20Z,80000,False,227.0,49.0,1,right,MISS P. George step back 3PT,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Right Corner 3,24+ Right,23.2,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2024-03-21T02:12:17.4Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,0,2024-03-21T02:12:20Z,90000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M07.00S,2024-03-21T02:12:22.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629599,86.02168199737189,57.59803921568627,1610612746,2,0,2024-03-21T02:12:26Z,100000,False,38.0,79.0,1,right,MISS A. Coffey 8' turnaround Shot,[1629599],1610612746.0,LAC,turnaround,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),8-16 Center,8.76,Missed,,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2024-03-21T02:12:25.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,2,0,2024-03-21T02:12:26Z,110000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M58.00S,2024-03-21T02:12:31.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,25.969119579500656,50.0,1610612757,2,0,2024-03-21T02:12:38Z,120000,False,0.0,192.0,1,left,MISS D. Ayton 19' pullup Shot,[1629028],1610612757.0,POR,pullup,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,19.16,Missed,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2024-03-21T02:12:36.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,0,2024-03-21T02:12:38Z,130000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M45.00S,2024-03-21T02:12:44.6Z,1,REGULAR,3pt,Jump Shot,[],201935,70.64717477003943,75.24509803921569,1610612746,2,0,2024-03-21T02:12:49Z,140000,False,126.0,223.0,1,right,MISS J. Harden 25' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
