actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2024-02-14T03:11:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-14T03:11:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-14T03:12:01.9Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2024-02-14T03:12:01Z,40000,False,,,0,,Jump Ball D. Ayton vs. R. Gobert: Tip to A. Simons,"[1629014, 1629028, 203497]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Ayton,1629028.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-14T03:12:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,5.206964520367937,50.245098039215684,1610612757,2,0,2024-02-14T03:12:22Z,70000,False,-1.0,-4.0,1,left,D. Ayton reverse Layup (2 PTS) (T. Camara 1 AST),"[1629028, 1641739]",1610612757.0,POR,reverse,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.38,Made,2.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-14T03:12:34.3Z,1,REGULAR,foul,personal,[],1629680,,,1610612750,2,0,2024-02-14T03:12:42Z,90000,False,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1630162]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2003.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,
11,PT11M17.00S,2024-02-14T03:13:07.0Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,2,0,2024-02-14T03:13:11Z,110000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 203924]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,1.0,Grant,203924.0,,,,,,
12,PT11M17.00S,2024-02-14T03:13:07.0Z,1,REGULAR,steal,,[],203924,,,1610612757,2,0,2024-02-14T03:13:08Z,120000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2024-02-14T03:13:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629014,5.601182654402102,49.26470588235294,1610612757,4,0,2024-02-14T03:13:18Z,130000,False,4.0,0.0,1,left,A. Simons running Layup (2 PTS),[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,0.37,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2024-02-14T03:13:21.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,64.73390275952694,52.69607843137255,1610612750,4,0,2024-02-14T03:13:25Z,140000,False,13.0,279.0,1,right,MISS K. Towns 27' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,27.93,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-02-14T03:13:23.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,4,0,2024-02-14T03:13:25Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,14.0,,,,,
17,PT10M51.00S,2024-02-14T03:13:39.0Z,1,REGULAR,3pt,Jump Shot,[],1641739,26.757555847568987,81.61764705882352,1610612757,7,0,2024-02-14T03:13:48Z,170000,False,-158.0,199.0,1,left,T. Camara 25' 3PT pullup (3 PTS) (A. Simons 1 AST),"[1641739, 1629014]",1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,25.42,Made,3.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
