actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-02-26T02:13:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-26T02:13:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-26T02:13:33.1Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2024-02-26T02:13:33Z,40000,False,,,0,,Jump Ball N. Richards vs. D. Ayton: Tip to M. Bridges,"[1628970, 1630208, 1629028]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-02-26T02:13:58.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,0,0,2024-02-26T02:14:11Z,70000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1148.0,,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-02-26T02:14:27.6Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612757,0,0,2024-02-26T02:14:33Z,80000,False,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 1630544]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,,1.0,Mann,1630544.0,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-02-26T02:14:27.6Z,1,REGULAR,steal,,[],1630544,,,1610612766,0,0,2024-02-26T02:14:29Z,90000,False,,,0,,T. Mann STEAL (1 STL),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-02-26T02:14:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630544,93.9060446780552,51.71568627450981,1610612766,0,2,2024-02-26T02:14:48Z,100000,False,9.0,5.0,1,right,T. Mann running Layup (2 PTS),[1630544],1610612766.0,CHA,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,0.98,Made,2.0,,,,,,,,,,,,,
11,PT11M19.00S,2024-02-26T02:14:33.1Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612766,0,2,2024-02-26T02:14:43Z,110000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Mann 1 FT),"[1629014, 1630544]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,202037.0,,,,,,,1.0,0.0,Mann,1630544.0,,,,,,,,,
13,PT11M19.00S,2024-02-26T02:15:06.3Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630544,,,1610612766,0,3,2024-02-26T02:15:06Z,130000,False,,,0,,T. Mann Free Throw 1 of 1 (3 PTS),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
14,PT11M08.00S,2024-02-26T02:15:18.8Z,1,REGULAR,2pt,Jump Shot,[],1629028,22.552562417871222,50.73529411764706,1610612757,0,3,2024-02-26T02:15:22Z,140000,False,-4.0,159.0,1,left,MISS D. Ayton 15' pullup Shot,[1629028],1610612757.0,POR,pullup,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,,,,,15.95,Missed,,,,,,,,,,,,,,
15,PT11M05.00S,2024-02-26T02:15:21.8Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,0,3,2024-02-26T02:15:22Z,150000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
