actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-09T03:11:26.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-09T03:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-09T03:11:30.1Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-03-09T03:11:30Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Reath: Tip to J. Smith Jr.,"[1631095, 1630578, 1641871]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-09T03:11:43.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.51576872536137,74.50980392156863,1610612745,0,3,2024-03-09T03:11:49Z,70000,False,123.0,225.0,1,right,J. Green 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.59,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-03-09T03:12:05.2Z,1,REGULAR,3pt,Jump Shot,[],1631200,28.465834428383708,26.715686274509803,1610612757,0,3,2024-03-09T03:12:10Z,90000,False,116.0,215.0,1,left,MISS K. Murray 24' 3PT,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,24.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-03-09T03:12:09.2Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,3,2024-03-09T03:12:10Z,100000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2024-03-09T03:12:12.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,67.36202365308804,64.95098039215686,1610612745,0,6,2024-03-09T03:12:20Z,110000,False,75.0,254.0,1,right,F. VanVleet 26' 3PT running pullup (3 PTS) (J. Smith Jr. 1 AST),"[1627832, 1631095]",1610612745.0,HOU,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,26.51,Made,3.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-03-09T03:12:26.7Z,1,REGULAR,3pt,Jump Shot,[],1631200,29.38567674113009,21.323529411764707,1610612757,0,6,2024-03-09T03:12:33Z,130000,False,143.0,224.0,1,left,MISS K. Murray 26' 3PT,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.57,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-03-09T03:12:26.7Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,6,2024-03-09T03:12:33Z,140000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M52.00S,2024-03-09T03:12:35.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,68.15045992115637,77.69607843137256,1610612745,0,6,2024-03-09T03:14:02Z,150000,False,138.0,247.0,1,right,MISS J. Green 28' running 3PT,[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,28.31,Missed,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2024-03-09T03:12:38.0Z,1,REGULAR,rebound,defensive,[],1641871,,,1610612757,0,6,2024-03-09T03:14:24Z,160000,False,,,0,,D. Reath REBOUND (Off:0 Def:1),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Right Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M37.00S,2024-03-09T03:12:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,28.203022339027594,81.37254901960785,1610612757,3,6,2024-03-09T03:12:54Z,170000,False,-157.0,213.0,1,left,A. Simons 26' 3PT step back (3 PTS),[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.42,Made,3.0,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2024-03-09T03:13:27.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,74.32654402102497,27.696078431372552,1610612745,3,6,2024-03-09T03:13:32Z,190000,False,-112.0,189.0,1,right,MISS F. VanVleet 21' pullup Shot,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left Center,21.93,Missed,,,,,,,,,,,,,,,,,,
20,PT10M09.00S,2024-03-09T03:13:30.4Z,1,REGULAR,rebound,defensive,[],1641871,,,1610612757,3,6,2024-03-09T03:13:32Z,200000,False,,,0,,D. Reath REBOUND (Off:0 Def:2),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Mid-Range,16-24 Left Center,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT09M58.00S,2024-03-09T03:13:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631200,7.440867279894875,57.35294117647059,1610612757,5,6,2024-03-09T03:13:45Z,210000,False,-37.0,17.0,1,left,K. Murray driving Layup (2 PTS) (D. Banton 1 AST),"[1631200, 1630625]",1610612757.0,POR,driving,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,4.07,Made,2.0,D. Banton,1630625.0,1.0,,,,,,,,,,,,,,
