actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-13T02:12:29.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-13T02:12:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-13T02:12:33.5Z,1,REGULAR,jumpball,recovered,[],1641712,,,1610612757,0,0,2024-04-13T02:12:33Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Landale: Tip to R. Rupert,"[1641712, 1629028, 1629111]",1610612757.0,POR,startperiod,R. Rupert,1641712.0,Rupert,R. Rupert,Ayton,1629028.0,Landale,1629111.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-13T02:12:49.4Z,1,REGULAR,3pt,Jump Shot,[],1631133,29.25427069645204,21.323529411764707,1610612757,3,0,2024-04-13T02:12:56Z,70000,False,143.0,222.0,1,left,J. Walker 26' 3PT  (3 PTS) (D. Ayton 1 AST),"[1631133, 1629028]",1610612757.0,POR,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,26.47,Made,3.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2024-04-13T02:13:11.2Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,3,0,2024-04-13T02:13:16Z,90000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1629028]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Ayton,1629028.0,,,,,,,,,,,
10,PT11M18.00S,2024-04-13T02:13:11.2Z,1,REGULAR,steal,,[],1629028,,,1610612757,3,0,2024-04-13T02:13:14Z,100000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2024-04-13T02:13:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631133,7.703679369250986,45.588235294117645,1610612757,5,0,2024-04-13T02:13:29Z,110000,False,22.0,20.0,1,left,J. Walker driving reverse Layup (5 PTS) (S. Henderson 1 AST),"[1631133, 1630703]",1610612757.0,POR,driving reverse,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,2.97,Made,5.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2024-04-13T02:13:36.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.26872536136662,64.2156862745098,1610612745,5,2,2024-04-13T02:13:40Z,130000,False,71.0,152.0,1,right,J. Green 16' step back Jump Shot (2 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,16.76,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M24.00S,2024-04-13T02:14:23.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,17.559132720105126,30.14705882352941,1610612757,5,2,2024-04-13T02:14:27Z,150000,False,99.0,113.0,1,left,MISS D. Ayton 15' Jump Shot - blocked,"[1629028, 1631095]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,15.01,Missed,,,,,,,,Smith Jr.,1631095.0,,,,,,,,,
16,PT10M24.00S,2024-04-13T02:14:23.6Z,1,REGULAR,block,,[],1631095,,,1610612757,5,2,2024-04-13T02:14:26Z,160000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2024-04-13T02:14:25.6Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,5,2,2024-04-13T02:14:27Z,170000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
