actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-14T02:11:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-14T02:11:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-14T02:11:39.4Z,1,REGULAR,jumpball,recovered,[],1630625,,,1610612757,0,0,2024-03-14T02:11:39Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Capela: Tip to D. Banton,"[1630625, 1629028, 203991]",1610612757.0,POR,startperiod,D. Banton,1630625.0,Banton,D. Banton,Ayton,1629028.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-14T02:11:55.2Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,0,0,2024-03-14T02:12:01Z,70000,False,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 203991]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,1.0,Capela,203991.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-03-14T02:11:55.2Z,1,REGULAR,steal,,[],203991,,,1610612737,0,0,2024-03-14T02:11:57Z,80000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
148,PT11M32.00S,2024-03-14T02:12:06.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202083,16.737844940867276,31.862745098039213,1610612737,0,0,2024-03-14T02:33:17Z,85000,False,91.0,105.0,1,left,MISS W. Matthews 13' turnaround Shot - blocked,"[202083, 1641739]",1610612737.0,ATL,turnaround,,,Matthews,W. Matthews,,,,,Mid-Range,8-16 Right,,,,13.86,Missed,Camara,1641739.0,,,,,,,,,,,,,
149,PT11M32.00S,2024-03-14T02:12:06.0Z,1,REGULAR,block,,[],1641739,,,1610612737,0,0,2024-03-14T02:32:48Z,87500,False,,,0,,T. Camara BLOCK (1 BLK),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
150,PT11M30.00S,2024-03-14T02:12:08.0Z,1,REGULAR,rebound,offensive,[],203992,,,1610612737,0,0,2024-03-14T02:32:48Z,88750,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:0),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,148.0,1.0,0.0,1.0,,,,,,,,,
9,PT11M19.00S,2024-03-14T02:12:16.9Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",202083,9.411957950065702,73.52941176470588,1610612737,0,0,2024-03-14T02:32:48Z,90000,False,-118.0,36.0,1,left,MISS W. Matthews 12' floating Shot,[202083],1610612737.0,ATL,floating,,,Matthews,W. Matthews,,,,,Mid-Range,8-16 Left,,,,12.3,Missed,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-03-14T02:12:18.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2024-03-14T02:12:22Z,100000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Left,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT10M56.00S,2024-03-14T02:12:39.5Z,1,REGULAR,2pt,Jump Shot,[],1629014,87.46714848883047,80.14705882352942,1610612757,0,0,2024-03-14T02:15:00Z,110000,False,151.0,65.0,1,right,MISS A. Simons 16' driving floating Shot - blocked,"[1629014, 1627749]",1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right,,,,16.42,Missed,Murray,1627749.0,,,,,,,,,,,,,
12,PT10M56.00S,2024-03-14T02:12:39.5Z,1,REGULAR,block,,[],1627749,,,1610612757,0,0,2024-03-14T02:12:42Z,120000,False,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2024-03-14T02:12:43.5Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,0,0,2024-03-14T02:12:49Z,130000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,
14,PT10M50.00S,2024-03-14T02:12:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203992,7.966491458607096,51.9607843137255,1610612737,0,0,2024-03-14T02:12:54Z,140000,False,-10.0,22.0,1,left,MISS B. Bogdanovic running Layup,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,2.44,Missed,,,,,,,,,,,,,,,
15,PT10M47.00S,2024-03-14T02:12:48.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2024-03-14T02:12:54Z,150000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT10M47.00S,2024-03-14T02:12:47.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",203991,5.590000152587891,50.0,1610612737,0,2,2024-03-14T02:13:00Z,160000,False,0.0,0.0,1,left,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,2.0,,,,,,,,
17,PT10M34.00S,2024-03-14T02:13:01.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630625,92.32917214191852,54.166666666666664,1610612757,2,2,2024-03-14T02:13:19Z,170000,False,21.0,20.0,1,right,D. Banton driving DUNK (2 PTS),[1630625],1610612757.0,POR,driving,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,,,,2.86,Made,,,,,,,2.0,,,,,,,,
18,PT10M09.00S,2024-03-14T02:13:25.5Z,1,REGULAR,2pt,Jump Shot,[],203992,19.66162943495401,32.84313725490196,1610612737,2,2,2024-03-14T02:16:25Z,180000,False,86.0,132.0,1,left,MISS B. Bogdanovic 15' pullup Shot,[203992],1610612737.0,ATL,pullup,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,15.77,Missed,,,,,,,,,,,,,,,
