actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2023-11-06T02:12:28.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-06T02:12:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-06T02:12:30.5Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612763,0,0,2023-11-06T02:12:30Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Ayton: Tip to Z. Williams,"[1630533, 1628991, 1629028]",1610612763.0,MEM,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Jackson Jr.,1628991.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-06T02:12:46.8Z,1,REGULAR,2pt,Jump Shot,[],203935,77.4802890932983,49.50980392156863,1610612763,0,2,2023-11-06T02:12:52Z,70000,False,-2.0,159.0,1,right,M. Smart 15' pullup Jump Shot (2 PTS) (D. Bane 1 AST),"[203935, 1630217]",1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,Mid-Range,8-16 Center,15.92,Made,2.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
8,PT11M24.00S,2023-11-06T02:13:03.4Z,1,REGULAR,3pt,Jump Shot,[],1627763,31.09395532194481,48.77450980392157,1610612757,3,2,2023-11-06T02:13:08Z,80000,False,6.0,240.0,1,left,M. Brogdon 3PT  (3 PTS) (J. Grant 1 AST),"[1627763, 203924]",1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,23.99,Made,3.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,
11,PT11M05.00S,2023-11-06T02:13:27.8Z,1,REGULAR,foul,offensive,[],1630217,,,1610612763,3,2,2023-11-06T02:13:34Z,100000,False,,,0,,D. Bane offensive FOUL (1 PF),"[1630217, 1627763]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,2530.0,1.0,0.0,Brogdon,1627763.0,,,,,,,,,
13,PT11M05.00S,2023-11-06T02:13:27.8Z,1,REGULAR,turnover,offensive foul,[],1630217,,,1610612763,3,2,2023-11-06T02:13:27Z,120000,False,,,0,,D. Bane offensive foul TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,2530.0,,,,,1.0,,,,,,,,
14,PT10M57.00S,2023-11-06T02:13:48.6Z,1,REGULAR,foul,personal,[],203935,,,1610612757,3,2,2023-11-06T02:13:56Z,130000,False,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1627763]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left Center,,,,,,,204058.0,1.0,0.0,Brogdon,1627763.0,,,,,,,,,
16,PT10M45.00S,2023-11-06T02:14:16.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203924,22.28975032851511,71.81372549019608,1610612757,5,2,2023-11-06T02:14:20Z,150000,False,-109.0,157.0,1,left,J. Grant 19' pullup Jump Shot (2 PTS),[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Left Center,19.12,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2023-11-06T02:14:27.4Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612763,5,2,2023-11-06T02:14:34Z,160000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1629028]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,Ayton,1629028.0,,,,,,
18,PT10M34.00S,2023-11-06T02:14:27.4Z,1,REGULAR,steal,,[],1629028,,,1610612757,5,2,2023-11-06T02:14:29Z,170000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
