actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-30T03:12:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-30T03:12:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-30T03:12:26.6Z,1,REGULAR,jumpball,recovered,[],1630194,,,1610612755,0,0,2024-01-30T03:12:26Z,40000,False,,,0,,Jump Ball P. Reed vs. D. Ayton: Tip to P. Reed,"[1630194, 1630194, 1629028]",1610612755.0,PHI,startperiod,P. Reed,1630194.0,Reed,P. Reed,Reed,1630194.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-30T03:12:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,6.389618922470433,51.470588235294116,1610612755,0,2,2024-01-30T03:12:42Z,70000,False,-7.0,8.0,1,left,K. Oubre Jr. driving Layup (2 PTS),[1626162],1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.06,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-01-30T03:12:55.8Z,1,REGULAR,turnover,palming,[],1631133,,,1610612757,0,2,2024-01-30T03:13:03Z,80000,False,,,0,,J. Walker palming TURNOVER (1 TO),[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,,1628951.0,1.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2024-01-30T03:13:23.4Z,1,REGULAR,foul,personal,[],1629014,,,1610612755,0,2,2024-01-30T03:13:31Z,90000,False,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 202699]",1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,101284.0,,1.0,0.0,Harris,202699.0,,,,,,,,,,,
11,PT11M06.00S,2024-01-30T03:13:47.7Z,1,REGULAR,turnover,traveling,[],201976,,,1610612755,0,2,2024-01-30T03:13:56Z,110000,False,,,0,,P. Beverley traveling TURNOVER (1 TO),[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,,,101284.0,1.0,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-01-30T03:14:16.3Z,1,REGULAR,foul,personal,[],1626162,,,1610612757,0,2,2024-01-30T03:14:22Z,120000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 203924]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,,,,101284.0,,1.0,0.0,Grant,203924.0,,,,,,,,,,,
14,PT10M42.00S,2024-01-30T03:14:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203924,80.6340341655716,37.00980392156863,1610612757,0,2,2024-01-30T03:14:48Z,140000,False,-65.0,130.0,1,right,MISS J. Grant 14' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,14.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2024-01-30T03:14:45.3Z,1,REGULAR,rebound,defensive,[],201587,,,1610612755,0,2,2024-01-30T03:14:48Z,150000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M27.00S,2024-01-30T03:14:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.068988173455978,63.23529411764706,1610612755,0,2,2024-01-30T03:15:03Z,160000,False,-66.0,42.0,1,left,MISS T. Harris 7' pullup Shot - blocked,"[202699, 1627763]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,,,,,,,,,,,,Brogdon,1627763.0,,,,,
