actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-22T03:11:54.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-22T03:11:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-12-22T03:12:01.7Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612764,0,0,2023-12-22T03:12:01Z,40000,False,,,0,,Jump Ball D. Gafford vs. D. Ayton: Tip to T. Jones,"[1626145, 1629655, 1629028]",1610612764.0,WAS,startperiod,T. Jones,1626145.0,Jones,T. Jones,Gafford,1629655.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-12-22T03:12:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,83.52496714848883,36.029411764705884,1610612764,0,2,2023-12-22T03:12:23Z,70000,False,-70.0,102.0,1,right,T. Jones 12' fadeaway Jump Shot (2 PTS),[1626145],1610612764.0,WAS,fadeaway,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,12.4,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2023-12-22T03:12:39.0Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612757,0,2,2023-12-22T03:12:44Z,80000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1629655]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Gafford,1629655.0,,,,,,,,,,,,,,
9,PT11M15.00S,2023-12-22T03:12:39.0Z,1,REGULAR,steal,,[],1629655,,,1610612764,0,2,2023-12-22T03:12:40Z,90000,False,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2023-12-22T03:12:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626145,71.56701708278581,76.9607843137255,1610612764,0,5,2023-12-22T03:14:01Z,100000,False,135.0,215.0,1,right,T. Jones 25' 3PT  (5 PTS) (K. Kuzma 1 AST),"[1626145, 1628398]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.36,Made,5.0,,,,K. Kuzma,1628398.0,1.0,,,,,,,,,,,
12,PT10M52.00S,2023-12-22T03:13:01.2Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,0,5,2023-12-22T03:13:08Z,120000,False,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1629655]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,,1.0,Gafford,1629655.0,,,,,,,,,,,,,,
13,PT10M52.00S,2023-12-22T03:13:01.2Z,1,REGULAR,steal,,[],1629655,,,1610612764,0,5,2023-12-22T03:13:02Z,130000,False,,,0,,D. Gafford STEAL (2 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2023-12-22T03:13:18.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,90.22667542706965,3.431372549019608,1610612764,0,5,2023-12-22T03:13:22Z,140000,False,-233.0,39.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.61,Missed,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2023-12-22T03:13:22.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,5,2023-12-22T03:13:22Z,150000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
