actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-23T02:11:44.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T02:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-23T02:11:47.4Z,1,REGULAR,jumpball,recovered,[],1631200,,,1610612757,0,0,2024-03-23T02:11:47Z,40000,False,,,0,,Jump Ball D. Reath vs. I. Zubac: Tip to K. Murray,"[1631200, 1641871, 1627826]",1610612757.0,POR,startperiod,K. Murray,1631200.0,Murray,K. Murray,Reath,1641871.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-23T02:11:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,17.95335085413929,37.254901960784316,1610612757,0,0,2024-03-23T02:12:02Z,70000,False,64.0,116.0,1,left,MISS S. Henderson 13' turnaround fadeaway Shot,[1630703],1610612757.0,POR,turnaround fadeaway,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,13.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-03-23T02:12:01.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-03-23T02:12:02Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-03-23T02:12:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629611,89.30683311432325,96.32352941176471,1610612746,0,0,2024-03-23T02:12:25Z,90000,False,232.0,48.0,1,right,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-03-23T02:12:23.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2024-03-23T02:12:25Z,100000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Right Corner 3,24+ Right,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-03-23T02:12:25.1Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,0,2024-03-23T02:12:30Z,110000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1630703]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Henderson,1630703.0,,,,,,,,,,,
12,PT11M19.00S,2024-03-23T02:12:25.1Z,1,REGULAR,steal,,[],1630703,,,1610612757,0,0,2024-03-23T02:12:27Z,120000,False,,,0,,S. Henderson STEAL (1 STL),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2024-03-23T02:12:28.9Z,1,REGULAR,turnover,lost ball,[],1630703,,,1610612757,0,0,2024-03-23T02:12:33Z,130000,False,,,0,,S. Henderson lost ball TURNOVER (1 TO),"[1630703, 202331]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,George,202331.0,,,,,,,,,,,
14,PT11M15.00S,2024-03-23T02:12:28.9Z,1,REGULAR,steal,,[],202331,,,1610612746,0,0,2024-03-23T02:12:30Z,140000,False,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2024-03-23T02:12:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612746,0,0,2024-03-23T02:12:47Z,150000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Mann 2 FT),"[1641739, 1629611]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Mann,1629611.0,,,,,,
17,PT11M12.00S,2024-03-23T02:13:01.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629611,,,1610612746,0,1,2024-03-23T02:13:01Z,170000,False,,,0,,T. Mann Free Throw 1 of 2 (1 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
18,PT11M12.00S,2024-03-23T02:13:14.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629611,,,1610612746,0,2,2024-03-23T02:13:14Z,180000,False,,,0,,T. Mann Free Throw 2 of 2 (2 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
19,PT10M56.00S,2024-03-23T02:13:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631200,8.360709592641262,59.31372549019608,1610612757,0,2,2024-03-23T02:13:37Z,190000,False,-47.0,26.0,1,left,MISS K. Murray cutting Layup - blocked,"[1631200, 202331]",1610612757.0,POR,cutting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,George,202331.0,,,
20,PT10M56.00S,2024-03-23T02:13:32.6Z,1,REGULAR,block,,[],202331,,,1610612757,0,2,2024-03-23T02:13:34Z,200000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M53.00S,2024-03-23T02:13:35.6Z,1,REGULAR,rebound,offensive,[],1631200,,,1610612757,0,2,2024-03-23T02:13:37Z,210000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M52.00S,2024-03-23T02:13:36.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631200,6.389618922470433,50.73529411764706,1610612757,2,2,2024-03-23T02:13:40Z,220000,False,-4.0,8.0,1,left,K. Murray putback Layup (2 PTS),[1631200],1610612757.0,POR,putback,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,,,,,,,2.0,,,,,
23,PT10M38.00S,2024-03-23T02:13:49.9Z,1,REGULAR,3pt,Jump Shot,[],202331,66.83639947437582,27.205882352941174,1610612746,2,2,2024-03-23T02:13:54Z,230000,False,-114.0,259.0,1,right,MISS P. George 28' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Left Center,28.32,Missed,,,,,,,,,,,,,,,,,,
24,PT10M36.00S,2024-03-23T02:13:51.9Z,1,REGULAR,rebound,defensive,[],1631200,,,1610612757,2,2,2024-03-23T02:13:54Z,240000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
26,PT10M23.00S,2024-03-23T02:14:25.9Z,1,REGULAR,foul,personal,[],1627826,,,1610612757,2,2,2024-03-23T02:14:40Z,260000,False,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 1641871]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627963.0,1.0,0.0,Reath,1641871.0,,,,,,
28,PT10M09.00S,2024-03-23T02:14:58.5Z,1,REGULAR,2pt,Jump Shot,[],1631200,6.915243101182654,22.794117647058822,1610612757,2,2,2024-03-23T02:15:02Z,280000,False,136.0,13.0,1,left,MISS K. Murray 13' Jump Shot,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,13.66,Missed,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2024-03-23T02:15:01.5Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,2,2,2024-03-23T02:15:02Z,290000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M51.00S,2024-03-23T02:15:16.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,91.80354796320631,48.77450980392157,1610612746,2,4,2024-03-23T02:15:20Z,300000,False,-6.0,25.0,1,right,I. Zubac cutting DUNK (2 PTS) (K. Leonard 1 AST),"[1627826, 202695]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,,,,,,,2.0,,,K. Leonard,202695.0,1.0
33,PT09M30.00S,2024-03-23T02:15:48.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,8.229303547963205,96.32352941176471,1610612757,5,4,2024-03-23T02:15:52Z,330000,False,-232.0,25.0,1,left,T. Camara 3PT  (3 PTS) (K. Murray 1 AST),"[1641739, 1631200]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.29,Made,,,,,,,,,,,,,3.0,,,K. Murray,1631200.0,1.0
35,PT09M12.00S,2024-03-23T02:16:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,92.59198423127464,53.92156862745098,1610612746,5,6,2024-03-23T02:16:35Z,350000,False,20.0,17.0,1,right,P. George driving Layup (2 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,,,,,,,,,2.0,,,,,
36,PT09M12.00S,2024-03-23T02:16:11.0Z,1,REGULAR,foul,personal,['1freethrow'],1641871,,,1610612746,5,6,2024-03-23T02:16:19Z,360000,False,,,0,,D. Reath shooting personal FOUL (1 PF) (George 1 FT),"[1641871, 202331]",1610612757.0,POR,shooting,,,Reath,D. Reath,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,George,202331.0,,,,,,
38,PT09M12.00S,2024-03-23T02:16:35.1Z,1,REGULAR,freethrow,1 of 1,[],202331,,,1610612746,5,7,2024-03-23T02:16:35Z,380000,False,,,0,,P. George Free Throw 1 of 1 (3 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
39,PT08M58.00S,2024-03-23T02:16:54.1Z,1,REGULAR,3pt,Jump Shot,[],1641871,31.750985545335087,68.13725490196079,1610612757,5,7,2024-03-23T02:17:00Z,390000,False,-91.0,246.0,1,left,MISS D. Reath 26' pullup 3PT,[1641871],1610612757.0,POR,pullup,,,Reath,D. Reath,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
40,PT08M52.00S,2024-03-23T02:17:00.1Z,1,REGULAR,rebound,offensive,[],1631200,,,1610612757,5,7,2024-03-23T02:17:00Z,400000,False,,,0,,K. Murray REBOUND (Off:2 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,39.0,3.0,1.0,2.0,,,,,,,,,,,,,,
41,PT08M52.00S,2024-03-23T02:16:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631200,5.590000152587891,50.0,1610612757,7,7,2024-03-23T02:16:59Z,410000,False,0.0,0.0,1,left,K. Murray tip Layup (4 PTS),[1631200],1610612757.0,POR,tip,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,4.0,,,,,
42,PT08M35.00S,2024-03-23T02:17:16.1Z,1,REGULAR,3pt,Jump Shot,[],202331,93.24901445466492,4.411764705882353,1610612746,7,10,2024-03-23T02:17:20Z,420000,False,-228.0,11.0,1,right,P. George 3PT  (6 PTS) (T. Mann 1 AST),"[202331, 1629611]",1610612746.0,LAC,,,,George,P. George,,,,,Left Corner 3,24+ Left,22.82,Made,,,,,,,,,,,,,6.0,,,T. Mann,1629611.0,1.0
44,PT08M27.00S,2024-03-23T02:17:23.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.305519053876477,78.92156862745098,1610612757,10,10,2024-03-23T02:17:30Z,440000,False,-145.0,232.0,1,left,A. Simons 27' 3PT  (3 PTS) (S. Henderson 1 AST),"[1629014, 1630703]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,27.37,Made,,,,,,,,,,,,,3.0,,,S. Henderson,1630703.0,1.0
46,PT08M11.00S,2024-03-23T02:17:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,91.93495400788436,51.71568627450981,1610612746,10,12,2024-03-23T02:17:44Z,460000,False,9.0,23.0,1,right,P. George driving Layup (8 PTS) (J. Harden 1 AST),"[202331, 201935]",1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,,,,,,,,,8.0,,,J. Harden,201935.0,1.0
48,PT07M58.00S,2024-03-23T02:17:53.5Z,1,REGULAR,turnover,bad pass,[],1641871,,,1610612757,10,12,2024-03-23T02:18:00Z,480000,False,,,0,,D. Reath bad pass TURNOVER (1 TO),"[1641871, 1627826]",1610612757.0,POR,,,,Reath,D. Reath,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Zubac,1627826.0,,,,,,,,,,,
49,PT07M58.00S,2024-03-23T02:17:53.5Z,1,REGULAR,steal,,[],1627826,,,1610612746,10,12,2024-03-23T02:17:56Z,490000,False,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M53.00S,2024-03-23T02:17:58.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202695,74.45795006570303,87.00980392156863,1610612746,10,15,2024-03-23T02:18:05Z,500000,False,185.0,188.0,1,right,K. Leonard 26' 3PT running (3 PTS) (T. Mann 2 AST),"[202695, 1629611]",1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,26.35,Made,,,,,,,,,,,,,3.0,,,T. Mann,1629611.0,2.0
54,PT07M33.00S,2024-03-23T02:18:44.2Z,1,REGULAR,3pt,Jump Shot,[],1641871,24.655059132720105,15.441176470588236,1610612757,10,15,2024-03-23T02:18:56Z,540000,False,173.0,179.0,1,left,MISS D. Reath 24' 3PT,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
55,PT07M30.00S,2024-03-23T02:18:47.1Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,10,15,2024-03-23T02:18:47Z,550000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT07M23.00S,2024-03-23T02:18:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,84.70762155059133,36.76470588235294,1610612746,10,15,2024-03-23T02:21:19Z,560000,False,-66.0,91.0,1,right,MISS T. Mann 11' pullup Shot,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Left,11.27,Missed,,,,,,,,,,,,,,,,,,
57,PT07M20.00S,2024-03-23T02:18:57.8Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,10,15,2024-03-23T02:18:59Z,570000,False,,,0,,S. Henderson REBOUND (Off:0 Def:1),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Left,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M10.00S,2024-03-23T02:19:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,29.38567674113009,74.26470588235294,1610612757,10,15,2024-03-23T02:19:13Z,580000,False,-121.0,224.0,1,left,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2024-03-23T02:19:13.4Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,10,15,2024-03-23T02:19:13Z,590000,False,,,0,,K. Leonard REBOUND (Off:0 Def:2),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT06M59.00S,2024-03-23T02:19:18.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202695,72.7496714848883,82.59803921568627,1610612746,10,18,2024-03-23T02:19:43Z,600000,False,163.0,204.0,1,right,K. Leonard 26' 3PT running pullup (6 PTS),[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,26.09,Made,,,,,,,,,,,,,6.0,,,,,
61,PT06M58.00S,2024-03-23T02:19:23.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,10,18,2024-03-23T02:19:23Z,610000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2024-03-23T02:21:57.4Z,1,REGULAR,substitution,out,[],1630703,,,1610612757,10,18,2024-03-23T02:22:11Z,620000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2024-03-23T02:21:57.4Z,1,REGULAR,substitution,out,[],1641871,,,1610612757,10,18,2024-03-23T02:22:11Z,630000,False,,,0,,SUB out: D. Reath,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2024-03-23T02:21:57.4Z,1,REGULAR,substitution,in,[],1629650,,,1610612757,10,18,2024-03-23T02:22:11Z,640000,False,,,0,,SUB in: M. Brown,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2024-03-23T02:21:57.4Z,1,REGULAR,substitution,in,[],1630625,,,1610612757,10,18,2024-03-23T02:22:11Z,650000,False,,,0,,SUB in: D. Banton,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
