actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-04T02:11:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-04T02:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-04T02:11:17.1Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2023-11-04T02:11:17Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Jackson Jr.: Tip to J. Grant,"[203924, 1629028, 1628991]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-11-04T02:11:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,7.966491458607096,44.11764705882353,1610612757,0,0,2023-11-04T02:11:49Z,80000,False,29.0,22.0,1,left,MISS J. Grant turnaround fadeaway Shot,[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2023-11-04T02:11:45.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2023-11-04T02:11:49Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M35.00S,2023-11-04T02:11:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,79.97700394218134,49.754901960784316,1610612763,0,2,2023-11-04T02:14:36Z,110000,False,-1.0,136.0,1,right,M. Smart 13' turnaround fadeaway Jump Shot (2 PTS),[203935],1610612763.0,MEM,turnaround fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,13.57,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M22.00S,2023-11-04T02:12:06.7Z,1,REGULAR,2pt,Jump Shot,[],1627763,20.18725361366623,76.47058823529412,1610612757,2,2,2023-11-04T02:12:11Z,120000,False,-132.0,137.0,1,left,M. Brogdon 19' step back Jump Shot (2 PTS),[1627763],1610612757.0,POR,step back,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Left Center,19.07,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M04.00S,2023-11-04T02:12:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,90.3580814717477,2.696078431372549,1610612763,2,2,2023-11-04T02:12:29Z,130000,False,-237.0,38.0,1,right,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,23.95,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-11-04T02:12:27.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,2,2,2023-11-04T02:12:29Z,140000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M47.00S,2023-11-04T02:12:41.2Z,1,REGULAR,3pt,Jump Shot,[],1631101,27.151773981603156,81.61764705882352,1610612757,2,2,2023-11-04T02:12:47Z,150000,False,-158.0,203.0,1,left,MISS S. Sharpe 25' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2023-11-04T02:12:43.2Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,2,2,2023-11-04T02:12:47Z,160000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M38.00S,2023-11-04T02:12:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,88.64980289093299,41.17647058823529,1610612763,2,2,2023-11-04T02:12:58Z,170000,False,-44.0,54.0,1,right,MISS J. Jackson Jr. 6' pullup Shot - blocked,"[1628991, 1629680]",1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.99,Missed,,,,,,Thybulle,1629680.0,,,,,,,,,,,
18,PT10M38.00S,2023-11-04T02:12:52.2Z,1,REGULAR,block,,[],1629680,,,1610612763,2,2,2023-11-04T02:12:54Z,180000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2023-11-04T02:12:52.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,2,2023-11-04T02:12:58Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2023-11-04T02:13:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,94.1688567674113,50.49019607843137,1610612763,2,4,2023-11-04T02:13:22Z,210000,False,2.0,2.0,1,right,J. Jackson Jr. driving Layup (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,2.0,,,,,,,,,,,,,
