actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-28T03:11:17.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-28T03:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-28T03:11:19.3Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2024-02-28T03:11:19Z,40000,False,,,0,,Jump Ball D. Ayton vs. B. Adebayo: Tip to A. Simons,"[1629014, 1629028, 1628389]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Ayton,1629028.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-28T03:11:31.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,68.67608409986859,29.901960784313726,1610612757,3,0,2024-02-28T03:11:37Z,70000,False,-100.0,242.0,1,right,A. Simons 26' 3PT  (3 PTS) (J. Grant 1 AST),"[1629014, 203924]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.19,Made,3.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-02-28T03:11:58.2Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,3,0,2024-02-28T03:12:08Z,90000,False,,,0,,B. Adebayo offensive FOUL (1 PF),"[1628389, 203924]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,203593.0,1.0,0.0,Grant,203924.0,,,,,,,,,
11,PT11M20.00S,2024-02-28T03:11:58.2Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,3,0,2024-02-28T03:11:58Z,110000,False,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,203593.0,,,,,1.0,,,,,,,,
12,PT11M01.00S,2024-02-28T03:12:30.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203924,69.33311432325887,73.77450980392157,1610612757,6,0,2024-02-28T03:12:34Z,120000,False,119.0,236.0,1,right,J. Grant 26' 3PT  (3 PTS) (T. Camara 1 AST),"[203924, 1641739]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,26.41,Made,3.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,,,
14,PT10M43.00S,2024-02-28T03:12:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.2161629434954,43.38235294117647,1610612748,6,0,2024-02-28T03:12:50Z,140000,False,33.0,119.0,1,left,MISS B. Adebayo 12' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.32,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2024-02-28T03:12:47.4Z,1,REGULAR,rebound,defensive,[],1631200,,,1610612757,6,0,2024-02-28T03:12:50Z,150000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M35.00S,2024-02-28T03:12:57.4Z,1,REGULAR,turnover,out-of-bounds,[],1631200,,,1610612757,6,0,2024-02-28T03:13:05Z,160000,False,,,0,,K. Murray bad pass out-of-bounds TURNOVER (1 TO),[1631200],1610612757.0,POR,bad pass,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,,,,203593.0,,,,,1.0,,,,,,,,
17,PT10M25.00S,2024-02-28T03:13:18.1Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,6,0,2024-02-28T03:13:28Z,170000,False,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (2 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,,,,,1627964.0,,,,,2.0,,,,,,,,
18,PT10M08.00S,2024-02-28T03:13:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612757,6,0,2024-02-28T03:13:50Z,180000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Camara 2 FT),"[1629130, 1641739]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627964.0,1.0,0.0,Camara,1641739.0,,,,,,,,,
20,PT10M08.00S,2024-02-28T03:14:06.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641739,,,1610612757,7,0,2024-02-28T03:14:06Z,200000,False,,,0,,T. Camara Free Throw 1 of 2 (1 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2024-02-28T03:14:21.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641739,,,1610612757,8,0,2024-02-28T03:14:21Z,210000,False,,,0,,T. Camara Free Throw 2 of 2 (2 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2024-02-28T03:14:54.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,15.062417871222076,35.53921568627451,1610612748,8,0,2024-02-28T03:15:01Z,230000,False,72.0,89.0,1,left,MISS D. Robinson 11' driving floating bank Shot,[1629130],1610612748.0,MIA,driving floating bank,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),8-16 Right,11.47,Missed,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2024-02-28T03:14:57.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,8,0,2024-02-28T03:14:57Z,240000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,
25,PT09M49.00S,2024-02-28T03:14:59.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631107,28.33442838370565,18.872549019607842,1610612748,8,0,2024-02-28T03:15:03Z,250000,False,156.0,214.0,1,left,MISS N. Jovic 26' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2024-02-28T03:14:59.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,8,0,2024-02-28T03:15:03Z,260000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,
27,PT09M40.00S,2024-02-28T03:15:09.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,90.09526938239159,51.225490196078425,1610612757,8,0,2024-02-28T03:15:16Z,270000,False,6.0,41.0,1,right,MISS D. Ayton alley-oop DUNK,[1629028],1610612757.0,POR,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,4.11,Missed,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2024-02-28T03:15:13.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,8,0,2024-02-28T03:23:55Z,280000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,
29,PT09M33.00S,2024-02-28T03:15:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,10.068988173455978,54.41176470588235,1610612748,8,0,2024-02-28T03:15:22Z,290000,False,-22.0,42.0,1,left,MISS T. Rozier running Layup,[1626179],1610612748.0,MIA,running,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,4.75,Missed,,,,,,,,,,,,,,,,,,
30,PT09M31.00S,2024-02-28T03:15:17.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,8,0,2024-02-28T03:15:22Z,300000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,
31,PT09M25.00S,2024-02-28T03:15:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631200,94.95729303547962,94.11764705882352,1610612757,8,0,2024-02-28T03:15:36Z,310000,False,221.0,-5.0,1,right,MISS K. Murray running 3PT - blocked,"[1631200, 202710]",1610612757.0,POR,running,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,22.07,Missed,,,,,,,,,,,,,,,Butler,202710.0,,
32,PT09M25.00S,2024-02-28T03:15:24.1Z,1,REGULAR,block,,[],202710,,,1610612757,8,0,2024-02-28T03:15:27Z,320000,False,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
33,PT09M24.00S,2024-02-28T03:15:25.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,8,0,2024-02-28T03:15:36Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,31.0,,,,,,,
35,PT09M07.00S,2024-02-28T03:15:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,12.828515111695138,49.01960784313725,1610612748,8,2,2024-02-28T03:16:01Z,350000,False,5.0,68.0,1,left,T. Rozier 6' driving floating Jump Shot (2 PTS) (J. Butler 1 AST),"[1626179, 202710]",1610612748.0,MIA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,6.83,Made,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,
37,PT08M59.00S,2024-02-28T03:16:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1631107,,,1610612757,8,2,2024-02-28T03:16:17Z,370000,False,,,0,,N. Jovic shooting personal FOUL (1 PF) (Grant 2 FT),"[1631107, 203924]",1610612748.0,MIA,shooting,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201638.0,1.0,0.0,Grant,203924.0,,,,,,,,,
