actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-17T01:10:57.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-17T01:10:59.4Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2023-12-17T01:10:59Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Turner: Tip to A. Edwards,"[1630162, 203497, 1626167]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-17T01:11:15.6Z,1,REGULAR,foul,personal,[],1627741,,,1610612750,0,0,2023-12-17T01:11:27Z,70000,False,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 203497]",1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,1629178.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-12-17T01:11:44.2Z,1,REGULAR,2pt,Jump Shot,[],1630162,85.75886990801577,31.372549019607842,1610612750,0,0,2023-12-17T01:11:51Z,90000,False,-93.0,81.0,1,right,MISS A. Edwards 12' pullup bank Shot,[1630162],1610612750.0,MIN,pullup bank,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,12.37,Missed,,,,,,,,,,,,,
10,PT11M31.00S,2023-12-17T01:11:48.2Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,0,0,2023-12-17T01:11:51Z,100000,False,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,8-16 Left,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M17.00S,2023-12-17T01:12:02.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,8.229303547963205,4.901960784313726,1610612754,0,3,2023-12-17T01:12:06Z,110000,False,225.0,25.0,1,left,M. Turner 3PT  (3 PTS) (T. McConnell 1 AST),"[1626167, 204456]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,,,,22.69,Made,,,,,3.0,T. McConnell,204456.0,1.0,,,,,
13,PT10M58.00S,2023-12-17T01:12:21.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.62483574244416,56.372549019607845,1610612750,0,3,2023-12-17T01:12:26Z,130000,False,32.0,252.0,1,right,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,25.38,Missed,,,,,,,,,,,,,
14,PT10M56.00S,2023-12-17T01:12:23.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,3,2023-12-17T01:12:26Z,140000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M49.00S,2023-12-17T01:12:29.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630167,14.536793692509855,5.637254901960785,1610612754,0,6,2023-12-17T01:19:02Z,150000,False,222.0,84.0,1,left,O. Toppin 3PT step back (3 PTS) (T. McConnell 2 AST),"[1630167, 204456]",1610612754.0,IND,step back,,,Toppin,O. Toppin,,,,,Right Corner 3,24+ Right,,,,,,23.72,Made,,,,,3.0,T. McConnell,204456.0,2.0,,,,,
16,PT10M29.00S,2023-12-17T01:12:49.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,93.64323258869908,51.225490196078425,1610612750,2,6,2023-12-17T01:12:54Z,160000,False,6.0,7.0,1,right,K. Towns driving DUNK (2 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,0.95,Made,,,,,2.0,,,,,,,,
