actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-22T02:11:07.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-22T02:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-22T02:11:09.2Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2023-12-22T02:11:09Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Davis: Tip to K. Towns,"[1626157, 203497, 203076]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-12-22T02:11:21.5Z,1,REGULAR,3pt,Jump Shot,[],201144,5.732588699080158,4.901960784313726,1610612750,3,0,2023-12-22T02:11:28Z,70000,False,225.0,1.0,1,left,M. Conley 3PT  (3 PTS) (J. McDaniels 1 AST),"[201144, 1630183]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,22.55,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-12-22T02:11:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,92.46057818659659,50.245098039215684,1610612747,3,2,2023-12-22T02:11:49Z,90000,False,1.0,18.0,1,right,D. Russell cutting finger roll Layup (2 PTS) (A. Davis 1 AST),"[1626156, 203076]",1610612747.0,LAL,cutting finger roll,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2023-12-22T02:11:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.440867279894875,49.754901960784316,1610612750,3,2,2023-12-22T02:12:02Z,110000,False,1.0,17.0,1,left,MISS R. Gobert Layup,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-12-22T02:11:58.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,2,2023-12-22T02:12:02Z,120000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M56.00S,2023-12-22T02:12:10.3Z,1,REGULAR,2pt,Jump Shot,[],203076,74.98357424441524,57.84313725490197,1610612747,3,4,2023-12-22T02:12:18Z,130000,False,39.0,183.0,1,right,A. Davis 18' Jump Shot (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,18.69,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2023-12-22T02:12:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.652431011826544,51.470588235294116,1610612750,5,4,2023-12-22T02:12:35Z,150000,False,-7.0,10.0,1,left,A. Edwards driving finger roll Layup (2 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,
16,PT10M26.00S,2023-12-22T02:12:40.7Z,1,REGULAR,2pt,Jump Shot,[],203076,85.3646517739816,71.07843137254902,1610612747,5,6,2023-12-22T02:12:46Z,160000,False,105.0,85.0,1,right,A. Davis 13' step back Jump Shot (4 PTS),[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,13.55,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M11.00S,2023-12-22T02:12:54.9Z,1,REGULAR,2pt,Jump Shot,[],201144,11.251642575558476,71.32352941176471,1610612750,5,6,2023-12-22T02:14:43Z,170000,False,-107.0,53.0,1,left,MISS M. Conley 11' driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,Mid-Range,8-16 Left,11.92,Missed,,,,,,,,,,,,,,,,,,
