actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-23T01:10:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-23T01:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-23T01:10:47.2Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2024-01-23T01:10:47Z,40000,False,,,0,,Jump Ball R. Gobert vs. P. Washington: Tip to K. Towns,"[1626157, 203497, 1629023]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-23T01:11:00.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,68.28186596583443,37.00980392156863,1610612750,3,0,2024-01-23T01:11:05Z,70000,False,-65.0,246.0,1,right,K. Towns 25' 3PT pullup (3 PTS) (R. Gobert 1 AST),"[1626157, 203497]",1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.42,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-23T01:11:18.8Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,3,0,2024-01-23T01:23:27Z,90000,False,,,0,,T. Rozier bad pass out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,bad pass,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,,,200833.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2024-01-23T01:11:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,91.80354796320631,42.8921568627451,1610612750,5,0,2024-01-23T01:11:41Z,100000,False,-36.0,25.0,1,right,K. Towns driving finger roll Layup (5 PTS) (J. McDaniels 1 AST),"[1626157, 1630183]",1610612750.0,MIN,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,4.31,Made,5.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2024-01-23T01:11:45.1Z,1,REGULAR,2pt,Jump Shot,[],1630163,7.178055190538765,22.058823529411764,1610612766,5,2,2024-01-23T01:11:50Z,110000,False,140.0,15.0,1,left,L. Ball 14' turnaround fadeaway Jump Shot (2 PTS),[1630163],1610612766.0,CHA,turnaround fadeaway,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,14.05,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2024-01-23T01:12:04.0Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,5,2,2024-01-23T01:12:08Z,120000,False,,,0,,K. Towns lost ball out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,lost ball,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,,,,,201246.0,1.0,,,,,,,,,,,,
13,PT10M36.00S,2024-01-23T01:12:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,9.198423127463863,44.59635416666667,1610612766,5,4,2024-01-23T01:12:36Z,130000,False,27.0,34.0,1,left,M. Bridges cutting finger roll Layup (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,cutting finger roll,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,4.34,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
15,PT10M18.00S,2024-01-23T01:12:44.9Z,1,REGULAR,3pt,Jump Shot,[],1630183,92.19776609724047,4.6568627450980395,1610612750,5,4,2024-01-23T01:12:50Z,150000,False,-227.0,21.0,1,right,MISS J. McDaniels step back 3PT,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.77,Missed,,,,,,,,,,,,,,,,,,
16,PT10M15.00S,2024-01-23T01:12:47.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,5,4,2024-01-23T01:12:50Z,160000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M02.00S,2024-01-23T01:13:01.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,6.1268068331143235,5.147058823529411,1610612766,5,7,2024-01-23T01:13:05Z,170000,False,224.0,5.0,1,left,M. Bridges 3PT  (5 PTS) (L. Ball 2 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.44,Made,5.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
19,PT09M43.00S,2024-01-23T01:13:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,87.33574244415243,2.941176470588235,1610612750,5,7,2024-01-23T01:13:24Z,190000,False,-235.0,67.0,1,right,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,24.45,Missed,,,,,,,,,,,,,,,,,,
