actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-23T01:10:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T01:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-23T01:10:43.6Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2023-11-23T01:10:43Z,40000,False,,,0,,Jump Ball R. Gobert vs. M. Morris Sr.: Tip to K. Towns,"[1626157, 203497, 202694]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Morris Sr.,202694.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-23T01:10:56.2Z,1,REGULAR,foul,personal,[],202694,,,1610612750,0,0,2023-11-23T01:11:06Z,70000,False,,,0,,M. Morris Sr. personal FOUL (1 PF),"[202694, 203497]",1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,1199.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-11-23T01:11:22.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.1268068331143235,50.0,1610612750,2,0,2023-11-23T01:11:27Z,90000,False,0.0,5.0,1,left,R. Gobert alley-oop DUNK (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,0.51,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,
11,PT11M18.00S,2023-11-23T01:11:39.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,69.59592641261499,68.13725490196079,1610612755,2,0,2023-11-23T01:11:45Z,110000,False,91.0,233.0,1,right,MISS T. Maxey 25' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,25.03,Missed,,,,,,,,,,,,,
12,PT11M15.00S,2023-11-23T01:11:42.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-11-23T01:11:45Z,120000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M12.00S,2023-11-23T01:11:49.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,6.915243101182654,50.73529411764706,1610612750,4,0,2023-11-23T01:12:56Z,130000,False,-4.0,13.0,1,left,A. Edwards running Layup (2 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,1.3,Made,2.0,,,,,,,,,,,,
14,PT11M12.00S,2023-11-23T01:11:53.0Z,1,REGULAR,foul,personal,['1freethrow'],201587,,,1610612750,4,0,2023-11-23T01:12:01Z,140000,False,,,0,,N. Batum shooting personal FOUL (1 PF) (Edwards 1 FT),"[201587, 1630162]",1610612755.0,PHI,shooting,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,,
16,PT11M12.00S,2023-11-23T01:12:11.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630162,,,1610612750,5,0,2023-11-23T01:12:11Z,160000,False,,,0,,A. Edwards Free Throw 1 of 1 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
17,PT10M59.00S,2023-11-23T01:12:25.9Z,1,REGULAR,3pt,Jump Shot,[],201587,68.41327201051249,58.82352941176471,1610612755,5,3,2023-11-23T01:12:30Z,170000,False,44.0,244.0,1,right,N. Batum 24' 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[201587, 202694]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Center,,,,,,24.83,Made,3.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,
