actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-14T19:40:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T19:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-14T19:40:37.4Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-04-14T19:40:37Z,40000,False,,,0,,Jump Ball J. Nurkic vs. R. Gobert: Tip to B. Beal,"[203078, 203994, 203497]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-04-14T19:40:57.0Z,1,REGULAR,2pt,Jump Shot,[],201142,93.64323258869908,20.098039215686274,1610612756,0,2,2024-04-14T19:41:01Z,70000,False,-150.0,7.0,1,right,K. Durant 14' pullup Jump Shot (2 PTS) (J. Nurkic 1 AST),"[201142, 203994]",1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,14.97,Made,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,
9,PT11M12.00S,2024-04-14T19:41:23.1Z,1,REGULAR,3pt,Jump Shot,[],201144,3.892904073587385,6.127450980392156,1610612750,3,2,2024-04-14T19:41:27Z,90000,False,219.0,-16.0,1,left,M. Conley 3PT  (3 PTS) (A. Edwards 1 AST),"[201144, 1630162]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,22.0,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,
11,PT10M56.00S,2024-04-14T19:41:38.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.88764783180025,54.41176470588235,1610612756,3,5,2024-04-14T19:41:44Z,110000,False,22.0,249.0,1,right,D. Booker 25' 3PT pullup (3 PTS) (J. Nurkic 2 AST),"[1626164, 203994]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,25.04,Made,3.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,
12,PT10M36.00S,2024-04-14T19:42:00.6Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,3,5,2024-04-14T19:42:08Z,120000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2004.0,1.0,,,,,,,,,,,,
14,PT10M21.00S,2024-04-14T19:42:19.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203078,85.10183968462549,47.794117647058826,1610612756,3,7,2024-04-14T19:42:40Z,130000,False,-11.0,88.0,1,right,B. Beal 8' turnaround fadeaway Jump Shot (2 PTS),[203078],1610612756.0,PHX,turnaround fadeaway,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,8.82,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M08.00S,2024-04-14T19:42:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,18.873193166885677,54.166666666666664,1610612750,3,7,2024-04-14T19:42:36Z,140000,False,-21.0,125.0,1,left,MISS M. Conley 12' floating Shot,[201144],1610612750.0,MIN,floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,12.66,Missed,,,,,,,,,,,,,,,,,,
16,PT10M06.00S,2024-04-14T19:42:34.0Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,3,7,2024-04-14T19:42:34Z,150000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
17,PT10M04.00S,2024-04-14T19:42:35.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,22.421156373193167,10.049019607843137,1610612750,6,7,2024-04-14T19:42:40Z,160000,False,200.0,158.0,1,left,K. Towns 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[1626157, 1630183]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,25.49,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
