actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-31T01:10:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-31T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-31T01:10:56.2Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-12-31T01:10:56Z,40000,False,,,0,,Jump Ball A. Davis vs. R. Gobert: Tip to L. James,"[2544, 203076, 203497]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-31T01:11:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.46057818659659,53.18627450980392,1610612747,0,0,2023-12-31T01:11:17Z,70000,False,16.0,18.0,1,right,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-31T01:11:14.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2023-12-31T01:11:14Z,80000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2023-12-31T01:11:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,92.59198423127464,51.225490196078425,1610612747,0,0,2023-12-31T01:12:09Z,90000,False,6.0,17.0,1,right,MISS A. Davis putback Layup - blocked,"[203076, 1630183]",1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,McDaniels,1630183.0,,,,,,,,,,,,
10,PT11M38.00S,2023-12-31T01:11:14.5Z,1,REGULAR,block,,[],1630183,,,1610612747,0,0,2023-12-31T01:20:18Z,100000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M38.00S,2023-12-31T01:11:14.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-12-31T01:20:18Z,110000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M32.00S,2023-12-31T01:11:20.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203497,6.176084099868594,49.877450980392155,1610612750,2,0,2023-12-31T01:13:36Z,120000,False,1.0,6.0,1,left,R. Gobert running DUNK (2 PTS),[203497],1610612750.0,MIN,running,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.56,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M22.00S,2023-12-31T01:11:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,93.24901445466492,49.754901960784316,1610612747,2,0,2023-12-31T01:11:38Z,130000,False,-1.0,11.0,1,right,MISS C. Reddish driving Layup,[1629629],1610612747.0,LAL,driving,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,,,,,
15,PT11M16.00S,2023-12-31T01:11:37.3Z,1,REGULAR,rebound,offensive,[],1629629,,,1610612747,2,0,2023-12-31T01:11:38Z,150000,False,,,0,,C. Reddish REBOUND (Off:1 Def:0),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M16.00S,2023-12-31T01:11:36.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629629,94.40999984741211,50.0,1610612747,2,0,2023-12-31T01:15:08Z,160000,False,0.0,0.0,1,right,MISS C. Reddish putback Layup,[1629629],1610612747.0,LAL,putback,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
17,PT11M15.00S,2023-12-31T01:11:37.9Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,2,0,2023-12-31T01:11:37Z,170000,False,,,0,,A. Davis REBOUND (Off:2 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,16.0,2.0,0.0,2.0,,,,,,,,,,,,,,
18,PT11M14.00S,2023-12-31T01:11:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,92.06636005256242,52.94117647058824,1610612747,2,2,2023-12-31T01:15:13Z,180000,False,15.0,22.0,1,right,A. Davis tip Layup (2 PTS),[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,,,2.0,,,,,,,,,,,
19,PT11M04.00S,2023-12-31T01:11:48.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,22.026938239159,89.70588235294117,1610612750,2,2,2023-12-31T01:11:53Z,190000,False,-199.0,155.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
20,PT11M02.00S,2023-12-31T01:11:50.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,2,2,2023-12-31T01:11:53Z,200000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M51.00S,2023-12-31T01:12:01.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,87.33574244415243,50.49019607843137,1610612747,2,4,2023-12-31T01:16:43Z,210000,False,2.0,67.0,1,right,A. Davis 6' driving Hook (4 PTS) (C. Reddish 1 AST),"[203076, 1629629]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,6.65,Made,,,,,,,4.0,C. Reddish,1629629.0,1.0,,,,,,,,
23,PT10M37.00S,2023-12-31T01:12:16.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.652431011826544,48.77450980392157,1610612750,4,4,2023-12-31T01:16:59Z,230000,False,6.0,10.0,1,left,R. Gobert cutting DUNK (4 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,,,4.0,A. Edwards,1630162.0,1.0,,,,,,,,
25,PT10M13.00S,2023-12-31T01:12:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,90.3580814717477,61.76470588235294,1610612747,4,6,2023-12-31T01:12:46Z,250000,False,59.0,38.0,1,right,L. James 7' turnaround fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,7.01,Made,,,,,,,2.0,,,,,,,,,,,
26,PT09M49.00S,2023-12-31T01:13:04.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,4.28712220762155,96.56862745098039,1610612750,4,6,2023-12-31T01:13:09Z,260000,False,-233.0,-12.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.31,Missed,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2023-12-31T01:13:07.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,6,2023-12-31T01:13:09Z,270000,False,,,0,,A. Davis REBOUND (Off:2 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,26.0,3.0,1.0,2.0,,,,,,,,,,,,,,
