actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-02T00:11:01.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-02T00:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-02T00:11:02.8Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-11-02T00:11:02Z,40000,False,,,0,,Jump Ball N. Jokic vs. R. Gobert: Tip to A. Gordon,"[203932, 203999, 203497]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-11-02T00:11:14.1Z,1,REGULAR,violation,kicked ball,[],1626157,,,1610612743,0,0,2023-11-02T00:11:20Z,70000,False,,,0,,K. Towns kicked ball VIOLATION,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,203054.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-11-02T00:11:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,82.21090670170827,51.470588235294116,1610612743,0,0,2023-11-02T00:11:54Z,80000,False,7.0,115.0,1,right,MISS N. Jokic 11' step back Shot,[203999],1610612743.0,DEN,step back,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,11.49,Missed,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2023-11-02T00:11:53.2Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,0,0,2023-11-02T00:11:54Z,90000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,In The Paint (Non-RA),8-16 Center,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M31.00S,2023-11-02T00:11:53.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627750,86.28449408672799,53.92156862745098,1610612743,0,0,2023-11-02T00:11:57Z,100000,False,20.0,76.0,1,right,MISS J. Murray 7' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2023-11-02T00:11:56.6Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2023-11-02T00:11:57Z,110000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M08.00S,2023-11-02T00:12:15.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,19.136005256241788,55.14705882352941,1610612750,2,0,2023-11-02T00:12:20Z,120000,False,-26.0,127.0,1,left,J. McDaniels 13' turnaround Jump Shot (2 PTS) (M. Conley 1 AST),"[1630183, 201144]",1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,,In The Paint (Non-RA),8-16 Center,13.0,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,
14,PT10M44.00S,2023-11-02T00:12:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,93.51182654402102,52.94117647058824,1610612743,2,0,2023-11-02T00:12:44Z,140000,False,15.0,8.0,1,right,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,,Restricted Area,0-8 Center,1.7,Missed,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2023-11-02T00:12:43.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2023-11-02T00:12:44Z,150000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
