actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2023-11-07T01:10:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-07T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-11-07T01:11:02.8Z,1,REGULAR,violation,jumpball,[],204001,,,0,0,0,2023-11-07T01:11:22Z,40000,False,,,0,,K. Porzingis jumpball VIOLATION,[204001],1610612738.0,BOS,201246.0,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M43.00S,2023-11-07T01:11:30.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,6.258212877792378,49.754901960784316,1610612750,0,0,2023-11-07T01:11:35Z,50000,False,1.0,6.0,1,left,MISS J. McDaniels driving DUNK - blocked,"[1630183, 204001]",1610612750.0,MIN,,McDaniels,J. McDaniels,driving,Restricted Area,0-8 Center,0.64,Missed,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
6,PT11M43.00S,2023-11-07T01:11:30.0Z,1,REGULAR,block,,[],204001,,,1610612750,0,0,2023-11-07T01:11:31Z,60000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612738.0,BOS,,Porzingis,K. Porzingis,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-07T01:11:33.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-11-07T01:11:35Z,70000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,Horford,A. Horford,,Restricted Area,0-8 Center,,,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-11-07T01:11:36.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1627759,93.29829172141918,50.22212009803921,1610612738,0,2,2023-11-07T01:12:08Z,80000,False,1.0,10.0,1,right,J. Brown running DUNK (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,Brown,J. Brown,running,Restricted Area,0-8 Center,1.06,Made,,,,,,,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,
10,PT11M23.00S,2023-11-07T01:11:50.3Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612750,0,2,2023-11-07T01:11:55Z,100000,False,,,0,,K. Towns lost ball TURNOVER (1 TO),"[1626157, 201950]",1610612750.0,MIN,,Towns,K. Towns,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Holiday,201950.0,,,,,,,,,,
11,PT11M23.00S,2023-11-07T01:11:50.3Z,1,REGULAR,steal,,[],201950,,,1610612738,0,2,2023-11-07T01:11:52Z,110000,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612738.0,BOS,,Holiday,J. Holiday,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2023-11-07T01:11:54.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628369,94.1688567674113,51.9607843137255,1610612738,0,4,2023-11-07T01:12:26Z,120000,False,10.0,2.0,1,right,J. Tatum running alley-oop DUNK (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,,Tatum,J. Tatum,running alley-oop,Restricted Area,0-8 Center,1.01,Made,,,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,
14,PT11M01.00S,2023-11-07T01:12:11.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,16.770696452036795,5.392156862745098,1610612750,0,4,2023-11-07T01:12:16Z,140000,False,223.0,105.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,Towns,K. Towns,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2023-11-07T01:12:12.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,4,2023-11-07T01:12:16Z,150000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,Porzingis,K. Porzingis,,Above the Break 3,24+ Right Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2023-11-07T01:12:27.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,81.8166885676741,6.862745098039216,1610612738,0,4,2023-11-07T01:12:31Z,160000,False,-216.0,118.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,Brown,J. Brown,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2023-11-07T01:12:30.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,4,2023-11-07T01:12:31Z,170000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,Edwards,A. Edwards,,Above the Break 3,24+ Left Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2023-11-07T01:12:36.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,9.149145860709593,45.83333333333333,1610612750,2,4,2023-11-07T01:13:24Z,180000,False,21.0,34.0,1,left,A. Edwards running Layup (2 PTS),[1630162],1610612750.0,MIN,,Edwards,A. Edwards,running,Restricted Area,0-8 Center,3.94,Made,,,,,,,2.0,,,,,,,,,,,,,,,,
