actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-24T23:10:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-24T23:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-24T23:10:41.0Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2024-03-24T23:10:41Z,40000,False,,,0,,Jump Ball D. Green vs. R. Gobert: Tip to A. Wiggins,"[203952, 203110, 203497]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Green,203110.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-03-24T23:10:52.5Z,1,REGULAR,foul,personal,['2freethrow'],201144,,,1610612744,0,0,2024-03-24T23:10:59Z,70000,False,,,0,,M. Conley shooting personal FOUL (1 PF) (Podziemski 2 FT),"[201144, 1641764]",1610612750.0,MIN,shooting,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,2005.0,1.0,0.0,Podziemski,1641764.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2024-03-24T23:11:14.0Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,0,1,2024-03-24T23:11:14Z,90000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M48.00S,2024-03-24T23:11:26.5Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,0,2,2024-03-24T23:11:26Z,100000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M38.00S,2024-03-24T23:11:41.6Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,0,2,2024-03-24T23:11:50Z,110000,False,,,0,,J. McDaniels bad pass out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,bad pass,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,2005.0,,,,,,,1.0,,,,,,,,,,,,
12,PT11M27.00S,2024-03-24T23:11:54.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,28.597240473061763,75.24509803921569,1610612744,0,2,2024-03-24T23:11:59Z,120000,False,-126.0,216.0,1,left,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.04,,,,,,,,,,,
13,PT11M23.00S,2024-03-24T23:11:58.0Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,2,2024-03-24T23:11:59Z,130000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT11M05.00S,2024-03-24T23:12:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629675,92.85479632063075,97.79411764705883,1610612750,3,2,2024-03-24T23:12:19Z,140000,False,239.0,15.0,1,right,N. Reid 3PT  (3 PTS) (M. Conley 1 AST),"[1629675, 201144]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,23.95,,,,,M. Conley,201144.0,1.0,,,,
16,PT10M52.00S,2024-03-24T23:12:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,7.30946123521682,50.49019607843137,1610612744,3,4,2024-03-24T23:14:04Z,160000,False,-2.0,16.0,1,left,A. Wiggins Layup (2 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,1.64,,,,,,,,,,,
18,PT10M38.00S,2024-03-24T23:12:45.4Z,1,REGULAR,turnover,out-of-bounds,[],1629675,,,1610612750,3,4,2024-03-24T23:12:52Z,180000,False,,,0,,N. Reid step out-of-bounds TURNOVER (1 TO),[1629675],1610612750.0,MIN,step,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,2005.0,,,,,,,1.0,,,,,,,,,,,,
19,PT10M27.00S,2024-03-24T23:12:59.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630228,22.158344283837057,49.754901960784316,1610612744,3,4,2024-03-24T23:13:04Z,190000,False,1.0,156.0,1,left,MISS J. Kuminga 15' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,15.58,,,,,,,,,,,
20,PT10M25.00S,2024-03-24T23:13:01.7Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,3,4,2024-03-24T23:13:04Z,200000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Center,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M02.00S,2024-03-24T23:13:26.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,56.586727989487514,24.019607843137255,1610612750,3,4,2024-03-24T23:14:33Z,210000,False,-130.0,356.0,1,right,MISS A. Edwards 37' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,37.86,,,,,,,,,,,
22,PT10M02.00S,2024-03-24T23:13:26.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,3,4,2024-03-24T23:14:33Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,21.0,,,,,,,,,,
