actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-25T02:11:00.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-25T02:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-25T02:11:02.9Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2024-02-25T02:11:02Z,40000,False,,,0,,Jump Ball K. Towns vs. N. Claxton: Tip to J. McDaniels,"[1630183, 1626157, 1629651]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Towns,1626157.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-02-25T02:11:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.9862023653088,50.0,1610612750,2,0,2024-02-25T02:11:17Z,70000,False,0.0,13.0,1,right,M. Conley reverse Layup (2 PTS) (K. Anderson 1 AST),"[201144, 203937]",1610612750.0,MIN,reverse,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,K. Anderson,203937.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-25T02:11:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,19.530223390275953,40.68627450980392,1610612751,2,2,2024-02-25T02:11:33Z,90000,False,47.0,131.0,1,left,M. Bridges 13' pullup Jump Shot (2 PTS),[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,13.91,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-02-25T02:11:44.6Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,2,2,2024-02-25T02:11:48Z,100000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1627732]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Simmons,1627732.0,,,,,,,,,,,
11,PT11M15.00S,2024-02-25T02:11:44.6Z,1,REGULAR,steal,,[],1627732,,,1610612751,2,2,2024-02-25T02:11:46Z,110000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2024-02-25T02:11:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627732,6.652431011826544,51.9607843137255,1610612751,2,2,2024-02-25T02:11:53Z,120000,False,-10.0,10.0,1,left,MISS B. Simmons running Layup,[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2024-02-25T02:11:48.3Z,1,REGULAR,rebound,offensive,[],1627732,,,1610612751,2,2,2024-02-25T02:11:48Z,130000,False,,,0,,B. Simmons REBOUND (Off:1 Def:0),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,
14,PT11M10.00S,2024-02-25T02:11:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627732,6.1268068331143235,50.98039215686274,1610612751,2,4,2024-02-25T02:11:57Z,140000,False,-5.0,5.0,1,left,B. Simmons putback Layup (2 PTS),[1627732],1610612751.0,BKN,putback,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,0.71,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2024-02-25T02:12:01.6Z,1,REGULAR,turnover,lost ball,[],1630183,,,1610612750,2,4,2024-02-25T02:12:06Z,150000,False,,,0,,J. McDaniels lost ball TURNOVER (2 TO),"[1630183, 1627732]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,Simmons,1627732.0,,,,,,,,,,,
