actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-04-03T00:10:45.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-03T00:10:46.9Z,1,REGULAR,jumpball,recovered,[],1629675,,,1610612750,0,0,2024-04-03T00:10:46Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Smith Jr.: Tip to N. Reid,"[1629675, 203497, 1631095]",1610612750.0,MIN,startperiod,N. Reid,1629675.0,Reid,N. Reid,Gobert,203497.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-03T00:11:05.8Z,1,REGULAR,3pt,Jump Shot,[],1629675,67.7562417871222,41.66666666666667,1610612750,0,0,2024-04-03T00:11:10Z,70000,False,-42.0,251.0,1,right,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,25.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-04-03T00:11:09.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2024-04-03T00:11:10Z,80000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-04-03T00:11:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641708,7.046649145860711,48.28431372549019,1610612745,0,0,2024-04-03T00:11:18Z,90000,False,9.0,14.0,1,left,MISS A. Thompson running Layup,[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-04-03T00:11:14.3Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,0,0,2024-04-03T00:11:18Z,100000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M22.00S,2024-04-03T00:11:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.80749014454665,32.35294117647059,1610612750,0,0,2024-04-03T00:11:28Z,110000,False,-88.0,241.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-04-03T00:11:25.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2024-04-03T00:11:28Z,120000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M11.00S,2024-04-03T00:11:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,6.652431011826544,51.71568627450981,1610612745,0,0,2024-04-03T00:11:39Z,130000,False,-9.0,10.0,1,left,MISS A. Thompson cutting Layup - blocked,"[1641708, 1629675]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.32,Missed,,,,,Reid,1629675.0,,,,,,,,,,,,
14,PT11M11.00S,2024-04-03T00:11:33.1Z,1,REGULAR,block,,[],1629675,,,1610612745,0,0,2024-04-03T00:11:36Z,140000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
