actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-25T01:10:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-25T01:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-25T01:10:52.1Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2023-11-25T01:10:52Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Sabonis: Tip to A. Edwards,"[1630162, 203497, 1627734]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-25T01:11:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.835085413929041,50.73529411764706,1610612750,2,0,2023-11-25T01:11:14Z,70000,False,-4.0,21.0,1,left,R. Gobert Layup (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M45.00S,2023-11-25T01:11:07.3Z,1,REGULAR,foul,personal,['1freethrow'],1627734,,,1610612750,2,0,2023-11-25T01:11:26Z,90000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Gobert 1 FT),"[1627734, 203497]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,1627526.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
11,PT11M45.00S,2023-11-25T01:11:36.3Z,1,REGULAR,freethrow,1 of 1,[],203497,,,1610612750,3,0,2023-11-25T01:11:36Z,110000,False,,,0,,R. Gobert Free Throw 1 of 1 (3 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M35.00S,2023-11-25T01:11:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.72339027595268,50.98039215686274,1610612758,3,2,2023-11-25T01:21:37Z,120000,False,5.0,16.0,1,right,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2023-11-25T01:12:01.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,16.113666228646515,76.22549019607843,1610612750,3,2,2023-11-25T01:46:37Z,130000,False,-131.0,99.0,1,left,MISS K. Towns 16' driving floating bank Shot,[1626157],1610612750.0,MIN,driving floating bank,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left Center,16.43,Missed,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2023-11-25T01:12:04.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,2,2023-11-25T01:12:10Z,140000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M12.00S,2023-11-25T01:12:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.06636005256242,54.166666666666664,1610612758,3,2,2023-11-25T01:12:16Z,150000,False,21.0,22.0,1,right,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
16,PT11M11.00S,2023-11-25T01:12:12.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,3,2,2023-11-25T01:12:12Z,160000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
