actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-05T01:11:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-05T01:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2024-03-05T01:11:21.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2024-03-05T01:11:44Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-05T01:11:22.1Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2024-03-05T01:11:22Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Reath: Tip to K. Towns,"[1626157, 203497, 1641871]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-05T01:11:35.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,16.507884362680684,51.9607843137255,1610612750,0,0,2024-03-05T01:11:51Z,70000,False,-10.0,103.0,1,left,MISS M. Conley 10' floating Shot,[201144],1610612750.0,MIN,floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,10.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-03-05T01:11:38.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,0,2024-03-05T01:11:38Z,80000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M28.00S,2024-03-05T01:11:51.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,73.66951379763469,82.1078431372549,1610612757,0,0,2024-03-05T01:12:03Z,90000,False,161.0,195.0,1,right,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-03-05T01:11:54.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2024-03-05T01:12:03Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,10.0,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2024-03-05T01:11:59.1Z,1,REGULAR,substitution,out,[],1629638,,,1610612750,0,0,2024-03-05T01:12:01Z,120000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2024-03-05T01:11:59.1Z,1,REGULAR,substitution,in,[],1630162,,,1610612750,0,0,2024-03-05T01:12:01Z,130000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2024-03-05T01:12:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,7.440867279894875,64.4607843137255,1610612750,0,0,2024-03-05T01:12:27Z,140000,False,-72.0,17.0,1,left,MISS K. Towns 7' driving floating bank Shot,[1626157],1610612750.0,MIN,driving floating bank,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,7.44,Missed,,,,,,,,,,,,,,,,,,
