actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-19T03:06:01.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-19T03:06:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-19T03:06:05.5Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2024-01-19T03:06:05Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. R. Gobert: Tip to V. Williams Jr.,"[1631246, 1628991, 203497]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Jackson Jr.,1628991.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-19T03:06:15.8Z,1,REGULAR,turnover,lost ball,[],1631246,,,1610612763,0,0,2024-01-19T03:06:21Z,70000,False,,,0,,V. Williams Jr. lost ball TURNOVER (1 TO),"[1631246, 1630183]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,16-24 Left Center,1.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-19T03:06:15.8Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,0,2024-01-19T03:06:19Z,80000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-01-19T03:06:20.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,92.19776609724047,50.73529411764706,1610612750,0,0,2024-01-19T03:06:27Z,90000,False,4.0,21.0,1,right,MISS J. McDaniels running Layup,[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,2.11,Missed,,,,,,,,,,,,,,,
10,PT11M38.00S,2024-01-19T03:06:22.4Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,0,0,2024-01-19T03:06:55Z,100000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M38.00S,2024-01-19T03:06:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630183,93.11760840998686,50.73529411764706,1610612750,2,0,2024-01-19T03:08:28Z,110000,False,4.0,12.0,1,right,J. McDaniels driving Layup (2 PTS) (M. Conley 1 AST),"[1630183, 201144]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,1.27,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,
12,PT11M20.00S,2024-01-19T03:06:40.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,16.90210249671485,6.372549019607843,1610612763,2,3,2024-01-19T03:06:52Z,120000,False,218.0,106.0,1,left,L. Kennard 24' 3PT  (3 PTS) (X. Tillman 1 AST),"[1628379, 1630214]",1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,24.27,Made,,,,,3.0,X. Tillman,1630214.0,1.0,,,,,,,
15,PT10M58.00S,2024-01-19T03:07:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,89.96386333771353,56.61764705882353,1610612750,4,3,2024-01-19T03:07:07Z,140000,False,33.0,42.0,1,right,J. McDaniels pullup Jump Shot (4 PTS) (M. Conley 2 AST),"[1630183, 201144]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,5.33,Made,,,,,4.0,M. Conley,201144.0,2.0,,,,,,,
17,PT10M48.00S,2024-01-19T03:07:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,7.703679369250986,61.274509803921575,1610612763,4,3,2024-01-19T03:09:30Z,160000,False,-56.0,20.0,1,left,MISS J. Jackson Jr. driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,5.98,Missed,,,,,,,,,,,,,,,
18,PT10M46.00S,2024-01-19T03:07:15.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,3,2024-01-19T03:07:18Z,170000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M35.00S,2024-01-19T03:07:25.9Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,4,3,2024-01-19T03:07:32Z,180000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1628379]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,1.0,Kennard,1628379.0,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2024-01-19T03:07:25.9Z,1,REGULAR,steal,,[],1628379,,,1610612763,4,3,2024-01-19T03:07:27Z,190000,False,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2024-01-19T03:07:31.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631246,25.837713534822605,82.59803921568627,1610612763,4,6,2024-01-19T03:10:02Z,200000,False,-163.0,190.0,1,left,V. Williams Jr. 25' 3PT running (3 PTS) (L. Kennard 1 AST),"[1631246, 1628379]",1610612763.0,MEM,running,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.06,Made,,,,,3.0,L. Kennard,1628379.0,1.0,,,,,,,
23,PT10M14.00S,2024-01-19T03:07:48.3Z,1,REGULAR,foul,personal,[],1629723,,,1610612750,4,6,2024-01-19T03:08:04Z,220000,False,,,0,,J. Konchar personal FOUL (1 PF),"[1629723, 1626157]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,2530.0,1.0,0.0,Towns,1626157.0,,
25,PT10M07.00S,2024-01-19T03:08:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.46057818659659,50.0,1610612750,6,6,2024-01-19T03:08:21Z,240000,False,0.0,18.0,1,right,M. Conley driving finger roll Layup (2 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612750.0,MIN,driving finger roll,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,1.84,Made,,,,,2.0,R. Gobert,203497.0,1.0,,,,,,,
26,PT09M57.00S,2024-01-19T03:08:26.8Z,1,REGULAR,3pt,Jump Shot,[],1628379,31.488173455978973,59.31372549019608,1610612763,6,6,2024-01-19T03:08:31Z,250000,False,-47.0,243.0,1,left,MISS L. Kennard 24' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,,,,24.79,Missed,,,,,,,,,,,,,,,
27,PT09M54.00S,2024-01-19T03:08:29.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,6,6,2024-01-19T03:08:31Z,260000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M47.00S,2024-01-19T03:08:37.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.24901445466492,50.0,1610612750,8,6,2024-01-19T03:08:40Z,270000,False,0.0,11.0,1,right,R. Gobert cutting DUNK (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,1.1,Made,,,,,2.0,K. Towns,1626157.0,1.0,,,,,,,
31,PT09M34.00S,2024-01-19T03:08:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,7.703679369250986,48.77450980392157,1610612763,8,8,2024-01-19T03:10:59Z,290000,False,6.0,20.0,1,left,X. Tillman driving finger roll Layup (2 PTS),[1630214],1610612763.0,MEM,driving finger roll,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,2.08,Made,,,,,2.0,,,,,,,,,,
32,PT09M17.00S,2024-01-19T03:09:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.32917214191852,49.26470588235294,1610612750,8,8,2024-01-19T03:09:11Z,300000,False,-4.0,20.0,1,right,MISS M. Conley driving finger roll Layup,[201144],1610612750.0,MIN,driving finger roll,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,,,,,,,,,,
33,PT09M13.00S,2024-01-19T03:09:10.5Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,8,8,2024-01-19T03:09:11Z,310000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Restricted Area,0-8 Center,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT09M03.00S,2024-01-19T03:09:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.863994743758213,50.245098039215684,1610612763,8,10,2024-01-19T03:09:29Z,320000,False,-1.0,3.0,1,left,J. Jackson Jr. driving Layup (2 PTS) (V. Williams Jr. 1 AST),"[1628991, 1631246]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,0.29,Made,,,,,2.0,V. Williams Jr.,1631246.0,1.0,,,,,,,
36,PT08M45.00S,2024-01-19T03:09:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,85.75886990801577,50.49019607843137,1610612750,8,10,2024-01-19T03:09:45Z,340000,False,2.0,81.0,1,right,MISS K. Towns 8' driving floating Shot,[1626157],1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,8.14,Missed,,,,,,,,,,,,,,,
37,PT08M44.00S,2024-01-19T03:09:39.4Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,8,10,2024-01-19T03:11:45Z,350000,False,,,0,,M. Conley REBOUND (Off:2 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,36.0,2.0,0.0,2.0,,,,,,,,,,,
38,PT08M44.00S,2024-01-19T03:09:42.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201144,94.40999984741211,50.0,1610612750,10,10,2024-01-19T03:11:55Z,360000,False,0.0,0.0,1,right,M. Conley tip Layup (4 PTS),[201144],1610612750.0,MIN,tip,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,4.0,,,,,,,,,,
39,PT08M28.00S,2024-01-19T03:09:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.438896189224705,44.69209558823529,1610612763,10,12,2024-01-19T03:10:02Z,370000,False,27.0,8.0,1,left,J. Jackson Jr. driving Layup (4 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,2.77,Made,,,,,4.0,,,,,,,,,,
41,PT08M03.00S,2024-01-19T03:10:37.1Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,10,12,2024-01-19T03:10:44Z,390000,False,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1628991]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2530.0,1.0,0.0,Jackson Jr.,1628991.0,,
43,PT08M03.00S,2024-01-19T03:10:37.1Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,10,12,2024-01-19T03:10:37Z,410000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,2530.0,,,,,,
44,PT07M48.00S,2024-01-19T03:11:03.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,5.338370565045992,95.83333333333334,1610612763,10,12,2024-01-19T03:11:08Z,420000,False,-229.0,-2.0,1,left,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,,22.92,Missed,,,,,,,,,,,,,,,
45,PT07M45.00S,2024-01-19T03:11:06.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,10,12,2024-01-19T03:11:08Z,430000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT07M39.00S,2024-01-19T03:11:11.6Z,1,REGULAR,turnover,lost ball,[],1630183,,,1610612750,10,12,2024-01-19T03:11:15Z,440000,False,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1630183, 1631246]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,1.0,Williams Jr.,1631246.0,,,,,,,,,,,,,,,,,
47,PT07M39.00S,2024-01-19T03:11:11.6Z,1,REGULAR,steal,,[],1631246,,,1610612763,10,12,2024-01-19T03:11:13Z,450000,False,,,0,,V. Williams Jr. STEAL (1 STL),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2024-01-19T03:11:17.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629723,5.863994743758213,95.34313725490196,1610612763,10,15,2024-01-19T03:13:52Z,460000,False,-227.0,3.0,1,left,J. Konchar 3PT running pullup (3 PTS) (L. Kennard 2 AST),"[1629723, 1628379]",1610612763.0,MEM,running pullup,,,Konchar,J. Konchar,,,,,Left Corner 3,24+ Left,,,,22.67,Made,,,,,3.0,L. Kennard,1628379.0,2.0,,,,,,,
50,PT07M20.00S,2024-01-19T03:11:31.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.23061760840999,61.029411764705884,1610612750,10,15,2024-01-19T03:11:46Z,480000,False,55.0,256.0,1,right,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,26.14,Missed,,,,,,,,,,,,,,,
51,PT07M18.00S,2024-01-19T03:11:33.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,10,15,2024-01-19T03:11:46Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,50.0,,,,,,,,,,,,,,
52,PT07M18.00S,2024-01-19T03:11:37.3Z,1,REGULAR,foul,personal,[],1628991,,,1610612750,10,15,2024-01-19T03:12:33Z,500000,False,,,0,,J. Jackson Jr. loose ball personal FOUL (1 PF),"[1628991, 203497]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202053.0,1.0,0.0,Gobert,203497.0,,
54,PT07M09.00S,2024-01-19T03:12:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,93.16688567674113,54.33134191176471,1610612750,12,15,2024-01-19T03:12:18Z,520000,False,22.0,12.0,1,right,A. Edwards driving reverse Layup (2 PTS),[1630162],1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,2.47,Made,,,,,2.0,,,,,,,,,,
55,PT06M55.00S,2024-01-19T03:12:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629723,6.521024967148489,49.754901960784316,1610612763,12,17,2024-01-19T03:12:21Z,530000,False,1.0,9.0,1,left,J. Konchar cutting Layup (5 PTS) (X. Tillman 2 AST),"[1629723, 1630214]",1610612763.0,MEM,cutting,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,0.89,Made,,,,,5.0,X. Tillman,1630214.0,2.0,,,,,,,
57,PT06M38.00S,2024-01-19T03:12:33.7Z,1,REGULAR,turnover,3-second-violation,[],203497,,,1610612750,12,17,2024-01-19T03:13:02Z,550000,False,,,0,,R. Gobert 3-second-violation TURNOVER (1 TO),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,,,,2530.0,,,,,,
58,PT06M38.00S,2024-01-19T03:12:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,12,17,2024-01-19T03:12:57Z,560000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M15.00S,2024-01-19T03:16:32.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630214,17.16491458607096,5.147058823529411,1610612763,12,17,2024-01-19T03:16:37Z,570000,False,224.0,109.0,1,left,MISS X. Tillman 24' 3PT,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,,24.93,Missed,,,,,,,,,,,,,,,
60,PT06M11.00S,2024-01-19T03:16:36.2Z,1,REGULAR,rebound,offensive,[],1631246,,,1610612763,12,17,2024-01-19T03:16:37Z,580000,False,,,0,,V. Williams Jr. REBOUND (Off:1 Def:0),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,59.0,1.0,0.0,1.0,,,,,,,,,,,
61,PT06M07.00S,2024-01-19T03:16:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance', 'defensivegoaltending']",1628991,8.886333771353483,56.86274509803921,1610612763,12,19,2024-01-19T03:16:53Z,590000,False,-34.0,31.0,1,left,J. Jackson Jr. driving Layup (6 PTS) (V. Williams Jr. 2 AST),"[1628991, 1631246]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.62,Made,,,,,6.0,V. Williams Jr.,1631246.0,2.0,,,,,,,
63,PT06M07.00S,2024-01-19T03:16:46.3Z,1,REGULAR,violation,defensive goaltending,[],203497,,,1610612763,12,19,2024-01-19T03:16:53Z,610000,False,,,0,,R. Gobert defensive goaltending VIOLATION,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,1627962.0,,,,,,
64,PT05M50.00S,2024-01-19T03:17:07.5Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,12,19,2024-01-19T03:17:12Z,620000,False,,,0,,A. Edwards bad pass TURNOVER (2 TO),"[1630162, 1631246]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,2.0,Williams Jr.,1631246.0,,,,,,,,,,,,,,,,,
65,PT05M50.00S,2024-01-19T03:17:07.5Z,1,REGULAR,steal,,[],1631246,,,1610612763,12,19,2024-01-19T03:17:09Z,630000,False,,,0,,V. Williams Jr. STEAL (2 STL),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
66,PT05M40.00S,2024-01-19T03:17:18.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630214,6.044678055190539,52.10631127450981,1610612763,12,21,2024-01-19T03:17:23Z,640000,False,-11.0,4.0,1,left,X. Tillman cutting DUNK (4 PTS) (V. Williams Jr. 3 AST),"[1630214, 1631246]",1610612763.0,MEM,cutting,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,1.13,Made,,,,,4.0,V. Williams Jr.,1631246.0,3.0,,,,,,,
68,PT05M26.00S,2024-01-19T03:17:32.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,71.43561103810775,74.26470588235294,1610612750,12,21,2024-01-19T03:17:37Z,660000,False,121.0,216.0,1,right,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,24.77,Missed,,,,,,,,,,,,,,,
69,PT05M23.00S,2024-01-19T03:17:35.2Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,12,21,2024-01-19T03:17:37Z,670000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Right Center,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
70,PT05M18.00S,2024-01-19T03:17:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,31.2109888304862,52.864583333333336,1610612763,12,24,2024-01-19T03:19:08Z,680000,False,-14.0,241.0,1,left,J. Jackson Jr. 24' 3PT pullup (9 PTS),[1628991],1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,24.13,Made,,,,,9.0,,,,,,,,,,
71,PT05M02.00S,2024-01-19T03:17:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,92.77266754270697,44.75337009803921,1610612750,14,24,2024-01-19T03:18:01Z,690000,False,-26.0,15.0,1,right,J. McDaniels driving Layup (6 PTS),[1630183],1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,3.04,Made,,,,,6.0,,,,,,,,,,
72,PT04M47.00S,2024-01-19T03:18:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630214,9.411957950065702,43.38235294117647,1610612763,14,24,2024-01-19T03:20:41Z,700000,False,33.0,36.0,1,left,MISS X. Tillman floating Shot,[1630214],1610612763.0,MEM,floating,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,,4.89,Missed,,,,,,,,,,,,,,,
73,PT04M45.00S,2024-01-19T03:18:13.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,14,24,2024-01-19T03:18:15Z,710000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,
74,PT04M33.00S,2024-01-19T03:18:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.67608409986859,64.70588235294117,1610612750,14,24,2024-01-19T03:18:30Z,720000,False,74.0,242.0,1,right,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,25.28,Missed,,,,,,,,,,,,,,,
75,PT04M30.00S,2024-01-19T03:18:28.5Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,14,24,2024-01-19T03:18:30Z,730000,False,,,0,,J. Konchar REBOUND (Off:0 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Center,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,
76,PT04M22.00S,2024-01-19T03:18:35.8Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,14,24,2024-01-19T03:18:42Z,740000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 201144]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,1.0,Conley,201144.0,,,,,,,,,,,,,,,,,
77,PT04M22.00S,2024-01-19T03:18:35.8Z,1,REGULAR,steal,,[],201144,,,1610612750,14,24,2024-01-19T03:18:37Z,750000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
78,PT04M13.00S,2024-01-19T03:18:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,94.43166885676742,49.50980392156863,1610612750,14,24,2024-01-19T03:18:51Z,760000,False,-2.0,0.0,1,right,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,0.25,Missed,,,,,,,,,,,,,,,
79,PT04M10.00S,2024-01-19T03:18:48.6Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,14,24,2024-01-19T03:18:51Z,770000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,
