actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-09T01:10:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-09T01:10:28.4Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2023-11-09T01:10:28Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. R. Gobert: Tip to B. Ingram,"[1627742, 202685, 203497]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-09T01:10:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,17.16491458607096,35.294117647058826,1610612740,0,0,2023-11-09T01:11:01Z,70000,False,74.0,109.0,1,left,MISS B. Ingram 13' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,13.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-11-09T01:10:44.6Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612740,0,0,2023-11-09T01:10:47Z,80000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2023-11-09T01:10:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630526,8.492115637319317,51.225490196078425,1610612740,0,0,2023-11-09T01:10:53Z,90000,False,-6.0,27.0,1,left,MISS J. Robinson-Earl putback Layup,[1630526],1610612740.0,NOP,putback,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2023-11-09T01:10:47.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-11-09T01:10:53Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2023-11-09T01:11:08.0Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,0,0,2023-11-09T01:11:19Z,110000,False,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1630526]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1627539.0,1.0,0.0,Robinson-Earl,1630526.0,,,,,,,,,
13,PT11M23.00S,2023-11-09T01:11:08.0Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,0,0,2023-11-09T01:11:08Z,130000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1627539.0,,,,,1.0,,,,,,,,
14,PT11M06.00S,2023-11-09T01:11:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630700,6.652431011826544,51.9607843137255,1610612740,0,2,2023-11-09T01:11:46Z,140000,False,-10.0,10.0,1,left,D. Daniels driving finger roll Layup (2 PTS) (B. Ingram 1 AST),"[1630700, 1627742]",1610612740.0,NOP,driving finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,,,,,,,2.0,B. Ingram,1627742.0,1.0,,,,
16,PT10M41.00S,2023-11-09T01:12:02.1Z,1,REGULAR,3pt,Jump Shot,[],1630183,67.23061760840999,42.40196078431372,1610612750,3,2,2023-11-09T01:13:33Z,160000,False,-38.0,256.0,1,right,J. McDaniels 25' 3PT pullup (3 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,,,,,,,3.0,A. Edwards,1630162.0,1.0,,,,
18,PT10M22.00S,2023-11-09T01:12:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,18.610381077529567,50.245098039215684,1610612740,3,4,2023-11-09T01:12:26Z,180000,False,-1.0,122.0,1,left,J. Valanciunas 12' Jump Shot (2 PTS) (B. Ingram 2 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,12.24,Made,,,,,,,,,,,2.0,B. Ingram,1627742.0,2.0,,,,
20,PT10M10.00S,2023-11-09T01:12:34.4Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612750,3,4,2023-11-09T01:12:39Z,200000,False,,,0,,R. Gobert lost ball out-of-bounds TURNOVER (1 TO),[203497],1610612750.0,MIN,lost ball,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,200832.0,,,,,1.0,,,,,,,,
21,PT09M54.00S,2023-11-09T01:12:55.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,24.392247043363994,48.03921568627451,1610612740,3,4,2023-11-09T01:13:00Z,210000,False,10.0,177.0,1,left,MISS B. Ingram 17' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,17.71,Missed,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2023-11-09T01:12:58.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,4,2023-11-09T01:13:00Z,220000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M43.00S,2023-11-09T01:13:09.4Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,3,4,2023-11-09T01:13:16Z,230000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,1627539.0,,,,,1.0,,,,,,,,
24,PT09M32.00S,2023-11-09T01:13:29.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630700,32.14520367936925,53.16329656862745,1610612740,3,4,2023-11-09T01:13:36Z,240000,False,-16.0,250.0,1,left,MISS D. Daniels 25' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,25.02,Missed,,,,,,,,,,,,,,,,,,
25,PT09M29.00S,2023-11-09T01:13:32.3Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,3,4,2023-11-09T01:13:36Z,250000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M24.00S,2023-11-09T01:13:39.6Z,1,REGULAR,foul,personal,[],1630526,,,1610612750,3,4,2023-11-09T01:13:47Z,260000,False,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 1626157]",1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Center,,,,,,,1627539.0,1.0,0.0,Towns,1626157.0,,,,,,,,,
28,PT09M13.00S,2023-11-09T01:14:10.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.28186596583443,49.01960784313725,1610612750,3,4,2023-11-09T01:14:15Z,280000,False,-5.0,246.0,1,right,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.57,Missed,,,,,,,,,,,,,,,,,,
29,PT09M10.00S,2023-11-09T01:14:13.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,4,2023-11-09T01:14:15Z,290000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT08M58.00S,2023-11-09T01:14:24.9Z,1,REGULAR,3pt,Jump Shot,[],1627742,7.966491458607096,3.6764705882352944,1610612740,3,4,2023-11-09T01:14:31Z,300000,False,232.0,22.0,1,left,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
31,PT08M57.00S,2023-11-09T01:14:25.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,4,2023-11-09T01:14:31Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Right Corner 3,24+ Right,,,30.0,,,,,,,,,,,,,,,,,
33,PT08M55.00S,2023-11-09T01:14:46.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,7.227332457293036,79.6798406862745,1610612740,3,4,2023-11-09T01:14:53Z,330000,False,-148.0,15.0,1,left,MISS B. Ingram 14' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,14.92,Missed,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2023-11-09T01:14:49.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,3,4,2023-11-09T01:14:53Z,340000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M45.00S,2023-11-09T01:14:56.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.23061760840999,59.55882352941176,1610612750,6,4,2023-11-09T01:15:04Z,350000,False,48.0,256.0,1,right,K. Towns 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[1626157, 1630183]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.99,Made,,,,,,,,,,,3.0,J. McDaniels,1630183.0,1.0,,,,
37,PT08M28.00S,2023-11-09T01:15:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,16.245072273324574,47.794117647058826,1610612740,6,4,2023-11-09T01:19:46Z,370000,False,11.0,100.0,1,left,MISS D. Daniels 10' driving floating Shot,[1630700],1610612740.0,NOP,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,10.08,Missed,,,,,,,,,,,,,,,,,,
38,PT08M25.00S,2023-11-09T01:15:15.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,6,4,2023-11-09T01:15:17Z,380000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,37.0,3.0,3.0,0.0,,,,,,,,,,,,,,
39,PT08M15.00S,2023-11-09T01:15:25.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,66.04796320630749,43.38235294117647,1610612750,9,4,2023-11-09T01:15:30Z,390000,False,-33.0,267.0,1,right,K. Towns 26' 3PT  (6 PTS) (A. Edwards 2 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,26.86,Made,,,,,,,,,,,6.0,A. Edwards,1630162.0,2.0,,,,
41,PT07M56.00S,2023-11-09T01:15:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,18.922470433639948,52.202052696078425,1610612740,9,6,2023-11-09T01:15:51Z,410000,False,-11.0,125.0,1,left,B. Ingram 12' turnaround Jump Shot (2 PTS) (D. Daniels 1 AST),"[1627742, 1630700]",1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.59,Made,,,,,,,,,,,2.0,D. Daniels,1630700.0,1.0,,,,
43,PT07M40.00S,2023-11-09T01:16:03.9Z,1,REGULAR,foul,personal,[],202685,,,1610612750,9,6,2023-11-09T01:16:14Z,430000,False,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 1626157]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200832.0,1.0,0.0,Towns,1626157.0,,,,,,,,,
