actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M53.00S,2023-10-29T00:15:12.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,3,2023-10-29T00:15:16Z,170000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M48.00S,2023-10-29T00:15:22.9Z,1,REGULAR,foul,personal,[],1628389,,,1610612750,2,3,2023-10-29T00:15:31Z,180000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 203497]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,2004.0,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,0.0,Gobert,203497.0,,
20,PT10M39.00S,2023-10-29T00:15:51.1Z,1,REGULAR,2pt,Jump Shot,[],1630162,26.757555847568987,37.254901960784316,1610612750,2,3,2023-10-29T00:15:57Z,200000,False,64.0,199.0,1,left,MISS A. Edwards 20' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,Mid-Range,16-24 Center,20.89,Missed,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2023-10-29T00:15:57.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,3,2023-10-29T00:15:57Z,210000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Mid-Range,16-24 Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M28.00S,2023-10-29T00:16:01.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631170,92.85479632063075,55.88235294117647,1610612748,2,5,2023-10-29T00:17:32Z,220000,False,29.0,15.0,1,right,J. Jaquez Jr. running reverse Layup (2 PTS) (K. Lowry 1 AST),"[1631170, 200768]",1610612748.0,MIA,running reverse,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,Restricted Area,0-8 Center,3.29,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,
24,PT10M18.00S,2023-10-29T00:16:13.5Z,1,REGULAR,foul,personal,[],1631107,,,1610612750,2,5,2023-10-29T00:16:42Z,240000,False,,,0,,N. Jovic personal FOUL (1 PF),"[1631107, 203497]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,1627534.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Gobert,203497.0,,
26,PT10M10.00S,2023-10-29T00:16:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,7.703679369250986,61.76470588235294,1610612750,2,5,2023-10-29T00:18:31Z,260000,False,-59.0,20.0,1,left,MISS N. Alexander-Walker 6' driving Layup,[1629638],1610612750.0,MIN,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,
27,PT10M07.00S,2023-10-29T00:16:43.1Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,2,5,2023-10-29T00:16:46Z,270000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT10M04.00S,2023-10-29T00:16:46.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,75.77201051248358,88.48039215686273,1610612748,2,8,2023-10-29T00:18:53Z,280000,False,192.0,175.0,1,right,T. Herro 26' 3PT running (3 PTS) (N. Jovic 1 AST),"[1629639, 1631107]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Right Center,26.02,Made,3.0,N. Jovic,1631107.0,1.0,,,,,,,,,,,,,
30,PT09M43.00S,2023-10-29T00:17:06.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,10.068988173455978,42.15686274509804,1610612750,4,8,2023-10-29T00:20:11Z,300000,False,39.0,42.0,1,left,M. Conley driving floating Jump Shot (2 PTS) (N. Alexander-Walker 1 AST),"[201144, 1629638]",1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,2.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,,,,
31,PT09M35.00S,2023-10-29T00:17:14.4Z,1,REGULAR,3pt,Jump Shot,[],1631107,73.14388961892247,81.12745098039215,1610612748,4,8,2023-10-29T00:20:21Z,310000,False,156.0,200.0,1,right,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2023-10-29T00:17:16.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,8,2023-10-29T00:17:20Z,320000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M28.00S,2023-10-29T00:17:22.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626157,33.590670170827856,53.92156862745098,1610612750,4,8,2023-10-29T00:20:58Z,330000,False,-20.0,263.0,1,left,MISS K. Towns 26' running 3PT,[1626157],1610612750.0,MIN,running,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,26.4,Missed,,,,,,,,,,,,,,,,,
34,PT09M25.00S,2023-10-29T00:17:25.4Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,4,8,2023-10-29T00:17:28Z,340000,False,,,0,,N. Jovic REBOUND (Off:0 Def:2),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,Above the Break 3,24+ Center,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT09M12.00S,2023-10-29T00:17:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,87.46714848883047,41.42156862745098,1610612748,4,10,2023-10-29T00:21:30Z,350000,False,-43.0,65.0,1,right,B. Adebayo 7' fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,,In The Paint (Non-RA),0-8 Center,7.81,Made,2.0,,,,,,,,,,,,,,,,
36,PT08M56.00S,2023-10-29T00:17:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.389618922470433,46.32352941176471,1610612750,6,10,2023-10-29T00:18:01Z,360000,False,18.0,8.0,1,left,R. Gobert alley-oop DUNK (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,
38,PT08M30.00S,2023-10-29T00:18:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,93.64323258869908,55.392156862745104,1610612748,6,12,2023-10-29T00:18:27Z,380000,False,27.0,7.0,1,right,J. Jaquez Jr. reverse Layup (4 PTS) (K. Lowry 2 AST),"[1631170, 200768]",1610612748.0,MIA,reverse,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,Restricted Area,0-8 Center,2.8,Made,4.0,K. Lowry,200768.0,2.0,,,,,,,,,,,,,
40,PT08M19.00S,2023-10-29T00:18:30.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,23.209592641261498,12.5,1610612750,6,12,2023-10-29T00:18:37Z,400000,False,188.0,166.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,
41,PT08M17.00S,2023-10-29T00:18:32.9Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,6,12,2023-10-29T00:18:37Z,410000,False,,,0,,N. Jovic REBOUND (Off:0 Def:3),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,Above the Break 3,24+ Right Center,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,
42,PT08M11.00S,2023-10-29T00:18:39.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,94.69448094612353,69.6078431372549,1610612748,6,12,2023-10-29T00:22:22Z,420000,False,98.0,-3.0,1,right,MISS B. Adebayo 9' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,,Mid-Range,8-16 Right,9.8,Missed,,,,,,,,,,,,,,,,,
43,PT08M08.00S,2023-10-29T00:18:42.4Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612750,6,12,2023-10-29T00:18:44Z,430000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Mid-Range,8-16 Right,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT08M03.00S,2023-10-29T00:18:46.6Z,1,REGULAR,turnover,lost ball,[],1629638,,,1610612750,6,12,2023-10-29T00:18:52Z,440000,False,,,0,,N. Alexander-Walker lost ball TURNOVER (1 TO),"[1629638, 200768]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,
45,PT08M03.00S,2023-10-29T00:18:46.6Z,1,REGULAR,steal,,[],200768,,,1610612748,6,12,2023-10-29T00:18:48Z,450000,False,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
46,PT08M00.00S,2023-10-29T00:18:50.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,92.85479632063075,50.98039215686274,1610612748,6,14,2023-10-29T00:22:48Z,460000,False,5.0,15.0,1,right,T. Herro running DUNK (5 PTS) (K. Lowry 3 AST),"[1629639, 200768]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,,Restricted Area,0-8 Center,1.55,Made,5.0,K. Lowry,200768.0,3.0,,,,,,,,,,,,,
48,PT07M42.00S,2023-10-29T00:19:07.4Z,1,REGULAR,3pt,Jump Shot,[],201144,21.895532194480946,88.97058823529412,1610612750,6,14,2023-10-29T00:23:11Z,480000,False,-195.0,153.0,1,left,MISS M. Conley 24' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,
49,PT07M41.00S,2023-10-29T00:19:08.4Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,6,14,2023-10-29T00:19:12Z,490000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,Above the Break 3,24+ Left Center,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,
50,PT07M38.00S,2023-10-29T00:19:11.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201144,11.383048620236531,39.950980392156865,1610612750,8,14,2023-10-29T00:23:27Z,500000,False,50.0,55.0,1,left,M. Conley 7' floating Jump Shot (4 PTS),[201144],1610612750.0,MIN,floating,,,Conley,M. Conley,,,,,,In The Paint (Non-RA),0-8 Center,7.41,Made,4.0,,,,,,,,,,,,,,,,
51,PT07M28.00S,2023-10-29T00:19:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,67.62483574244416,48.28431372549019,1610612748,8,14,2023-10-29T00:19:26Z,510000,False,-9.0,252.0,1,right,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Above the Break 3,24+ Center,25.19,Missed,,,,,,,,,,,,,,,,,
52,PT07M26.00S,2023-10-29T00:19:24.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,8,14,2023-10-29T00:19:26Z,520000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,Above the Break 3,24+ Center,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT07M16.00S,2023-10-29T00:19:34.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.933639947437584,41.42156862745098,1610612750,11,14,2023-10-29T00:19:39Z,530000,False,43.0,257.0,1,left,K. Towns 26' 3PT  (3 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,26.07,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,
55,PT06M55.00S,2023-10-29T00:19:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,89.04402102496715,58.82352941176471,1610612748,11,14,2023-10-29T00:20:04Z,550000,False,44.0,50.0,1,right,MISS T. Herro 6' floating Shot,[1629639],1610612748.0,MIA,floating,,,Herro,T. Herro,,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2023-10-29T00:19:57.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,11,14,2023-10-29T00:20:04Z,560000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,
57,PT06M42.00S,2023-10-29T00:20:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,33.196452036793694,52.69607843137255,1610612750,14,14,2023-10-29T00:20:12Z,570000,False,-13.0,260.0,1,left,A. Edwards 25' 3PT  (5 PTS) (N. Alexander-Walker 2 AST),"[1630162, 1629638]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Center,25.99,Made,5.0,N. Alexander-Walker,1629638.0,2.0,,,,,,,,,,,,,
59,PT06M16.00S,2023-10-29T00:20:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.7365308804205,43.38235294117647,1610612748,14,16,2023-10-29T00:24:38Z,590000,False,-33.0,110.0,1,right,B. Adebayo 11' Jump Shot (4 PTS) (K. Lowry 4 AST),"[1628389, 200768]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,In The Paint (Non-RA),8-16 Center,11.47,Made,4.0,K. Lowry,200768.0,4.0,,,,,,,,,,,,,
61,PT05M55.00S,2023-10-29T00:20:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,7.5722733245729295,45.588235294117645,1610612750,16,16,2023-10-29T00:21:00Z,610000,False,22.0,19.0,1,left,M. Conley driving Layup (6 PTS),[201144],1610612750.0,MIN,driving,,,Conley,M. Conley,,,,,,Restricted Area,0-8 Center,2.89,Made,6.0,,,,,,,,,,,,,,,,
62,PT05M42.00S,2023-10-29T00:21:07.9Z,1,REGULAR,3pt,Jump Shot,[],200768,70.64717477003943,23.52941176470588,1610612748,16,19,2023-10-29T00:21:12Z,620000,False,-132.0,223.0,1,right,K. Lowry 25' 3PT pullup (3 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,Above the Break 3,24+ Left Center,25.97,Made,3.0,,,,,,,,,,,,,,,,
63,PT05M40.00S,2023-10-29T00:21:19.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,16,19,2023-10-29T00:21:19Z,630000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,out,[],203497,,,1610612750,16,19,2023-10-29T00:24:04Z,640000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,out,[],201144,,,1610612750,16,19,2023-10-29T00:24:04Z,650000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,out,[],1629639,,,1610612750,16,19,2023-10-29T00:24:04Z,660000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,in,[],1629003,,,1610612750,16,19,2023-10-29T00:24:04Z,670000,False,,,0,,SUB in: S. Milton,[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,in,[],203937,,,1610612750,16,19,2023-10-29T00:24:04Z,680000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M40.00S,2023-10-29T00:23:36.6Z,1,REGULAR,substitution,in,[],1629130,,,1610612750,16,19,2023-10-29T00:24:04Z,690000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M17.00S,2023-10-29T00:24:37.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,27.54599211563732,22.794117647058822,1610612750,16,19,2023-10-29T00:24:43Z,700000,False,136.0,206.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Above the Break 3,24+ Right Center,24.72,Missed,,,,,,,,,,,,,,,,,
72,PT05M14.00S,2023-10-29T00:24:40.9Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,16,19,2023-10-29T00:24:43Z,710000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,Above the Break 3,24+ Right Center,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,
73,PT05M04.00S,2023-10-29T00:24:50.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,93.9060446780552,14.460784313725492,1610612748,16,21,2023-10-29T00:24:54Z,720000,False,-178.0,5.0,1,right,B. Adebayo 17' Jump Shot (6 PTS) (D. Robinson 1 AST),"[1628389, 1629130]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,16-24 Left,17.78,Made,6.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,
75,PT04M47.00S,2023-10-29T00:25:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.280551905387648,40.68627450980392,1610612750,16,21,2023-10-29T00:26:31Z,740000,False,47.0,35.0,1,left,MISS K. Towns driving Layup,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,
76,PT04M45.00S,2023-10-29T00:25:10.4Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,16,21,2023-10-29T00:25:12Z,750000,False,,,0,,N. Jovic REBOUND (Off:0 Def:4),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,75.0,4.0,4.0,0.0,,,,,,,,,
77,PT04M39.00S,2023-10-29T00:25:16.1Z,1,REGULAR,2pt,Jump Shot,[],1628389,91.40932982917214,68.87254901960785,1610612748,16,21,2023-10-29T00:25:31Z,760000,False,94.0,28.0,1,right,MISS B. Adebayo 9' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,8-16 Right,9.86,Missed,,,,,,,,,,,,,,,,,
78,PT04M35.00S,2023-10-29T00:25:20.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,21,2023-10-29T00:25:31Z,770000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Mid-Range,8-16 Right,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,
79,PT04M30.00S,2023-10-29T00:25:25.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626157,7.5722733245729295,39.950980392156865,1610612750,16,21,2023-10-29T00:27:03Z,780000,False,50.0,19.0,1,left,MISS K. Towns running Layup,[1626157],1610612750.0,MIN,running,,,Towns,K. Towns,,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,,,,,,,,,,,,,,,,,
80,PT04M28.00S,2023-10-29T00:25:27.1Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,16,21,2023-10-29T00:25:37Z,790000,False,,,0,,N. Jovic REBOUND (Off:0 Def:5),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,79.0,5.0,5.0,0.0,,,,,,,,,
81,PT04M23.00S,2023-10-29T00:25:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,87.59855453350855,3.6764705882352944,1610612748,16,21,2023-10-29T00:27:32Z,800000,False,-232.0,64.0,1,right,MISS D. Robinson 24' running 3PT,[1629130],1610612748.0,MIA,running,,,Robinson,D. Robinson,,,,,,Left Corner 3,24+ Left,24.03,Missed,,,,,,,,,,,,,,,,,
82,PT04M20.00S,2023-10-29T00:25:34.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,16,21,2023-10-29T00:25:42Z,810000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,Left Corner 3,24+ Left,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
