actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-29T00:13:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-29T00:13:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-10-29T00:13:54.7Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2023-10-29T00:13:54Z,40000,False,,,0,,Jump Ball B. Adebayo vs. R. Gobert: Tip to K. Lowry,"[200768, 1628389, 203497]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2023-10-29T00:13:58.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612748,0,0,2023-10-29T00:14:29Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-10-29T00:14:26.2Z,1,REGULAR,3pt,Jump Shot,[],1631107,70.51576872536137,75.73529411764706,1610612748,0,3,2023-10-29T00:14:45Z,90000,False,129.0,225.0,1,right,N. Jovic 25' 3PT  (3 PTS) (T. Herro 1 AST),"[1631107, 1629639]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,Above the Break 3,24+ Right Center,25.89,Made,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,
11,PT11M17.00S,2023-10-29T00:14:48.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,16.507884362680684,78.92156862745098,1610612750,0,3,2023-10-29T00:15:23Z,110000,False,-145.0,103.0,1,left,MISS K. Towns 17' fadeaway Shot,[1626157],1610612750.0,MIN,fadeaway,,,Towns,K. Towns,,,,,,Mid-Range,16-24 Left,17.74,Missed,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-10-29T00:14:50.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,3,2023-10-29T00:14:54Z,120000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Mid-Range,16-24 Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M13.00S,2023-10-29T00:14:53.5Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,3,2023-10-29T00:14:59Z,130000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1626157]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,
14,PT11M13.00S,2023-10-29T00:14:53.5Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,3,2023-10-29T00:14:56Z,140000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2023-10-29T00:14:58.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1630162,22.683968462549277,73.52941176470588,1610612750,2,3,2023-10-29T00:15:49Z,150000,False,-118.0,161.0,1,left,A. Edwards 19' running pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,,Mid-Range,16-24 Left Center,19.91,Made,2.0,,,,,,,,,,,,,,,,
16,PT10M56.00S,2023-10-29T00:15:09.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,70.64717477003943,17.647058823529413,1610612748,2,3,2023-10-29T00:15:16Z,160000,False,-162.0,223.0,1,right,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Above the Break 3,24+ Left Center,27.58,Missed,,,,,,,,,,,,,,,,,
