actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-23T00:10:35.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2024-03-23T00:10:39.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2024-03-23T00:11:25Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-23T00:10:40.6Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2024-03-23T00:10:37Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Allen: Tip to M. Conley,"[201144, 203497, 1628386]",1610612750.0,MIN,,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-03-23T00:10:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,6.389618922470433,54.41176470588235,1610612750,2,0,2024-03-23T00:12:07Z,80000,False,-22.0,8.0,1,left,M. Conley driving finger roll Layup (2 PTS),[201144],1610612750.0,MIN,,driving finger roll,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M23.00S,2024-03-23T00:11:10.9Z,1,REGULAR,2pt,Jump Shot,[],1627747,71.43561103810775,64.95098039215686,1610612739,2,0,2024-03-23T00:12:02Z,90000,False,75.0,216.0,1,right,MISS C. LeVert 22' pullup Shot,[1627747],1610612739.0,CLE,,pullup,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Right Center,22.86,Missed,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-03-23T00:11:10.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,2,0,2024-03-23T00:11:30Z,100000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Right Center,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M20.00S,2024-03-23T00:11:14.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,72.88107752956637,80.63725490196079,1610612739,2,0,2024-03-23T00:14:23Z,110000,False,153.0,202.0,1,right,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2024-03-23T00:11:16.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2024-03-23T00:11:33Z,120000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M00.00S,2024-03-23T00:11:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,15.062417871222076,49.26470588235294,1610612750,2,0,2024-03-23T00:15:33Z,130000,False,4.0,89.0,1,left,MISS M. Conley 8' driving floating Shot,[201144],1610612750.0,MIN,,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,8.92,Missed,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2024-03-23T00:11:36.5Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,2,0,2024-03-23T00:11:39Z,140000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT10M53.00S,2024-03-23T00:11:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628386,89.56964520367937,50.73529411764706,1610612739,2,0,2024-03-23T00:11:52Z,150000,False,4.0,46.0,1,right,MISS J. Allen driving Layup - blocked,"[1628386, 1630183]",1610612739.0,CLE,,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,McDaniels,1630183.0,,,,,,,,,,
16,PT10M53.00S,2024-03-23T00:11:41.6Z,1,REGULAR,block,,[],1630183,,,1610612739,2,0,2024-03-23T00:11:43Z,160000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2024-03-23T00:11:44.6Z,1,REGULAR,rebound,offensive,[],1629636,,,1610612739,2,0,2024-03-23T00:11:52Z,170000,False,,,0,,D. Garland REBOUND (Off:1 Def:0),[1629636],1610612739.0,CLE,,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
18,PT10M49.00S,2024-03-23T00:11:45.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629636,89.30683311432325,50.245098039215684,1610612739,2,2,2024-03-23T00:11:56Z,180000,False,1.0,48.0,1,right,D. Garland Jump Shot (2 PTS),[1629636],1610612739.0,CLE,,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,2.0,,,,,,,,,,,,,,,,
19,PT10M34.00S,2024-03-23T00:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],1629675,31.09395532194481,29.166666666666668,1610612750,2,2,2024-03-23T00:12:05Z,190000,False,104.0,240.0,1,left,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,26.15,Missed,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2024-03-23T00:12:02.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,2,2024-03-23T00:12:05Z,200000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,
21,PT10M32.00S,2024-03-23T00:12:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612750,2,2,2024-03-23T00:12:15Z,210000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Gobert 2 FT),"[1628386, 203497]",1610612739.0,CLE,1628953.0,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,,
23,PT10M32.00S,2024-03-23T00:12:31.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612750,2,2,2024-03-23T00:12:31Z,230000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,
24,PT10M32.00S,2024-03-23T00:12:31.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,2,2,2024-03-23T00:12:31Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
