actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-21T01:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T01:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-21T01:10:45.8Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2024-01-21T01:10:45Z,40000,False,,,0,,Jump Ball C. Holmgren vs. R. Gobert: Tip to J. Giddey,"[1630581, 1631096, 203497]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-21T01:10:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612760,0,0,2024-01-21T01:11:07Z,70000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630162, 1628983]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,1628480.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-01-21T01:11:20.4Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,0,1,2024-01-21T01:11:20Z,90000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2024-01-21T01:11:33.8Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,0,2,2024-01-21T01:11:33Z,100000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M30.00S,2024-01-21T01:11:52.9Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612750,0,2,2024-01-21T01:11:58Z,110000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1631114]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Williams,1631114.0,,,,,,,,,,
12,PT11M30.00S,2024-01-21T01:11:52.9Z,1,REGULAR,steal,,[],1631114,,,1610612760,0,2,2024-01-21T01:11:55Z,120000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2024-01-21T01:12:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,93.11760840998686,48.03921568627451,1610612760,0,4,2024-01-21T01:12:04Z,130000,False,-10.0,12.0,1,right,S. Gilgeous-Alexander driving Layup (4 PTS) (L. Dort 1 AST),"[1628983, 1629652]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,1.56,L. Dort,1629652.0,1.0,,,,,,
15,PT11M12.00S,2024-01-21T01:12:11.7Z,1,REGULAR,3pt,Jump Shot,[],201144,6.258212877792378,96.81372549019608,1610612750,0,4,2024-01-21T01:12:17Z,150000,False,-234.0,6.0,1,left,MISS M. Conley 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,23.42,,,,,,,,,
16,PT11M10.00S,2024-01-21T01:12:13.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,4,2024-01-21T01:12:17Z,160000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
