actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-15T00:10:52.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-15T00:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-15T00:10:54.0Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2024-01-15T00:10:54Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Theis: Tip to K. Towns,"[1626157, 203497, 1628464]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-15T00:11:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,87.33574244415243,38.48039215686275,1610612750,0,0,2024-01-15T00:11:56Z,70000,False,-58.0,67.0,1,right,MISS K. Towns 8' driving Layup - blocked,"[1626157, 201935]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Left,8.8,Missed,Harden,201935.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-01-15T00:11:11.0Z,1,REGULAR,block,,[],201935,,,1610612750,0,0,2024-01-15T00:11:13Z,80000,False,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-01-15T00:11:11.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,0,0,2024-01-15T00:11:49Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2024-01-15T00:11:36.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,0,0,2024-01-15T00:12:26Z,110000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,8-16 Left,,,,,,1627524.0,,,,,,,,,,,,,,
12,PT11M16.00S,2024-01-15T00:12:04.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628464,26.363337713534822,79.65686274509804,1610612746,0,3,2024-01-15T00:12:10Z,120000,False,-148.0,195.0,1,left,D. Theis 24' 3PT  (3 PTS) (J. Harden 1 AST),"[1628464, 201935]",1610612746.0,LAC,,,,Theis,D. Theis,,,,,Above the Break 3,24+ Left Center,24.52,Made,,,,,3.0,J. Harden,201935.0,1.0,,,,,,,,,,
14,PT10M59.00S,2024-01-15T00:12:20.9Z,1,REGULAR,3pt,Jump Shot,[],201144,73.53810775295663,81.37254901960785,1610612750,0,3,2024-01-15T00:12:26Z,140000,False,157.0,196.0,1,right,MISS M. Conley 25' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.12,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2024-01-15T00:12:23.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612746,0,3,2024-01-15T00:12:26Z,150000,False,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,Above the Break 3,24+ Right Center,,,,,14.0,,,,,,1.0,1.0,0.0,,,,,,,
16,PT10M43.00S,2024-01-15T00:12:37.0Z,1,REGULAR,2pt,Jump Shot,[],202331,7.30946123521682,20.34313725490196,1610612746,0,3,2024-01-15T00:12:42Z,160000,False,148.0,16.0,1,left,MISS P. George 14' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,8-16 Right,14.92,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2024-01-15T00:12:38.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,3,2024-01-15T00:12:42Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,8-16 Right,,,,,16.0,,,,,,,,,,,,,,,
19,PT10M30.00S,2024-01-15T00:13:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,0,3,2024-01-15T00:13:12Z,190000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,bad pass,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,1199.0,,,,,,,,1.0,,,,,,
20,PT10M20.00S,2024-01-15T00:13:24.3Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,0,3,2024-01-15T00:13:29Z,200000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630162]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,
21,PT10M20.00S,2024-01-15T00:13:24.3Z,1,REGULAR,steal,,[],1630162,,,1610612750,0,3,2024-01-15T00:13:26Z,210000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2024-01-15T00:13:32.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,75.64060446780552,85.7843137254902,1610612750,0,3,2024-01-15T00:13:37Z,220000,False,179.0,176.0,1,right,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2024-01-15T00:13:35.5Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,3,2024-01-15T00:13:37Z,230000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,,22.0,,,,,,1.0,1.0,0.0,,,,,,,
