actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-29T01:10:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-29T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-29T01:10:49.3Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2023-11-29T01:10:49Z,40000,False,,,0,,Jump Ball C. Holmgren vs. R. Gobert: Tip to J. Giddey,"[1630581, 1631096, 203497]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-11-29T01:11:01.1Z,1,REGULAR,3pt,Jump Shot,[],1631096,79.188567674113,92.40196078431373,1610612760,0,0,2023-11-29T01:11:06Z,70000,False,212.0,143.0,1,right,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-11-29T01:11:05.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-11-29T01:11:06Z,80000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-11-29T01:11:17.3Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612750,0,0,2023-11-29T01:11:23Z,90000,False,,,0,,N. Alexander-Walker bad pass out-of-bounds TURNOVER (1 TO),[1629638],1610612750.0,MIN,bad pass,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,,,1628954.0,1.0,,,,,,,,,,,,
10,PT11M20.00S,2023-11-29T01:11:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,92.72339027595268,55.88235294117647,1610612760,0,2,2023-11-29T01:11:37Z,100000,False,29.0,16.0,1,right,S. Gilgeous-Alexander cutting Layup (2 PTS) (L. Dort 1 AST),"[1628983, 1629652]",1610612760.0,OKC,cutting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,,,2.0,L. Dort,1629652.0,1.0,,,,,,,,
12,PT11M00.00S,2023-11-29T01:11:53.1Z,1,REGULAR,2pt,Jump Shot,[],1626157,6.915243101182654,70.09803921568627,1610612750,2,2,2023-11-29T01:11:59Z,120000,False,-100.0,13.0,1,left,K. Towns 10' floating Jump Shot (2 PTS),[1626157],1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,10.13,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M50.00S,2023-11-29T01:12:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631114,92.46057818659659,51.470588235294116,1610612760,2,2,2023-11-29T01:12:37Z,130000,False,7.0,18.0,1,right,MISS J. Williams DUNK - blocked,"[1631114, 203497]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.98,Missed,,,,,,,,,,,Gobert,203497.0,,,,,,
19,PT10M50.00S,2023-11-29T01:12:02.5Z,1,REGULAR,block,,[],203497,,,1610612760,2,2,2023-11-29T01:12:37Z,132500,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2023-11-29T01:12:04.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,2,2023-11-29T01:15:17Z,135000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
