actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2023-11-21T01:11:26.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-21T01:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-21T01:11:28.7Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-11-21T01:11:28Z,40000,False,,,0,,Jump Ball M. Robinson vs. R. Gobert: Tip to J. Brunson,"[1628973, 1629011, 203497]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-21T01:11:42.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,75.50919842312747,48.28431372549019,1610612752,0,2,2023-11-21T01:11:50Z,70000,False,-9.0,178.0,1,right,J. Brunson 17' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,17.79,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2023-11-21T01:12:03.0Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,0,2,2023-11-21T01:12:09Z,80000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1629011]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,,1.0,Robinson,1629011.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-11-21T01:12:03.0Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,2,2023-11-21T01:12:05Z,90000,False,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-11-21T01:12:11.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629628,92.77266754270697,43.92616421568628,1610612752,0,2,2023-11-21T01:12:19Z,100000,False,-30.0,15.0,1,right,MISS R. Barrett Layup - blocked,"[1629628, 201144]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,Conley,201144.0,,,,,,,,,,,,
11,PT11M15.00S,2023-11-21T01:12:11.3Z,1,REGULAR,block,,[],201144,,,1610612752,0,2,2023-11-21T01:12:14Z,110000,False,,,0,,M. Conley BLOCK (1 BLK),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-11-21T01:12:11.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,2,2023-11-21T01:12:19Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,,,,,,,,,,,
14,PT10M57.00S,2023-11-21T01:12:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.521024967148489,47.30392156862745,1610612750,2,2,2023-11-21T01:12:43Z,140000,False,13.0,9.0,1,left,R. Gobert cutting Layup (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,,,,,,,K. Towns,1626157.0,1.0,,,,,,,,
16,PT10M42.00S,2023-11-21T01:12:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,92.19776609724047,54.41176470588235,1610612752,2,2,2023-11-21T01:13:00Z,160000,False,22.0,21.0,1,right,MISS J. Brunson driving finger roll Layup,[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
