actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-05T00:10:48.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-05T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-05T00:10:49.7Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2023-11-05T00:10:49Z,40000,False,,,0,,Jump Ball R. Gobert vs. W. Kessler: Tip to K. Towns,"[1626157, 203497, 1631117]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-05T00:11:06.3Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,0,0,2023-11-05T00:11:12Z,70000,False,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Right,1628953.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2023-11-05T00:11:28.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628374,24.52365308804205,49.50980392156863,1610612762,0,0,2023-11-05T00:11:33Z,80000,False,2.0,178.0,1,left,MISS L. Markkanen 17' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Center,,,17.8,Missed,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-11-05T00:11:32.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2023-11-05T00:11:33Z,90000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M14.00S,2023-11-05T00:11:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,92.19776609724047,47.549019607843135,1610612750,2,0,2023-11-05T00:11:45Z,100000,False,-12.0,21.0,1,right,K. Towns driving Layup (2 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,2.42,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,
12,PT10M59.00S,2023-11-05T00:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],1628381,20.318659658344284,89.2156862745098,1610612762,2,0,2023-11-05T00:11:59Z,120000,False,-196.0,138.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,24.01,Missed,,,,,,,,,,,,,,,,
13,PT10M57.00S,2023-11-05T00:11:57.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-11-05T00:11:59Z,130000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M46.00S,2023-11-05T00:12:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.59198423127464,45.09803921568628,1610612750,4,0,2023-11-05T00:12:13Z,140000,False,-25.0,17.0,1,right,R. Gobert cutting Layup (2 PTS) (A. Edwards 2 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,2.99,Made,,,,,2.0,A. Edwards,1630162.0,2.0,,,,,,,,
16,PT10M31.00S,2023-11-05T00:12:24.3Z,1,REGULAR,2pt,Jump Shot,[],1628381,9.674770039421814,25.735294117647058,1610612762,4,2,2023-11-05T00:12:27Z,160000,False,121.0,38.0,1,left,J. Collins 12' step back Jump Shot (2 PTS),[1628381],1610612762.0,UTA,step back,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,12.72,Made,,,,,2.0,,,,,,,,,,,
17,PT10M15.00S,2023-11-05T00:12:41.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,76.03482260183968,58.82352941176471,1610612750,6,2,2023-11-05T00:12:46Z,170000,False,44.0,173.0,1,right,A. Edwards 17' step back Jump Shot (2 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,17.83,Made,,,,,2.0,,,,,,,,,,,
18,PT09M55.00S,2023-11-05T00:13:00.4Z,1,REGULAR,2pt,Jump Shot,[],203903,16.376478318002626,28.431372549019606,1610612762,6,4,2023-11-05T00:13:04Z,180000,False,108.0,101.0,1,left,J. Clarkson 14' pullup Jump Shot (2 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,,,14.8,Made,,,,,2.0,,,,,,,,,,,
19,PT09M42.00S,2023-11-05T00:13:13.2Z,1,REGULAR,3pt,Jump Shot,[],201144,72.88107752956637,82.1078431372549,1610612750,6,4,2023-11-05T00:13:17Z,190000,False,161.0,202.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,25.83,Missed,,,,,,,,,,,,,,,,
20,PT09M40.00S,2023-11-05T00:13:15.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,6,4,2023-11-05T00:13:17Z,200000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT09M31.00S,2023-11-05T00:13:26.4Z,1,REGULAR,foul,personal,[],201144,,,1610612762,6,4,2023-11-05T00:13:40Z,210000,False,,,0,,M. Conley personal FOUL (1 PF),"[201144, 1628374]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,2003.0,,,,,,,,,,,,1.0,0.0,Markkanen,1628374.0,,,,
23,PT09M21.00S,2023-11-05T00:13:53.1Z,1,REGULAR,turnover,lost ball,[],1629659,,,1610612762,6,4,2023-11-05T00:13:57Z,230000,False,,,0,,T. Horton-Tucker lost ball TURNOVER (1 TO),"[1629659, 1626157]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,Towns,1626157.0,,
24,PT09M21.00S,2023-11-05T00:13:53.1Z,1,REGULAR,steal,,[],1626157,,,1610612750,6,4,2023-11-05T00:13:55Z,240000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M17.00S,2023-11-05T00:13:57.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630162,71.69842312746385,76.9607843137255,1610612750,9,4,2023-11-05T00:14:02Z,250000,False,135.0,214.0,1,right,A. Edwards 25' 3PT pullup (5 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,25.25,Made,,,,,5.0,M. Conley,201144.0,1.0,,,,,,,,
27,PT09M01.00S,2023-11-05T00:14:15.7Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612762,9,4,2023-11-05T00:14:24Z,270000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1630183, 1628374]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,,,,,,,,,,,,1.0,0.0,Markkanen,1628374.0,,,,
29,PT09M01.00S,2023-11-05T00:14:39.2Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,9,5,2023-11-05T00:14:39Z,290000,False,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
30,PT09M01.00S,2023-11-05T00:14:56.0Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612762,9,6,2023-11-05T00:14:56Z,300000,False,,,0,,L. Markkanen Free Throw 2 of 2 (2 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
31,PT08M48.00S,2023-11-05T00:15:10.1Z,1,REGULAR,2pt,Jump Shot,[],1630183,88.12417871222075,74.75490196078431,1610612750,11,6,2023-11-05T00:15:14Z,310000,False,124.0,59.0,1,right,J. McDaniels 13' pullup bank Jump Shot (2 PTS),[1630183],1610612750.0,MIN,pullup bank,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,13.72,Made,,,,,2.0,,,,,,,,,,,
32,PT08M36.00S,2023-11-05T00:15:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,12.040078843626807,38.48039215686275,1610612762,11,8,2023-11-05T00:17:49Z,320000,False,58.0,61.0,1,left,L. Markkanen 8' fadeaway Jump Shot (4 PTS) (T. Horton-Tucker 1 AST),"[1628374, 1629659]",1610612762.0,UTA,fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Right,,,8.37,Made,,,,,4.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,
34,PT08M24.00S,2023-11-05T00:15:34.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,91.40932982917214,59.068627450980394,1610612750,13,8,2023-11-05T00:15:38Z,340000,False,45.0,28.0,1,right,K. Towns driving Hook (4 PTS) (A. Edwards 3 AST),"[1626157, 1630162]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,5.34,Made,,,,,4.0,A. Edwards,1630162.0,3.0,,,,,,,,
36,PT08M17.00S,2023-11-05T00:15:47.0Z,1,REGULAR,foul,personal,[],1630183,,,1610612762,13,8,2023-11-05T00:15:57Z,360000,False,,,0,,J. McDaniels personal FOUL (2 PF),"[1630183, 1628374]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,2003.0,,,,,,,,,,,,2.0,0.0,Markkanen,1628374.0,,,,
38,PT08M15.00S,2023-11-05T00:15:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,8.09789750328515,36.51960784313725,1610612762,13,8,2023-11-05T00:16:03Z,380000,False,67.0,24.0,1,left,MISS J. Clarkson 7' Jump Shot - blocked,"[203903, 1630183]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,7.14,Missed,,,,,,,,,,,,,,,McDaniels,1630183.0
