actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-12T23:43:15.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-12T23:43:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-12T23:43:17.5Z,1,REGULAR,jumpball,recovered,[],1631197,,,1610612761,0,0,2025-03-12T23:43:17Z,40000,False,,,0,,Jump Ball J. Poeltl vs. A. Drummond: Tip to J. Rhoden,"[1631197, 1627751, 203083]",1610612761.0,TOR,startperiod,J. Rhoden,1631197.0,Rhoden,J. Rhoden,Poeltl,1627751.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-12T23:43:34.6Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612761,0,0,2025-03-12T23:43:39Z,70000,False,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 1629656]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,1.0,Grimes,1629656.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-03-12T23:43:34.6Z,1,REGULAR,steal,,[],1629656,,,1610612755,0,0,2025-03-12T23:43:36Z,80000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2025-03-12T23:43:43.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626162,4.155716162943495,26.225490196078432,1610612755,0,0,2025-03-12T23:43:50Z,90000,False,119.0,-13.0,1,left,MISS K. Oubre Jr. 11' pullup Shot,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,11.97,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-03-12T23:43:46.7Z,1,REGULAR,rebound,defensive,[],1630658,,,1610612761,0,0,2025-03-12T23:43:50Z,100000,False,,,0,,C. Castleton REBOUND (Off:0 Def:1),[1630658],1610612761.0,TOR,,,,Castleton,C. Castleton,,,,,Mid-Range,8-16 Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M21.00S,2025-03-12T23:43:54.0Z,1,REGULAR,2pt,Jump Shot,[],1642347,88.91261498028909,68.62745098039215,1610612761,2,0,2025-03-12T23:44:06Z,110000,False,93.0,52.0,1,right,J. Shead 10' driving floating bank Jump Shot (2 PTS),[1642347],1610612761.0,TOR,driving floating bank,,,Shead,J. Shead,,,,,Mid-Range,8-16 Right,,,,10.65,Made,,,,,2.0,,,,,,,,,,
12,PT10M59.00S,2025-03-12T23:44:16.6Z,1,REGULAR,3pt,Jump Shot,[],1630215,6.389618922470433,3.1862745098039214,1610612755,2,3,2025-03-12T23:44:22Z,120000,False,234.0,8.0,1,left,J. Butler 3PT  (3 PTS) (A. Drummond 1 AST),"[1630215, 203083]",1610612755.0,PHI,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,,,23.42,Made,,,,,3.0,A. Drummond,203083.0,1.0,,,,,,,
14,PT10M47.00S,2025-03-12T23:44:29.4Z,1,REGULAR,foul,personal,[],1630215,,,1610612761,2,3,2025-03-12T23:44:39Z,140000,False,,,0,,J. Butler personal FOUL (1 PF),"[1630215, 1642347]",1610612755.0,PHI,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1662.0,1.0,0.0,Shead,1642347.0,,
16,PT10M41.00S,2025-03-12T23:44:52.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630658,85.23324572930355,51.9607843137255,1610612761,2,3,2025-03-12T23:44:58Z,160000,False,10.0,86.0,1,right,MISS C. Castleton 8' driving bank Hook,[1630658],1610612761.0,TOR,driving bank,,,Castleton,C. Castleton,,,,,In The Paint (Non-RA),8-16 Center,,,,8.69,Missed,,,,,,,,,,,,,,,
17,PT10M38.00S,2025-03-12T23:44:55.8Z,1,REGULAR,rebound,offensive,[],1631197,,,1610612761,2,3,2025-03-12T23:44:55Z,170000,False,,,0,,J. Rhoden REBOUND (Off:1 Def:0),[1631197],1610612761.0,TOR,,,,Rhoden,J. Rhoden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M34.00S,2025-03-12T23:45:00.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627751,84.83902759526939,44.36274509803921,1610612761,2,3,2025-03-12T23:46:00Z,180000,False,-28.0,90.0,1,right,MISS J. Poeltl 9' driving floating Shot - blocked,"[1627751, 1642348]",1610612761.0,TOR,driving floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,9.43,Missed,,,,,,,,,,,,,,Edwards,1642348.0
19,PT10M34.00S,2025-03-12T23:45:00.4Z,1,REGULAR,block,,[],1642348,,,1610612761,2,3,2025-03-12T23:45:03Z,190000,False,,,0,,J. Edwards BLOCK (1 BLK),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2025-03-12T23:45:02.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,3,2025-03-12T23:45:14Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,18.0,,,,,,,,,,,,,,
22,PT10M29.00S,2025-03-12T23:45:21.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642419,89.83245729303549,3.9215686274509802,1610612761,2,3,2025-03-12T23:45:28Z,220000,False,-230.0,43.0,1,right,MISS J. Battle step back 3PT,[1642419],1610612761.0,TOR,step back,,,Battle,J. Battle,,,,,Left Corner 3,24+ Left,,,,23.44,Missed,,,,,,,,,,,,,,,
23,PT10M25.00S,2025-03-12T23:45:25.8Z,1,REGULAR,rebound,defensive,[],1630215,,,1610612755,2,3,2025-03-12T23:45:28Z,230000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M20.00S,2025-03-12T23:45:29.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1642348,9.280551905387648,70.83333333333334,1610612755,2,5,2025-03-12T23:47:03Z,240000,False,-104.0,35.0,1,left,J. Edwards 10' driving floating Jump Shot (2 PTS),[1642348],1610612755.0,PHI,driving floating,,,Edwards,J. Edwards,,,,,Mid-Range,8-16 Left,,,,10.98,Made,,,,,2.0,,,,,,,,,,
25,PT10M02.00S,2025-03-12T23:45:47.5Z,1,REGULAR,2pt,Jump Shot,[],1631197,79.97700394218134,72.79411764705883,1610612761,2,5,2025-03-12T23:45:53Z,250000,False,114.0,136.0,1,right,MISS J. Rhoden 17' pullup Shot,[1631197],1610612761.0,TOR,pullup,,,Rhoden,J. Rhoden,,,,,Mid-Range,16-24 Right Center,,,,17.72,Missed,,,,,,,,,,,,,,,
26,PT09M59.00S,2025-03-12T23:45:50.5Z,1,REGULAR,rebound,defensive,[],1630215,,,1610612755,2,5,2025-03-12T23:45:53Z,260000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,
27,PT09M52.00S,2025-03-12T23:45:57.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,31.61957950065703,66.91176470588235,1610612755,2,5,2025-03-12T23:46:05Z,270000,False,-85.0,245.0,1,left,MISS Q. Grimes 25' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,25.89,Missed,,,,,,,,,,,,,,,
28,PT09M49.00S,2025-03-12T23:46:02.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,2,5,2025-03-12T23:46:02Z,280000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,
29,PT09M38.00S,2025-03-12T23:46:13.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629656,26.49474375821288,80.3921568627451,1610612755,2,8,2025-03-12T23:46:17Z,290000,False,-152.0,197.0,1,left,Q. Grimes 24' 3PT step back (3 PTS) (J. Butler 1 AST),"[1629656, 1630215]",1610612755.0,PHI,step back,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,24.85,Made,,,,,3.0,J. Butler,1630215.0,1.0,,,,,,,
31,PT09M28.00S,2025-03-12T23:46:22.8Z,1,REGULAR,3pt,Jump Shot,[],1642419,73.53810775295663,14.950980392156863,1610612761,2,8,2025-03-12T23:46:29Z,310000,False,-175.0,196.0,1,right,MISS J. Battle 26' 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Left Center,,,,26.3,Missed,,,,,,,,,,,,,,,
32,PT09M24.00S,2025-03-12T23:46:26.8Z,1,REGULAR,rebound,offensive,[],1631197,,,1610612761,2,8,2025-03-12T23:54:00Z,320000,False,,,0,,J. Rhoden REBOUND (Off:2 Def:0),[1631197],1610612761.0,TOR,,,,Rhoden,J. Rhoden,,,,,Above the Break 3,24+ Left Center,,,,,,31.0,2.0,0.0,2.0,,,,,,,,,,,
33,PT09M22.00S,2025-03-12T23:46:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631197,93.51182654402102,51.9607843137255,1610612761,4,8,2025-03-12T23:54:46Z,330000,False,10.0,8.0,1,right,J. Rhoden putback Layup (2 PTS),[1631197],1610612761.0,TOR,putback,,,Rhoden,J. Rhoden,,,,,Restricted Area,0-8 Center,,,,1.3,Made,,,,,2.0,,,,,,,,,,
35,PT09M15.00S,2025-03-12T23:46:34.8Z,1,REGULAR,3pt,Jump Shot,[],1642348,26.62614980289093,81.86274509803921,1610612755,4,8,2025-03-13T00:45:53Z,350000,False,-159.0,198.0,1,left,MISS J. Edwards 25' 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,,,,25.4,Missed,,,,,,,,,,,,,,,
36,PT09M13.00S,2025-03-12T23:46:36.8Z,1,REGULAR,rebound,defensive,[],1631197,,,1610612761,4,8,2025-03-12T23:46:45Z,360000,False,,,0,,J. Rhoden REBOUND (Off:2 Def:1),[1631197],1610612761.0,TOR,,,,Rhoden,J. Rhoden,,,,,Above the Break 3,24+ Left Center,,,,,,35.0,3.0,1.0,2.0,,,,,,,,,,,
37,PT08M59.00S,2025-03-12T23:46:50.5Z,1,REGULAR,3pt,Jump Shot,[],1642419,78.40013140604468,91.17647058823529,1610612761,4,8,2025-03-12T23:46:57Z,370000,False,206.0,151.0,1,right,MISS J. Battle 25' 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Right Center,,,,25.5,Missed,,,,,,,,,,,,,,,
38,PT08M56.00S,2025-03-12T23:46:53.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,4,8,2025-03-12T23:46:57Z,380000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
