actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-02-05T00:42:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T00:42:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-05T00:42:29.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2025-02-05T00:42:29Z,40000,False,,,0,,Jump Ball K. Towns vs. J. Poeltl: Tip to Team (NYK),"[1626157, 1627751]",1610612752.0,NYK,startperiod,Team (NYK),Towns,1626157.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-05T00:42:48.1Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612752,0,0,2025-02-05T00:44:13Z,70000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612752.0,NYK,bad pass,,,,,,Above the Break 3,24+ Right Center,201638.0,1.0,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-02-05T00:43:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641711,93.51182654402102,51.225490196078425,1610612761,2,0,2025-02-05T00:43:11Z,80000,False,6.0,8.0,1,right,G. Dick cutting Layup (2 PTS) (J. Poeltl 1 AST),"[1641711, 1627751]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,,Dick,G. Dick,1.05,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,
10,PT11M07.00S,2025-02-05T00:43:30.8Z,1,REGULAR,3pt,Jump Shot,[],1630173,5.206964520367937,95.34313725490196,1610612752,2,0,2025-02-05T00:43:35Z,100000,False,-227.0,-4.0,1,left,MISS P. Achiuwa 3PT,[1630173],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Achiuwa,P. Achiuwa,22.67,Missed,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2025-02-05T00:43:33.6Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,2,0,2025-02-05T00:43:33Z,110000,False,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Towns,K. Towns,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M02.00S,2025-02-05T00:43:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,8.886333771353483,43.627450980392155,1610612752,2,0,2025-02-05T00:45:19Z,120000,False,32.0,31.0,1,left,MISS K. Towns putback Layup,[1626157],1610612752.0,NYK,putback,,,,,,In The Paint (Non-RA),0-8 Center,,,Towns,K. Towns,4.45,Missed,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2025-02-05T00:43:38.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,0,2025-02-05T00:43:43Z,130000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,Barnes,S. Barnes,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M56.00S,2025-02-05T00:43:42.4Z,1,REGULAR,2pt,Jump Shot,[],1630193,87.07293035479631,21.568627450980394,1610612761,4,0,2025-02-05T00:53:13Z,140000,False,-142.0,69.0,1,right,I. Quickley 15' turnaround fadeaway Jump Shot (2 PTS),[1630193],1610612761.0,TOR,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,,Quickley,I. Quickley,15.81,Made,2.0,,,,,,,,,,,,,,,,
15,PT10M37.00S,2025-02-05T00:44:01.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.40801576872536,53.92156862745098,1610612752,4,3,2025-02-05T00:44:09Z,150000,False,-20.0,252.0,1,left,K. Towns 25' 3PT  (3 PTS) (P. Achiuwa 1 AST),"[1626157, 1630173]",1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,Towns,K. Towns,25.29,Made,3.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,,,
