actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-10T23:42:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-10T23:42:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-10T23:42:24.2Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-03-10T23:42:24Z,40000,False,,,0,,Jump Ball A. Sarr vs. O. Robinson: Tip to B. Carrington,"[1642267, 1642259, 1631115]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-03-10T23:42:29.8Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,0,0,2025-03-10T23:42:43Z,70000,False,,,0,,B. Coulibaly bad pass out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,bad pass,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,204058.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-03-10T23:42:55.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630567,86.41590013140605,48.529411764705884,1610612761,2,0,2025-03-10T23:43:00Z,80000,False,-7.0,75.0,1,right,S. Barnes 7' driving Hook (2 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,7.56,Made,2.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-03-10T23:43:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,8.886333771353483,39.705882352941174,1610612764,2,2,2025-03-10T23:43:18Z,90000,False,51.0,31.0,1,left,A. Sarr 6' turnaround fadeaway Jump Shot (2 PTS) (B. Carrington 1 AST),"[1642259, 1642267]",1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,6.01,Made,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,,,
11,PT10M56.00S,2025-03-10T23:43:32.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,74.98357424441524,59.80392156862745,1610612761,2,2,2025-03-10T23:43:38Z,110000,False,49.0,183.0,1,right,MISS S. Barnes 18' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,18.92,Missed,,,,,,,,,,,,,,,,
12,PT10M54.00S,2025-03-10T23:43:34.1Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,2,2,2025-03-10T23:43:38Z,120000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M41.00S,2025-03-10T23:43:49.5Z,1,REGULAR,foul,personal,[],1631197,,,1610612764,2,2,2025-03-10T23:43:58Z,130000,False,,,0,,J. Rhoden personal FOUL (1 PF),"[1631197, 1629673]",1610612761.0,TOR,,,,Rhoden,J. Rhoden,,,,,Above the Break 3,24+ Right Center,204058.0,,,,,,,,,,,,1.0,0.0,Poole,1629673.0,,,,
15,PT10M33.00S,2025-03-10T23:44:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642273,17.95335085413929,41.66666666666667,1610612764,2,4,2025-03-10T23:44:22Z,150000,False,42.0,116.0,1,left,K. George 12' step back Jump Shot (2 PTS),[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,12.35,Made,2.0,,,,,,,,,,,,,,,
16,PT10M24.00S,2025-03-10T23:44:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,90.3580814717477,48.28431372549019,1610612761,2,4,2025-03-10T23:44:34Z,160000,False,-9.0,38.0,1,right,MISS S. Barnes driving Layup - blocked,"[1630567, 1642273]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,3.91,Missed,,,,,,,,,,,,,George,1642273.0,,
17,PT10M24.00S,2025-03-10T23:44:26.3Z,1,REGULAR,block,,[],1642273,,,1610612761,2,4,2025-03-10T23:44:28Z,170000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2025-03-10T23:44:26.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,4,2025-03-10T23:44:34Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,,,,,,,,,,,
20,PT10M22.00S,2025-03-10T23:44:46.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630193,92.72339027595268,11.76470588235294,1610612761,2,4,2025-03-10T23:44:51Z,200000,False,-191.0,16.0,1,right,MISS I. Quickley 19' Jump Shot,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Left,,,19.19,Missed,,,,,,,,,,,,,,,,
21,PT10M19.00S,2025-03-10T23:44:49.5Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,4,2025-03-10T23:44:49Z,210000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,
22,PT10M18.00S,2025-03-10T23:44:50.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,90.09526938239159,50.245098039215684,1610612761,2,4,2025-03-10T23:46:06Z,220000,False,1.0,41.0,1,right,MISS S. Barnes putback Layup - blocked,"[1630567, 1642273]",1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,4.06,Missed,,,,,,,,,,,,,George,1642273.0,,
23,PT10M18.00S,2025-03-10T23:44:50.2Z,1,REGULAR,block,,[],1642273,,,1610612761,2,4,2025-03-10T23:44:52Z,230000,False,,,0,,K. George BLOCK (2 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M18.00S,2025-03-10T23:44:50.2Z,1,REGULAR,rebound,offensive,[],1630193,,,1610612761,2,4,2025-03-10T23:44:54Z,240000,False,,,0,,I. Quickley REBOUND (Off:1 Def:0),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,
25,PT10M08.00S,2025-03-10T23:45:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,93.38042049934296,48.03921568627451,1610612761,4,4,2025-03-10T23:45:06Z,250000,False,-10.0,10.0,1,right,R. Barrett driving finger roll Layup (2 PTS),[1629628],1610612761.0,TOR,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,1.38,Made,2.0,,,,,,,,,,,,,,,
26,PT09M53.00S,2025-03-10T23:45:15.7Z,1,REGULAR,2pt,Jump Shot,[],1642267,26.49474375821288,50.98039215686274,1610612764,4,4,2025-03-10T23:45:40Z,260000,False,-5.0,197.0,1,left,MISS B. Carrington 19' pullup Shot,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,19.67,Missed,,,,,,,,,,,,,,,,
27,PT09M50.00S,2025-03-10T23:45:18.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,4,4,2025-03-10T23:45:40Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,26.0,,,,,,,,,,,
29,PT09M36.00S,2025-03-10T23:45:48.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642273,31.750985545335087,40.44117647058824,1610612764,4,7,2025-03-10T23:45:54Z,290000,False,48.0,246.0,1,left,K. George 25' 3PT pullup (5 PTS),[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,Above the Break 3,24+ Center,,,25.06,Made,5.0,,,,,,,,,,,,,,,
