actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-29T23:12:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-29T23:12:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-29T23:12:53.8Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2024-12-29T23:12:53Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Poeltl: Tip to J. Johnson,"[1630552, 203991, 1627751]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-12-29T23:13:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630249,11.383048620236531,3.6764705882352944,1610612737,0,0,2024-12-29T23:13:51Z,70000,False,232.0,55.0,1,left,MISS V. Krejčí step back 3PT,[1630249],1610612737.0,ATL,step back,,,Krejčí,V. Krejčí,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-12-29T23:13:11.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2024-12-29T23:13:14Z,80000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-12-29T23:13:18.0Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2024-12-29T23:13:22Z,90000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1630552]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Johnson,1630552.0,,,,,,,,,,,
10,PT11M32.00S,2024-12-29T23:13:18.0Z,1,REGULAR,steal,,[],1630552,,,1610612737,0,0,2024-12-29T23:13:19Z,100000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2024-12-29T23:13:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630552,16.245072273324574,45.34313725490196,1610612737,0,0,2024-12-29T23:13:30Z,110000,False,23.0,100.0,1,left,MISS J. Johnson 10' driving floating bank Shot,[1630552],1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,10.29,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2024-12-29T23:13:28.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,0,0,2024-12-29T23:13:30Z,120000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M19.00S,2024-12-29T23:13:30.5Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612761,0,0,2024-12-29T23:13:34Z,130000,False,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1630249]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Krejčí,1630249.0,,,,,,,,,,,
14,PT11M19.00S,2024-12-29T23:13:30.5Z,1,REGULAR,steal,,[],1630249,,,1610612737,0,0,2024-12-29T23:13:32Z,140000,False,,,0,,V. Krejčí STEAL (1 STL),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
