actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-03T23:43:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T23:43:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-03T23:43:32.1Z,1,REGULAR,jumpball,recovered,[],1630625,,,1610612757,0,0,2025-04-03T23:43:32Z,40000,False,,,0,,Jump Ball D. Clingan vs. O. Robinson: Tip to D. Banton,"[1630625, 1642270, 1631115]",1610612757.0,POR,startperiod,D. Banton,1630625.0,Banton,D. Banton,Clingan,1642270.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-04-03T23:43:52.8Z,1,REGULAR,2pt,Jump Shot,[],1631101,94.1688567674113,71.07843137254902,1610612757,0,2,2025-04-03T23:43:59Z,70000,False,105.0,2.0,1,right,S. Sharpe 10' step back Jump Shot (2 PTS),[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Right,10.54,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M10.00S,2025-04-03T23:44:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,15.588042049934298,38.970588235294116,1610612761,0,2,2025-04-03T23:44:23Z,80000,False,55.0,94.0,1,left,MISS S. Barnes 10' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,10.9,Missed,,,,,,,,,,,,,,,,,,
9,PT11M08.00S,2025-04-03T23:44:20.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,2,2025-04-03T23:44:23Z,90000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT10M48.00S,2025-04-03T23:44:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630625,73.53810775295663,16.911764705882355,1610612757,0,2,2025-04-03T23:44:44Z,100000,False,-165.0,196.0,1,right,MISS D. Banton 25' 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
11,PT10M45.00S,2025-04-03T23:44:42.7Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,2,2025-04-03T23:44:42Z,110000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M43.00S,2025-04-03T23:44:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,92.9862023653088,52.450980392156865,1610612757,0,4,2025-04-03T23:44:49Z,120000,False,12.0,13.0,1,right,D. Avdija cutting finger roll Layup (2 PTS) (D. Clingan 1 AST),"[1630166, 1642270]",1610612757.0,POR,cutting finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,,,,,D. Clingan,1642270.0,1.0,,,,,,,,,,
14,PT10M24.00S,2025-04-03T23:45:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,7.835085413929041,57.59803921568627,1610612761,0,4,2025-04-03T23:45:09Z,140000,False,-38.0,21.0,1,left,MISS R. Barrett driving Layup - blocked,"[1629628, 1630166]",1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,Avdija,1630166.0,,,,,,,,
15,PT10M24.00S,2025-04-03T23:45:03.7Z,1,REGULAR,block,,[],1630166,,,1610612761,0,4,2025-04-03T23:45:05Z,150000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2025-04-03T23:45:06.7Z,1,REGULAR,rebound,offensive,[],1642266,,,1610612761,0,4,2025-04-03T23:45:09Z,160000,False,,,0,,J. Walter REBOUND (Off:1 Def:0),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT10M21.00S,2025-04-03T23:45:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642266,12.828515111695138,48.529411764705884,1610612761,2,4,2025-04-03T23:45:56Z,170000,False,7.0,68.0,1,left,J. Walter 6' driving Layup (2 PTS),[1642266],1610612761.0,TOR,driving,,,Walter,J. Walter,,,,,In The Paint (Non-RA),0-8 Center,6.85,Made,2.0,,,,,,,,,,,,,,,,,
18,PT09M57.00S,2025-04-03T23:45:30.7Z,1,REGULAR,3pt,Jump Shot,[],1641739,80.76544021024968,6.372549019607843,1610612757,2,4,2025-04-03T23:45:36Z,180000,False,-218.0,128.0,1,right,MISS T. Camara 25' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,,
19,PT09M56.00S,2025-04-03T23:45:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,4,2025-04-03T23:45:36Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,18.0,,,,,,,,,,,,,,,,
21,PT09M54.00S,2025-04-03T23:45:50.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,94.95729303547962,2.696078431372549,1610612757,2,4,2025-04-03T23:45:54Z,210000,False,-237.0,-5.0,1,right,MISS S. Sharpe 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
22,PT09M50.00S,2025-04-03T23:45:54.0Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612757,2,4,2025-04-03T23:45:54Z,220000,False,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Left Corner 3,24+ Left,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT09M47.00S,2025-04-03T23:45:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641739,93.77463863337714,52.450980392156865,1610612757,2,6,2025-04-03T23:46:47Z,230000,False,12.0,6.0,1,right,T. Camara driving Layup (2 PTS) (D. Banton 1 AST),"[1641739, 1630625]",1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,1.37,Made,2.0,,,,,D. Banton,1630625.0,1.0,,,,,,,,,,
