actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-16T00:12:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T00:12:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-16T00:12:41.1Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612765,0,0,2024-11-16T00:12:41Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Pöltl: Tip to M. Beasley,"[1627736, 1631105, 1627751]",1610612765.0,DET,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Duren,1631105.0,Pöltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-16T00:12:54.1Z,1,REGULAR,2pt,Jump Shot,[],1627736,22.28975032851511,68.62745098039215,1610612765,0,2,2024-11-16T00:12:58Z,70000,False,-93.0,157.0,1,left,M. Beasley 18' pullup Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1627736, 1630595]",1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Left Center,18.25,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-11-16T00:13:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.24901445466492,50.245098039215684,1610612761,2,2,2024-11-16T00:16:26Z,90000,False,1.0,11.0,1,right,J. Pöltl Layup (2 PTS) (O. Agbaji 1 AST),"[1627751, 1630534]",1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,Restricted Area,0-8 Center,1.11,Made,2.0,O. Agbaji,1630534.0,1.0,,,,,,,,,,,,,,
11,PT11M11.00S,2024-11-16T00:13:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.5946123521682,59.80392156862745,1610612765,2,2,2024-11-16T00:13:30Z,110000,False,-49.0,47.0,1,left,MISS T. Harris 6' driving floating bank Shot,[202699],1610612765.0,DET,driving floating bank,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,6.8,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-11-16T00:13:28.1Z,1,REGULAR,rebound,offensive,[],202699,,,1610612765,2,2,2024-11-16T00:13:28Z,120000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M06.00S,2024-11-16T00:13:29.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,32.013797634691194,50.49019607843137,1610612765,2,5,2024-11-16T00:13:33Z,130000,False,-2.0,248.0,1,left,C. Cunningham 24' 3PT  (3 PTS) (T. Harris 1 AST),"[1630595, 202699]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,24.84,Made,3.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
15,PT10M48.00S,2024-11-16T00:13:48.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,88.38699080157687,48.28431372549019,1610612761,4,5,2024-11-16T00:13:52Z,150000,False,-9.0,57.0,1,right,J. Pöltl Hook (4 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,In The Paint (Non-RA),0-8 Center,5.73,Made,4.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
17,PT10M26.00S,2024-11-16T00:14:10.0Z,1,REGULAR,2pt,Jump Shot,[],1627736,6.915243101182654,14.215686274509803,1610612765,4,5,2024-11-16T00:14:14Z,170000,False,179.0,13.0,1,left,MISS M. Beasley 17' pullup Shot,[1627736],1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Right,17.93,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2024-11-16T00:14:12.0Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,4,5,2024-11-16T00:14:14Z,180000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,16-24 Right,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
