actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-01-16T00:42:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T00:42:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-16T00:42:31.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612738,0,0,2025-01-16T00:42:31Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. J. Poeltl: Tip to Team (BOS),"[204001, 1627751]",1610612738.0,BOS,startperiod,Team (BOS),Porziņģis,204001.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-01-16T00:42:55.4Z,1,REGULAR,foul,personal,[],1630558,,,1610612738,0,0,2025-01-16T00:43:50Z,70000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1627759]",1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,1830.0,1.0,0.0,Mitchell,D. Mitchell,Brown,1627759.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-01-16T00:43:17.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.750985545335087,69.11764705882352,1610612738,0,0,2025-01-16T00:43:21Z,90000,False,-96.0,246.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Tatum,J. Tatum,,,26.39,Missed,,,,,,,,,,,,,,
10,PT11M38.00S,2025-01-16T00:43:20.0Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612761,0,0,2025-01-16T00:43:21Z,100000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,Mitchell,D. Mitchell,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M26.00S,2025-01-16T00:43:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630558,93.9060446780552,95.34313725490196,1610612761,3,0,2025-01-16T00:43:35Z,110000,False,227.0,5.0,1,right,D. Mitchell 3PT  (3 PTS) (S. Barnes 1 AST),"[1630558, 1630567]",1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,,,Mitchell,D. Mitchell,,,22.68,Made,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,
13,PT11M06.00S,2025-01-16T00:43:52.3Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,3,0,2025-01-16T00:43:56Z,130000,False,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 1630558]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,White,D. White,,,,,,,,,,,,,1.0,Mitchell,1630558.0,,,
14,PT11M06.00S,2025-01-16T00:43:52.3Z,1,REGULAR,steal,,[],1630558,,,1610612761,3,0,2025-01-16T00:43:54Z,140000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-01-16T00:43:57.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630567,79.84559789750328,92.40196078431373,1610612761,6,0,2025-01-16T00:46:24Z,150000,False,212.0,137.0,1,right,S. Barnes 25' 3PT running (3 PTS) (D. Mitchell 1 AST),"[1630567, 1630558]",1610612761.0,TOR,running,,,,,,Above the Break 3,24+ Right Center,,,,Barnes,S. Barnes,,,25.24,Made,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,
17,PT10M43.00S,2025-01-16T00:44:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.258212877792378,50.245098039215684,1610612738,6,2,2025-01-16T00:44:20Z,170000,False,-1.0,6.0,1,left,J. Brown driving finger roll Layup (2 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Brown,J. Brown,,,0.64,Made,,,,,2.0,,,,,,,,,
18,PT10M26.00S,2025-01-16T00:44:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.51182654402102,53.431372549019606,1610612761,8,2,2025-01-16T00:44:36Z,180000,False,17.0,8.0,1,right,J. Poeltl cutting Layup (2 PTS) (S. Barnes 2 AST),"[1627751, 1630567]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,,,Poeltl,J. Poeltl,,,1.92,Made,,,,,2.0,S. Barnes,1630567.0,2.0,,,,,,
20,PT10M08.00S,2025-01-16T00:44:49.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,21.895532194480946,90.19607843137256,1610612738,8,2,2025-01-16T00:44:53Z,200000,False,-201.0,153.0,1,left,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Left Center,,,,White,D. White,,,25.28,Missed,,,,,,,,,,,,,,
21,PT10M06.00S,2025-01-16T00:44:51.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,8,2,2025-01-16T00:44:53Z,210000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,Poeltl,J. Poeltl,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M02.00S,2025-01-16T00:44:57.1Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612761,8,2,2025-01-16T00:45:11Z,220000,False,,,0,,D. White shooting personal FOUL (1 PF) (Dick 2 FT),"[1628401, 1641711]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),8-16 Left,202026.0,1.0,0.0,White,D. White,Dick,1641711.0,,,,,,,,,,,,,,,,
25,PT10M02.00S,2025-01-16T00:45:22.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641711,,,1610612761,9,2,2025-01-16T00:45:22Z,240000,False,,,0,,G. Dick Free Throw 1 of 2 (1 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,,,Dick,G. Dick,,,,Made,,,,,1.0,,,,,,,,,
26,PT10M02.00S,2025-01-16T00:45:38.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641711,,,1610612761,10,2,2025-01-16T00:45:38Z,250000,False,,,0,,G. Dick Free Throw 2 of 2 (2 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,,,Dick,G. Dick,,,,Made,,,,,2.0,,,,,,,,,
27,PT09M42.00S,2025-01-16T00:45:59.3Z,1,REGULAR,2pt,Jump Shot,[],1628401,11.645860709592641,72.79411764705883,1610612738,10,2,2025-01-16T00:47:33Z,260000,False,-114.0,57.0,1,left,MISS D. White 12' fadeaway Shot,[1628401],1610612738.0,BOS,fadeaway,,,,,,Mid-Range,8-16 Left,,,,White,D. White,,,12.75,Missed,,,,,,,,,,,,,,
28,PT09M39.00S,2025-01-16T00:46:02.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,10,2,2025-01-16T00:46:06Z,270000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Left,,,,Barrett,R. Barrett,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT09M32.00S,2025-01-16T00:46:09.6Z,1,REGULAR,2pt,Jump Shot,[],1629628,91.80354796320631,73.52941176470588,1610612761,10,2,2025-01-16T00:46:14Z,280000,False,118.0,25.0,1,right,MISS R. Barrett 12' turnaround Shot,[1629628],1610612761.0,TOR,turnaround,,,,,,Mid-Range,8-16 Right,,,,Barrett,R. Barrett,,,12.01,Missed,,,,,,,,,,,,,,
30,PT09M29.00S,2025-01-16T00:46:12.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,10,2,2025-01-16T00:46:14Z,290000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Right,,,,Porziņģis,K. Porziņģis,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT09M15.00S,2025-01-16T00:46:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,9.543363994743759,50.98039215686274,1610612738,10,4,2025-01-16T00:46:31Z,300000,False,-5.0,37.0,1,left,J. Holiday driving finger roll Layup (2 PTS),[201950],1610612738.0,BOS,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Holiday,J. Holiday,,,3.75,Made,,,,,2.0,,,,,,,,,
32,PT08M59.00S,2025-01-16T00:46:42.0Z,1,REGULAR,3pt,Jump Shot,[],1641711,65.39093298291722,66.91176470588235,1610612761,13,4,2025-01-16T00:46:46Z,310000,False,85.0,273.0,1,right,G. Dick 28' 3PT  (5 PTS) (S. Barnes 3 AST),"[1641711, 1630567]",1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,,,Dick,G. Dick,,,28.56,Made,,,,,5.0,S. Barnes,1630567.0,3.0,,,,,,
34,PT08M48.00S,2025-01-16T00:46:58.9Z,1,REGULAR,foul,personal,[],1630558,,,1610612738,13,4,2025-01-16T00:47:10Z,330000,False,,,0,,D. Mitchell personal FOUL (2 PF),"[1630558, 1627759]",1610612761.0,TOR,,,,,,,Mid-Range,8-16 Left,202026.0,2.0,0.0,Mitchell,D. Mitchell,Brown,1627759.0,,,,,,,,,,,,,,,,
36,PT08M48.00S,2025-01-16T00:47:12.0Z,1,REGULAR,foul,technical,['1freethrow'],1630558,,,1610612738,13,4,2025-01-16T00:47:23Z,350000,False,,,0,,D. Mitchell technical FOUL (1 Tech),[1630558],1610612761.0,TOR,,,,,,,,,1628485.0,2.0,1.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
37,PT08M48.00S,2025-01-16T00:47:27.3Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,13,5,2025-01-16T00:47:27Z,360000,False,,,0,,J. Tatum technical Free Throw 1 of 1 (1 PTS),[1628369],1610612738.0,BOS,technical,,,,,,,,,,,Tatum,J. Tatum,,,,Made,,,,,1.0,,,,,,,,,
38,PT08M48.00S,2025-01-16T00:47:28.7Z,1,REGULAR,substitution,out,[],1630558,,,1610612738,13,5,2025-01-16T00:47:34Z,370000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612761.0,TOR,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2025-01-16T00:47:28.7Z,1,REGULAR,substitution,in,[],1630534,,,1610612738,13,5,2025-01-16T00:47:34Z,380000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,,,,,,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,
40,PT08M42.00S,2025-01-16T00:47:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,26.49474375821288,19.11764705882353,1610612738,13,5,2025-01-16T00:47:54Z,390000,False,154.0,197.0,1,left,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,,,,White,D. White,,,25.0,Missed,,,,,,,,,,,,,,
41,PT08M38.00S,2025-01-16T00:47:53.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,13,5,2025-01-16T00:47:54Z,400000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,,,Poeltl,J. Poeltl,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,
42,PT08M33.00S,2025-01-16T00:47:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630534,94.03745072273325,47.794117647058826,1610612761,15,5,2025-01-16T00:48:04Z,410000,False,-11.0,4.0,1,right,O. Agbaji running reverse Layup (2 PTS) (R. Barrett 1 AST),"[1630534, 1629628]",1610612761.0,TOR,running reverse,,,,,,Restricted Area,0-8 Center,,,,Agbaji,O. Agbaji,,,1.15,Made,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,
44,PT08M33.00S,2025-01-16T00:48:03.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,5,2025-01-16T00:48:03Z,430000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M33.00S,2025-01-16T00:49:12.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,15,5,2025-01-16T00:50:32Z,440000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,
46,PT08M33.00S,2025-01-16T00:49:12.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,15,5,2025-01-16T00:50:32Z,450000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,
47,PT08M21.00S,2025-01-16T00:51:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,12.171484888304862,53.18627450980392,1610612738,15,7,2025-01-16T01:27:46Z,460000,False,-16.0,62.0,1,left,K. Porziņģis 6' driving floating Jump Shot (2 PTS),[204001],1610612738.0,BOS,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Porziņģis,K. Porziņģis,,,6.39,Made,,,,,2.0,,,,,,,,,
49,PT07M58.00S,2025-01-16T00:51:30.9Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612761,15,7,2025-01-16T00:51:35Z,480000,False,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 204001]",1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Barrett,R. Barrett,,,,,,,,,,,,,1.0,Porziņģis,204001.0,,,
50,PT07M58.00S,2025-01-16T00:51:30.9Z,1,REGULAR,steal,,[],204001,,,1610612738,15,7,2025-01-16T00:51:33Z,490000,False,,,0,,K. Porziņģis STEAL (1 STL),[204001],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2025-01-16T00:51:39.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627759,6.389618922470433,48.28431372549019,1610612738,15,9,2025-01-16T00:51:50Z,500000,False,9.0,8.0,1,left,J. Brown cutting DUNK (4 PTS) (K. Porziņģis 1 AST),"[1627759, 204001]",1610612738.0,BOS,cutting,,,,,,Restricted Area,0-8 Center,,,,Brown,J. Brown,,,1.15,Made,,,,,4.0,K. Porziņģis,204001.0,1.0,,,,,,
53,PT07M33.00S,2025-01-16T00:51:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,66.96780551905388,29.65686274509804,1610612761,15,9,2025-01-16T00:53:46Z,520000,False,-102.0,258.0,1,right,MISS S. Barnes 27' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Barnes,S. Barnes,,,27.73,Missed,,,,,,,,,,,,,,
54,PT07M30.00S,2025-01-16T00:51:58.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,9,2025-01-16T00:51:58Z,530000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Tatum,J. Tatum,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,
55,PT07M27.00S,2025-01-16T00:52:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1630534,,,1610612738,15,9,2025-01-16T00:52:15Z,540000,False,,,0,,O. Agbaji shooting personal FOUL (1 PF) (Holiday 2 FT),"[1630534, 201950]",1610612761.0,TOR,shooting,,,,,,Restricted Area,0-8 Center,202026.0,1.0,0.0,Agbaji,O. Agbaji,Holiday,201950.0,,,,,,,,,,,,,,,,
