actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-09T00:42:04.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T00:42:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-09T00:42:06.5Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2025-03-09T00:42:06Z,40000,False,,,0,,Jump Ball A. Sarr vs. J. Poeltl: Tip to K. George,"[1642273, 1642259, 1627751]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-09T00:42:18.6Z,1,REGULAR,3pt,Jump Shot,[],1641731,4.681340341655716,3.6764705882352944,1610612764,0,0,2025-03-09T00:42:25Z,70000,False,232.0,-8.0,1,left,MISS B. Coulibaly 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-09T00:42:22.6Z,1,REGULAR,rebound,offensive,[],203114,,,1610612764,0,0,2025-03-09T00:42:25Z,80000,False,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-03-09T00:42:26.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641731,5.601182654402102,49.754901960784316,1610612764,0,2,2025-03-09T00:42:31Z,90000,False,1.0,0.0,1,left,B. Coulibaly cutting DUNK (2 PTS) (K. George 1 AST),"[1641731, 1642273]",1610612764.0,WAS,cutting,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,2.0,K. George,1642273.0,1.0,,,,,,,,,,
11,PT11M11.00S,2025-03-09T00:42:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.46057818659659,50.49019607843137,1610612761,2,2,2025-03-09T00:42:58Z,110000,False,2.0,18.0,1,right,J. Poeltl cutting Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.86,Made,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,
13,PT11M03.00S,2025-03-09T00:42:59.9Z,1,REGULAR,3pt,Jump Shot,[],1641731,3.235873850197109,95.34313725490196,1610612764,2,5,2025-03-09T00:43:03Z,130000,False,-227.0,-22.0,1,left,B. Coulibaly 3PT  (5 PTS) (J. Poole 1 AST),"[1641731, 1629673]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Left Corner 3,24+ Left,22.78,Made,,,,,5.0,J. Poole,1629673.0,1.0,,,,,,,,,,
15,PT10M55.00S,2025-03-09T00:43:08.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,73.01248357424441,18.38235294117647,1610612761,5,5,2025-03-09T00:43:13Z,150000,False,-158.0,201.0,1,right,S. Barnes 25' 3PT pullup (3 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,25.59,Made,,,,,3.0,,,,,,,,,,,,,
16,PT10M47.00S,2025-03-09T00:43:18.5Z,1,REGULAR,foul,personal,[],1627751,,,1610612764,5,5,2025-03-09T00:43:26Z,160000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 1642259]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,,,,,,201639.0,1.0,0.0,Sarr,1642259.0,,,,,
18,PT10M40.00S,2025-03-09T00:43:45.5Z,1,REGULAR,2pt,Jump Shot,[],203114,13.61695137976347,74.01960784313727,1610612764,5,7,2025-03-09T00:43:53Z,180000,False,-120.0,75.0,1,left,K. Middleton 14' step back Jump Shot (2 PTS) (B. Coulibaly 1 AST),"[203114, 1641731]",1610612764.0,WAS,step back,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,14.19,Made,,,,,2.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,
