actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-01T23:12:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-01T23:12:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-01T23:12:45.0Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-12-01T23:12:45Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Poeltl: Tip to J. Butler,"[202710, 1628389, 1627751]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-01T23:12:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,8.754927726675426,40.19607843137255,1610612748,0,0,2024-12-01T23:13:08Z,70000,False,49.0,30.0,1,left,MISS B. Adebayo driving Layup - blocked,"[1628389, 1627751]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-12-01T23:12:59.0Z,1,REGULAR,block,,[],1627751,,,1610612748,0,0,2024-12-01T23:13:01Z,80000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-12-01T23:13:00.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2024-12-01T23:13:08Z,90000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M41.00S,2024-12-01T23:13:04.2Z,1,REGULAR,foul,personal,[],1627751,,,1610612748,0,0,2024-12-01T23:13:17Z,100000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 1628389]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628159.0,1.0,0.0,Adebayo,1628389.0,,,,,,,
12,PT11M31.00S,2024-12-01T23:13:35.4Z,1,REGULAR,foul,offensive,[],1629130,,,1610612748,0,0,2024-12-01T23:13:54Z,120000,False,,,0,,D. Robinson off-the-ball offensive FOUL (1 PF),"[1629130, 1629628]",1610612748.0,MIA,off-the-ball,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,202037.0,1.0,0.0,Barrett,1629628.0,,,,,,,
14,PT11M31.00S,2024-12-01T23:13:35.4Z,1,REGULAR,turnover,offensive foul,[],1629130,,,1610612748,0,0,2024-12-01T23:13:35Z,140000,False,,,0,,D. Robinson offensive foul TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,202037.0,,,,,1.0,,,,,,
16,PT11M19.00S,2024-12-01T23:14:06.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630534,93.77463863337714,50.0,1610612761,0,0,2024-12-01T23:14:21Z,160000,False,0.0,6.0,1,right,MISS O. Agbaji Layup - blocked,"[1630534, 1629312]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,0.6,Missed,Highsmith,1629312.0,,,,,,,,,,,,,,,,
17,PT11M19.00S,2024-12-01T23:14:06.7Z,1,REGULAR,block,,[],1629312,,,1610612761,0,0,2024-12-01T23:24:17Z,170000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M16.00S,2024-12-01T23:14:09.7Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,0,0,2024-12-01T23:14:21Z,180000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT11M03.00S,2024-12-01T23:14:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,26.363337713534822,80.88235294117648,1610612748,0,0,2024-12-01T23:14:29Z,190000,False,-154.0,195.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
20,PT11M00.00S,2024-12-01T23:14:25.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2024-12-01T23:14:29Z,200000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT10M41.00S,2024-12-01T23:14:46.2Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612761,0,0,2024-12-01T23:14:57Z,210000,False,,,0,,D. Robinson shooting personal FOUL (2 PF) (Barrett 2 FT),"[1629130, 1629628]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,1628159.0,2.0,0.0,Barrett,1629628.0,,,,,,,
23,PT10M41.00S,2024-12-01T23:15:12.8Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,1,0,2024-12-01T23:15:12Z,230000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
24,PT10M41.00S,2024-12-01T23:15:28.7Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,2,0,2024-12-01T23:15:28Z,240000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
25,PT10M29.00S,2024-12-01T23:15:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.783837056504599,48.77450980392157,1610612748,2,2,2024-12-01T23:15:54Z,250000,False,6.0,11.0,1,left,T. Herro driving Layup (2 PTS) (D. Robinson 1 AST),"[1629639, 1629130]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,1.28,Made,,,,,,,,,,,,,2.0,D. Robinson,1629130.0,1.0,,
27,PT10M19.00S,2024-12-01T23:15:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612761,2,2,2024-12-01T23:16:04Z,270000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629639, 1627751]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,202041.0,1.0,0.0,Poeltl,1627751.0,,,,,,,
29,PT10M19.00S,2024-12-01T23:16:20.8Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612761,3,2,2024-12-01T23:16:37Z,290000,False,,,0,,J. Poeltl Free Throw 1 of 2 (1 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
30,PT10M19.00S,2024-12-01T23:16:20.8Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612761,3,2,2024-12-01T23:16:37Z,300000,False,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
