actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-09T23:43:16.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-09T23:43:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-09T23:43:18.9Z,1,REGULAR,jumpball,recovered,[],1642275,,,1610612766,0,0,2025-04-09T23:43:18Z,40000,False,,,0,,Jump Ball J. Nurkić vs. O. Robinson: Tip to T. Salaün,"[1642275, 203994, 1631115]",1610612766.0,CHA,startperiod,T. Salaün,1642275.0,Salaün,T. Salaün,Nurkić,203994.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-04-09T23:43:40.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,88.78120893561103,49.754901960784316,1610612766,0,0,2025-04-09T23:43:45Z,70000,False,-1.0,53.0,1,right,MISS J. Nurkić driving Hook,[203994],1610612766.0,CHA,driving,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-04-09T23:43:41.2Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,0,0,2025-04-09T23:44:25Z,80000,False,,,0,,J. Mogbo REBOUND (Off:0 Def:1),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-04-09T23:43:49.8Z,1,REGULAR,3pt,Jump Shot,[],1642367,30.56833114323259,30.88235294117647,1610612761,0,0,2025-04-09T23:43:54Z,90000,False,96.0,235.0,1,left,MISS J. Mogbo 25' 3PT,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-04-09T23:43:50.8Z,1,REGULAR,rebound,defensive,[],1629610,,,1610612766,0,0,2025-04-09T23:44:33Z,100000,False,,,0,,D. Jeffries REBOUND (Off:0 Def:1),[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M02.00S,2025-04-09T23:44:12.9Z,1,REGULAR,foul,personal,['2freethrow'],1630193,,,1610612766,0,0,2025-04-09T23:44:23Z,110000,False,,,0,,I. Quickley shooting personal FOUL (1 PF) (Simpson 2 FT),"[1630193, 1642354]",1610612761.0,TOR,shooting,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,,,,1627534.0,1.0,0.0,Simpson,1642354.0,,,,,,,,,
13,PT11M02.00S,2025-04-09T23:44:37.9Z,1,REGULAR,freethrow,1 of 2,[],1642354,,,1610612766,0,1,2025-04-09T23:44:37Z,130000,False,,,0,,K. Simpson Free Throw 1 of 2 (1 PTS),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M02.00S,2025-04-09T23:44:37.9Z,1,REGULAR,freethrow,2 of 2,[],1642354,,,1610612766,0,1,2025-04-09T23:44:54Z,140000,False,,,0,,MISS K. Simpson Free Throw 2 of 2,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-04-09T23:44:38.9Z,1,REGULAR,rebound,defensive,[],1631115,,,1610612761,0,1,2025-04-09T23:44:54Z,150000,False,,,0,,O. Robinson REBOUND (Off:0 Def:1),[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
