actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-20T00:42:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T00:42:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-20T00:42:32.1Z,1,REGULAR,jumpball,recovered,[],1630553,,,1610612751,0,0,2024-12-20T00:42:32Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Mogbo: Tip to K. Johnson,"[1630553, 1629651, 1642367]",1610612751.0,BKN,startperiod,K. Johnson,1630553.0,Johnson,K. Johnson,Claxton,1629651.0,Mogbo,1642367.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-12-20T00:42:42.3Z,1,REGULAR,turnover,bad pass,[],1630553,,,1610612751,0,0,2024-12-20T00:42:50Z,70000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1630553, 1642367]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Center,1.0,Mogbo,1642367.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-12-20T00:42:42.3Z,1,REGULAR,steal,,[],1642367,,,1610612761,0,0,2024-12-20T00:42:44Z,80000,False,,,0,,J. Mogbo STEAL (1 STL),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-20T00:42:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642367,94.82588699080158,51.225490196078425,1610612761,0,0,2024-12-20T00:43:03Z,90000,False,6.0,-4.0,1,right,MISS J. Mogbo running Layup - blocked,"[1642367, 1627827]",1610612761.0,TOR,running,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,,,,0.72,Missed,Finney-Smith,1627827.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-12-20T00:42:46.0Z,1,REGULAR,block,,[],1627827,,,1610612761,0,0,2024-12-20T00:42:48Z,100000,False,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M44.00S,2024-12-20T00:42:46.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2024-12-20T00:43:03Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,,,,,,,,,,,,
13,PT11M36.00S,2024-12-20T00:43:11.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641711,68.67608409986859,33.33333333333333,1610612761,3,0,2024-12-20T00:43:15Z,130000,False,-83.0,242.0,1,right,G. Dick 25' 3PT  (3 PTS) (J. Mogbo 1 AST),"[1641711, 1642367]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,,,,25.58,Made,,,,3.0,J. Mogbo,1642367.0,1.0,,,,,,,,
15,PT11M18.00S,2024-12-20T00:43:28.7Z,1,REGULAR,3pt,Jump Shot,[],1630553,5.206964520367937,95.58823529411765,1610612751,3,0,2024-12-20T00:43:33Z,150000,False,-228.0,-4.0,1,left,MISS K. Johnson 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,22.79,Missed,,,,,,,,,,,,,,,
16,PT11M14.00S,2024-12-20T00:43:32.7Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,3,0,2024-12-20T00:43:33Z,160000,False,,,0,,J. Walter REBOUND (Off:0 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Left Corner 3,24+ Left,,,,,,,,15.0,,,,,1.0,1.0,0.0,,,,,
