actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-01T00:42:22.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T00:42:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-01T00:42:24.2Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-02-01T00:42:24Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Vučević: Tip to S. Barnes,"[1630567, 1627751, 202696]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-01T00:42:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.258212877792378,54.166666666666664,1610612761,0,0,2025-02-01T00:42:43Z,70000,False,-21.0,6.0,1,left,MISS R. Barrett driving finger roll Layup,[1629628],1610612761.0,TOR,driving finger roll,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-02-01T00:42:38.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2025-02-01T00:42:43Z,80000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-02-01T00:42:43.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630581,85.75886990801577,9.803921568627452,1610612741,0,2,2025-02-01T00:42:54Z,90000,False,-201.0,81.0,1,right,J. Giddey 21' running Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[1630581, 1630245]",1610612741.0,CHI,running,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left,21.69,Made,,,,,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,
11,PT11M26.00S,2025-02-01T00:42:55.4Z,1,REGULAR,3pt,Jump Shot,[],1641711,26.363337713534822,83.33333333333334,1610612761,0,2,2025-02-01T00:43:00Z,110000,False,-167.0,195.0,1,left,MISS G. Dick 25' 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-02-01T00:42:58.8Z,1,REGULAR,rebound,offensive,[],1630193,,,1610612761,0,2,2025-02-01T00:42:58Z,120000,False,,,0,,I. Quickley REBOUND (Off:1 Def:0),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M20.00S,2025-02-01T00:43:00.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630193,9.411957950065702,4.6568627450980395,1610612761,3,2,2025-02-01T00:43:08Z,130000,False,227.0,36.0,1,left,I. Quickley 3PT turnaround (3 PTS),[1630193],1610612761.0,TOR,turnaround,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,22.95,Made,,,,,3.0,,,,,,,,,,,,,
14,PT11M08.00S,2025-02-01T00:43:13.4Z,1,REGULAR,3pt,Jump Shot,[],1630245,71.56701708278581,74.26470588235294,1610612741,3,2,2025-02-01T00:43:19Z,140000,False,121.0,215.0,1,right,MISS A. Dosunmu 24' pullup 3PT,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2025-02-01T00:43:17.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,3,2,2025-02-01T00:43:19Z,150000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2025-02-01T00:43:20.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630193,16.770696452036795,41.66666666666667,1610612761,5,2,2025-02-01T00:44:22Z,160000,False,42.0,105.0,1,left,I. Quickley 11' driving floating Jump Shot (5 PTS) (S. Barnes 1 AST),"[1630193, 1630567]",1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,11.31,Made,,,,,5.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
