actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-02T23:42:43.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-02T23:42:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-02T23:42:45.8Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612761,0,0,2024-11-02T23:42:45Z,40000,False,,,0,,Jump Ball J. Pöltl vs. D. Sabonis: Tip to R. Barrett,"[1629628, 1627751, 1627734]",1610612761.0,TOR,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Pöltl,1627751.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-02T23:43:00.1Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612761,0,0,2024-11-02T23:43:19Z,70000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Barrett 2 FT),"[1631099, 1629628]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,203593.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-11-02T23:43:22.2Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,1,0,2024-11-02T23:43:22Z,90000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-11-02T23:43:32.8Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,2,0,2024-11-02T23:43:32Z,100000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M29.00S,2024-11-02T23:43:50.6Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,2,0,2024-11-02T23:43:57Z,110000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1627751]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Pöltl,1627751.0,,,,,,,,,,
12,PT11M29.00S,2024-11-02T23:43:50.6Z,1,REGULAR,steal,,[],1627751,,,1610612761,2,0,2024-11-02T23:43:53Z,120000,False,,,0,,J. Pöltl STEAL (1 STL),[1627751],1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-11-02T23:43:57.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,74.32654402102497,86.51960784313727,1610612761,2,0,2024-11-02T23:44:57Z,130000,False,183.0,189.0,1,right,MISS R. Barrett 26' running 3PT,[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,26.27,,,,,,,,,
14,PT11M19.00S,2024-11-02T23:44:00.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2024-11-02T23:44:03Z,140000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
16,PT11M12.00S,2024-11-02T23:44:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612758,2,0,2024-11-02T23:44:23Z,160000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (McDermott 2 FT),"[1630558, 203926]",1610612761.0,TOR,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,203593.0,1.0,0.0,McDermott,203926.0,,,,,,,,,,,,,,,
18,PT11M12.00S,2024-11-02T23:44:32.8Z,1,REGULAR,freethrow,1 of 2,[],203926,,,1610612758,2,0,2024-11-02T23:44:32Z,180000,False,,,0,,MISS D. McDermott Free Throw 1 of 2,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
19,PT11M12.00S,2024-11-02T23:44:32.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,2,0,2024-11-02T23:44:32Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
20,PT11M12.00S,2024-11-02T23:44:45.7Z,1,REGULAR,freethrow,2 of 2,[],203926,,,1610612758,2,1,2024-11-02T23:44:45Z,200000,False,,,0,,D. McDermott Free Throw 2 of 2 (1 PTS),[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
21,PT10M50.00S,2024-11-02T23:45:09.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,73.80091984231275,85.29411764705883,1610612761,2,1,2024-11-02T23:45:14Z,210000,False,176.0,194.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,26.21,,,,,,,,,
22,PT10M47.00S,2024-11-02T23:45:12.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,1,2024-11-02T23:45:14Z,220000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,
23,PT10M38.00S,2024-11-02T23:45:21.4Z,1,REGULAR,3pt,Jump Shot,[],203926,28.86005256241787,19.362745098039216,1610612758,2,4,2024-11-02T23:45:25Z,230000,False,153.0,219.0,1,left,D. McDermott 26' 3PT pullup (4 PTS) (D. Sabonis 1 AST),"[203926, 1627734]",1610612758.0,SAC,pullup,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Right Center,,,,,,Made,4.0,,,,26.71,,,,,D. Sabonis,1627734.0,1.0,,
25,PT10M25.00S,2024-11-02T23:45:34.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630534,94.1688567674113,49.26470588235294,1610612761,4,4,2024-11-02T23:45:38Z,250000,False,-4.0,2.0,1,right,O. Agbaji cutting DUNK (2 PTS) (G. Dick 1 AST),"[1630534, 1641711]",1610612761.0,TOR,cutting,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,0.44,,,,,G. Dick,1641711.0,1.0,,
27,PT10M01.00S,2024-11-02T23:45:57.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,31.61957950065703,24.264705882352942,1610612758,4,4,2024-11-02T23:46:03Z,270000,False,129.0,245.0,1,left,MISS D. Fox 27' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,27.65,,,,,,,,,
28,PT10M00.00S,2024-11-02T23:45:58.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,4,4,2024-11-02T23:46:03Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,27.0,,,,,,,,
30,PT09M48.00S,2024-11-02T23:46:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630534,95.22010512483574,3.431372549019608,1610612761,7,4,2024-11-02T23:46:22Z,300000,False,-233.0,-8.0,1,right,O. Agbaji 3PT  (5 PTS) (D. Mitchell 1 AST),"[1630534, 1630558]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,,,,,,Made,5.0,,,,23.29,,,,,D. Mitchell,1630558.0,1.0,,
32,PT09M36.00S,2024-11-02T23:46:30.4Z,1,REGULAR,2pt,Jump Shot,[],1628368,13.748357424441524,23.03921568627451,1610612758,7,6,2024-11-02T23:46:34Z,320000,False,135.0,77.0,1,left,D. Fox 15' pullup Jump Shot (2 PTS) (D. Sabonis 2 AST),"[1628368, 1627734]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,,,,15.51,,,,,D. Sabonis,1627734.0,2.0,,
34,PT09M28.00S,2024-11-02T23:46:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,92.59198423127464,54.166666666666664,1610612761,7,6,2024-11-02T23:46:42Z,340000,False,21.0,17.0,1,right,MISS O. Agbaji driving Layup,[1630534],1610612761.0,TOR,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.69,,,,,,,,,
35,PT09M27.00S,2024-11-02T23:46:39.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,6,2024-11-02T23:46:42Z,350000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,34.0,3.0,3.0,0.0,,,,,
