actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-23T23:12:26.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-23T23:12:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-23T23:12:29.5Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2025-02-23T23:12:29Z,40000,False,,,0,,Jump Ball N. Richards vs. O. Robinson: Tip to D. Booker,"[1626164, 1630208, 1631115]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Richards,1630208.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-02-23T23:12:40.1Z,1,REGULAR,foul,personal,[],1630193,,,1610612756,0,0,2025-02-23T23:12:52Z,70000,False,,,0,,I. Quickley personal FOUL (1 PF),"[1630193, 203078]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,1628159.0,1.0,0.0,Beal,203078.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-02-23T23:13:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,93.51182654402102,55.63725490196079,1610612756,0,2,2025-02-23T23:13:11Z,90000,False,28.0,8.0,1,right,B. Beal driving Layup (2 PTS),[203078],1610612756.0,PHX,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,2.95,Made,2.0,,,,,,,,,,,,
10,PT11M22.00S,2025-02-23T23:13:23.0Z,1,REGULAR,3pt,Jump Shot,[],1641711,8.754927726675426,3.9215686274509802,1610612761,3,2,2025-02-23T23:13:26Z,100000,False,230.0,30.0,1,left,G. Dick 3PT  (3 PTS) (R. Barrett 1 AST),"[1641711, 1629628]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Right Corner 3,24+ Right,,,,,,23.23,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,
12,PT11M16.00S,2025-02-23T23:13:28.9Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612756,3,2,2025-02-23T23:24:17Z,120000,False,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1630193]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Quickley,1630193.0,,,,,,
13,PT11M16.00S,2025-02-23T23:13:28.9Z,1,REGULAR,steal,,[],1630193,,,1610612761,3,2,2025-02-23T23:13:31Z,130000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2025-02-23T23:13:31.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630193,6.652431011826544,49.26470588235294,1610612761,3,2,2025-02-23T23:14:55Z,140000,False,4.0,10.0,1,left,MISS I. Quickley floating Shot,[1630193],1610612761.0,TOR,floating,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,1.07,Missed,,,,,,,,,,,,,
15,PT11M13.00S,2025-02-23T23:13:32.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,3,2,2025-02-23T23:13:59Z,150000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,
16,PT11M08.00S,2025-02-23T23:13:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,92.06636005256242,40.68627450980392,1610612756,3,2,2025-02-24T00:20:36Z,160000,False,-47.0,22.0,1,right,MISS N. Richards cutting Layup,[1630208],1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.16,Missed,,,,,,,,,,,,,
