actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-17T00:42:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-17T00:42:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-17T00:42:30.7Z,1,REGULAR,jumpball,recovered,[],1642367,,,1610612761,0,0,2024-12-17T00:42:30Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Vučević: Tip to J. Mogbo,"[1642367, 1627751, 202696]",1610612761.0,TOR,startperiod,J. Mogbo,1642367.0,Mogbo,J. Mogbo,Poeltl,1627751.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-12-17T00:42:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.521024967148489,43.872549019607845,1610612761,2,0,2024-12-17T00:42:50Z,70000,False,31.0,9.0,1,left,J. Poeltl cutting finger roll Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.18,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
10,PT11M27.00S,2024-12-17T00:43:00.7Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,2,0,2024-12-17T00:43:06Z,100000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1627751]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Poeltl,1627751.0,,,,,,,,,,,
11,PT11M27.00S,2024-12-17T00:43:00.7Z,1,REGULAR,steal,,[],1627751,,,1610612761,2,0,2024-12-17T00:43:02Z,110000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2024-12-17T00:43:05.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627751,6.389618922470433,50.245098039215684,1610612761,4,0,2024-12-17T00:43:11Z,120000,False,-1.0,8.0,1,left,J. Poeltl turnaround Hook (4 PTS),[1627751],1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.77,Made,4.0,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-12-17T00:43:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,67.36202365308804,33.088235294117645,1610612741,4,0,2024-12-17T00:45:09Z,130000,False,-85.0,254.0,1,right,MISS P. Williams 26' pullup 3PT,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.8,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2024-12-17T00:43:19.0Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,4,0,2024-12-17T00:43:20Z,140000,False,,,0,,J. Mogbo REBOUND (Off:0 Def:1),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M01.00S,2024-12-17T00:43:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,15.719448094612352,40.44117647058824,1610612761,4,0,2024-12-17T00:43:30Z,150000,False,48.0,95.0,1,left,MISS R. Barrett 10' turnaround Shot,[1629628],1610612761.0,TOR,turnaround,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,10.66,Missed,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2024-12-17T00:43:27.7Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,4,0,2024-12-17T00:44:18Z,160000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
