actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-28T23:42:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-28T23:42:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-28T23:42:52.5Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-03-28T23:42:52Z,40000,False,,,0,,Jump Ball J. Poeltl vs. M. Williams: Tip to S. Barnes,"[1630567, 1627751, 1631109]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-28T23:43:07.6Z,1,REGULAR,3pt,Jump Shot,[],1642266,25.837713534822605,15.196078431372548,1610612761,0,0,2025-03-28T23:43:14Z,70000,False,174.0,190.0,1,left,MISS J. Walter 25' 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-28T23:43:10.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,0,0,2025-03-28T23:43:14Z,80000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-03-28T23:43:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630193,7.046649145860711,56.127450980392155,1610612761,0,0,2025-03-28T23:43:25Z,90000,False,-31.0,14.0,1,left,MISS I. Quickley cutting finger roll Layup - blocked,"[1630193, 1631109]",1610612761.0,TOR,cutting finger roll,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,Williams,1631109.0,,,,,,,,,,,,
10,PT11M29.00S,2025-03-28T23:43:20.1Z,1,REGULAR,block,,[],1631109,,,1610612761,0,0,2025-03-28T23:43:22Z,100000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2025-03-28T23:43:23.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2025-03-28T23:43:25Z,110000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2025-03-28T23:43:35.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629610,94.30026281208936,49.50980392156863,1610612766,0,2,2025-03-28T23:43:46Z,120000,False,-2.0,1.0,1,right,D. Jeffries cutting DUNK (2 PTS) (M. Williams 1 AST),"[1629610, 1631109]",1610612766.0,CHA,cutting,,,Jeffries,D. Jeffries,,,,,Restricted Area,0-8 Center,0.27,Made,,,,,,,2.0,M. Williams,1631109.0,1.0,,,,,,,,
14,PT11M03.00S,2025-03-28T23:43:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.1268068331143235,49.754901960784316,1610612761,2,2,2025-03-28T23:44:50Z,140000,False,1.0,5.0,1,left,J. Poeltl cutting Layup (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.52,Made,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,
16,PT10M39.00S,2025-03-28T23:44:09.9Z,1,REGULAR,3pt,Jump Shot,[],1642354,67.23061760840999,65.68627450980392,1610612766,2,5,2025-03-28T23:45:16Z,160000,False,78.0,256.0,1,right,K. Simpson 26' 3PT pullup (3 PTS),[1642354],1610612766.0,CHA,pullup,,,Simpson,K. Simpson,,,,,Above the Break 3,24+ Center,26.73,Made,,,,,,,3.0,,,,,,,,,,,
17,PT10M25.00S,2025-03-28T23:44:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,16.245072273324574,41.17647058823529,1610612761,2,5,2025-03-28T23:44:28Z,170000,False,44.0,100.0,1,left,MISS J. Poeltl 10' Jump Shot,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,10.95,Missed,,,,,,,,,,,,,,,,,,
