actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-13T00:42:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T00:42:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-13T00:42:33.7Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2025-02-13T00:42:33Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Mogbo: Tip to D. Garland,"[1629636, 1628386, 1642367]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Mogbo,1642367.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-02-13T00:42:57.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612739,0,0,2025-02-13T00:43:05Z,80000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612761.0,TOR,,,,,,,,,,1830.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-02-13T00:43:05.1Z,1,REGULAR,foul,technical,['1freethrow'],1630567,,,1610612739,0,0,2025-02-13T00:43:16Z,90000,False,,,0,,S. Barnes technical FOUL (1 Tech),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1830.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2025-02-13T00:43:28.5Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612739,0,1,2025-02-13T00:43:28Z,100000,False,,,0,,D. Mitchell technical Free Throw 1 of 1 (1 PTS),[1628378],1610612739.0,CLE,technical,,,Mitchell,D. Mitchell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2025-02-13T00:43:48.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,65.52233902759527,30.637254901960787,1610612739,0,4,2025-02-13T00:43:54Z,110000,False,-97.0,272.0,1,right,M. Strus 28' 3PT  (3 PTS) (E. Mobley 1 AST),"[1629622, 1630596]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,Made,3.0,Above the Break 3,24+ Left Center,28.83,E. Mobley,1630596.0,1.0,,,,,,,,,,,
13,PT11M12.00S,2025-02-13T00:44:12.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,23.603810775295663,12.990196078431374,1610612761,3,4,2025-02-13T00:44:18Z,130000,False,185.0,169.0,1,left,R. Barrett 25' 3PT  (3 PTS) (G. Dick 1 AST),"[1629628, 1641711]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Made,3.0,Above the Break 3,24+ Right Center,25.08,G. Dick,1641711.0,1.0,,,,,,,,,,,
15,PT10M57.00S,2025-02-13T00:44:29.1Z,1,REGULAR,turnover,lost ball,[],1628378,,,1610612739,3,4,2025-02-13T00:44:35Z,150000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1628378, 1629628]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,Above the Break 3,24+ Center,,,,,1.0,Barrett,1629628.0,,,,,,,,
16,PT10M57.00S,2025-02-13T00:44:29.1Z,1,REGULAR,steal,,[],1629628,,,1610612761,3,4,2025-02-13T00:44:31Z,160000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,
17,PT10M52.00S,2025-02-13T00:44:32.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641711,5.469776609724048,49.26470588235294,1610612761,5,4,2025-02-13T00:44:39Z,170000,False,4.0,-1.0,1,left,G. Dick running DUNK (2 PTS) (R. Barrett 1 AST),"[1641711, 1629628]",1610612761.0,TOR,running,,,Dick,G. Dick,,,,,,,,Made,2.0,Restricted Area,0-8 Center,0.39,R. Barrett,1629628.0,1.0,,,,,,,,,,,
