actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-23T22:12:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-23T22:12:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-23T22:12:30.2Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-03-23T22:12:30Z,40000,False,,,0,,Jump Ball B. Biyombo vs. C. Castleton: Tip to H. Barnes,"[203084, 202687, 1630658]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Biyombo,202687.0,Castleton,1630658.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-23T22:12:56.7Z,1,REGULAR,3pt,Jump Shot,[],1642264,66.5735873850197,33.088235294117645,1610612759,0,3,2025-03-23T22:13:03Z,80000,False,-85.0,262.0,1,right,S. Castle 27' 3PT  (3 PTS) (B. Biyombo 1 AST),"[1642264, 202687]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,27.5,Made,3.0,B. Biyombo,202687.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2025-03-23T22:13:38.1Z,1,REGULAR,3pt,Jump Shot,[],1630534,6.1268068331143235,3.6764705882352944,1610612761,0,3,2025-03-23T22:14:03Z,110000,False,232.0,5.0,1,left,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-03-23T22:13:40.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,3,2025-03-23T22:13:45Z,120000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M02.00S,2025-03-23T22:13:55.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,93.9060446780552,95.83333333333334,1610612759,0,3,2025-03-23T22:14:00Z,130000,False,229.0,5.0,1,right,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2025-03-23T22:13:58.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,3,2025-03-23T22:14:00Z,140000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M54.00S,2025-03-23T22:14:03.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,32.40801576872536,51.225490196078425,1610612761,0,3,2025-03-23T22:14:50Z,150000,False,-6.0,252.0,1,left,MISS R. Barrett 25' running 3PT,[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,25.22,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-03-23T22:14:07.4Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,0,3,2025-03-23T22:14:12Z,160000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M41.00S,2025-03-23T22:14:16.5Z,1,REGULAR,3pt,Jump Shot,[],203084,93.51182654402102,95.83333333333334,1610612759,0,3,2025-03-23T22:14:21Z,170000,False,229.0,8.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2025-03-23T22:14:19.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,0,3,2025-03-23T22:14:21Z,180000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M33.00S,2025-03-23T22:14:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642347,6.1268068331143235,46.07843137254902,1610612761,2,3,2025-03-23T22:14:35Z,190000,False,20.0,5.0,1,left,J. Shead running Layup (2 PTS),[1642347],1610612761.0,TOR,running,,,Shead,J. Shead,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,,,,,,,,,,,,,,,,,
