actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-10T00:42:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-10T00:42:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-10T00:43:00.2Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2024-12-10T00:43:00Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Towns: Tip to S. Barnes,"[1630567, 1627751, 1626157]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-12-10T00:43:20.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,90.09526938239159,49.754901960784316,1610612761,0,0,2024-12-10T00:44:26Z,70000,False,-1.0,41.0,1,right,MISS J. Poeltl Hook,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-10T00:43:21.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,0,2024-12-10T00:44:10Z,80000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M11.00S,2024-12-10T00:44:09.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,5.206964520367937,67.15686274509804,1610612752,0,0,2024-12-10T00:44:15Z,100000,False,-86.0,-4.0,1,left,MISS K. Towns 8' driving floating Shot,[1626157],1610612752.0,NYK,driving floating,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,8.59,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2024-12-10T00:44:11.4Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,0,0,2024-12-10T00:44:50Z,110000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M03.00S,2024-12-10T00:44:17.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1641711,85.10183968462549,72.30392156862744,1610612761,2,0,2024-12-10T00:45:33Z,120000,False,112.0,88.0,1,right,G. Dick 14' running pullup Jump Shot (2 PTS),[1641711],1610612761.0,TOR,running pullup,,,Dick,G. Dick,,,,,Mid-Range,8-16 Right,14.17,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M43.00S,2024-12-10T00:44:39.0Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,2,0,2024-12-10T00:44:46Z,130000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,1146.0,1.0,,,,,,,,,,,
14,PT10M35.00S,2024-12-10T00:44:51.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630567,71.04139290407359,22.30392156862745,1610612761,5,0,2024-12-10T00:44:58Z,140000,False,-138.0,220.0,1,right,S. Barnes 25' 3PT pullup (3 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,25.97,Made,,,,,3.0,,,,,,,,,,,,,
15,PT10M19.00S,2024-12-10T00:45:06.5Z,1,REGULAR,2pt,Jump Shot,[],1628969,5.601182654402102,14.215686274509803,1610612752,5,0,2024-12-10T00:45:13Z,150000,False,179.0,0.0,1,left,MISS M. Bridges 17' pullup Shot,[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,17.89,Missed,,,,,,,,,,,,,,,,,,
16,PT10M14.00S,2024-12-10T00:45:11.5Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,5,0,2024-12-10T00:47:21Z,160000,False,,,0,,G. Dick REBOUND (Off:0 Def:2),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,16-24 Right,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M13.00S,2024-12-10T00:45:18.3Z,1,REGULAR,foul,offensive,[],1630534,,,1610612761,5,0,2024-12-10T00:45:27Z,170000,False,,,0,,O. Agbaji off-the-ball offensive FOUL (1 PF),"[1630534, 1628384]",1610612761.0,TOR,off-the-ball,,,Agbaji,O. Agbaji,,,,,Mid-Range,16-24 Left Center,,,,,,,,1146.0,,1.0,0.0,Anunoby,1628384.0,,,,,,,
19,PT10M13.00S,2024-12-10T00:45:18.3Z,1,REGULAR,turnover,offensive foul,[],1630534,,,1610612761,5,0,2024-12-10T00:45:18Z,190000,False,,,0,,O. Agbaji offensive foul TURNOVER (1 TO),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Mid-Range,16-24 Left Center,,,,,,,,1146.0,1.0,,,,,,,,,,,
20,PT09M59.00S,2024-12-10T00:45:46.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,31.488173455978973,62.00980392156863,1610612752,5,3,2024-12-10T00:45:52Z,200000,False,-60.0,243.0,1,left,O. Anunoby 25' 3PT  (3 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,25.08,Made,,,,,3.0,,,,,,,M. Bridges,1628969.0,1.0,,,,
22,PT09M51.00S,2024-12-10T00:45:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,93.11760840998686,96.81372549019608,1610612761,8,3,2024-12-10T00:46:01Z,220000,False,234.0,12.0,1,right,R. Barrett 3PT  (3 PTS) (S. Barnes 1 AST),"[1629628, 1630567]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,23.44,Made,,,,,3.0,,,,,,,S. Barnes,1630567.0,1.0,,,,
24,PT09M34.00S,2024-12-10T00:46:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.258212877792378,50.0,1610612752,8,5,2024-12-10T00:46:16Z,240000,False,0.0,6.0,1,left,O. Anunoby Layup (5 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,5.0,,,,,,,K. Towns,1626157.0,1.0,,,,
26,PT09M19.00S,2024-12-10T00:46:27.4Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,8,5,2024-12-10T00:46:33Z,260000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,,,,,,,,1628481.0,1.0,,,,,,,,,,,
27,PT09M00.00S,2024-12-10T00:46:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628969,4.5499342969776615,50.245098039215684,1610612752,8,7,2024-12-10T00:46:58Z,270000,False,-1.0,-10.0,1,left,M. Bridges reverse Layup (2 PTS) (K. Towns 2 AST),"[1628969, 1626157]",1610612752.0,NYK,reverse,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,2.0,,,,,,,K. Towns,1626157.0,2.0,,,,
29,PT08M40.00S,2024-12-10T00:47:13.0Z,1,REGULAR,3pt,Jump Shot,[],1630534,94.82588699080158,2.450980392156863,1610612761,11,7,2024-12-10T00:47:17Z,290000,False,-238.0,-4.0,1,right,O. Agbaji 3PT  (3 PTS) (J. Poeltl 1 AST),"[1630534, 1627751]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,23.77,Made,,,,,3.0,,,,,,,J. Poeltl,1627751.0,1.0,,,,
31,PT08M21.00S,2024-12-10T00:47:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,7.440867279894875,56.86274509803921,1610612752,11,9,2024-12-10T00:47:43Z,310000,False,-34.0,17.0,1,left,J. Brunson turnaround Jump Shot (2 PTS),[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.85,Made,,,,,2.0,,,,,,,,,,,,,
32,PT08M07.00S,2024-12-10T00:47:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641711,90.22667542706965,60.049019607843135,1610612761,11,9,2024-12-10T00:47:50Z,320000,False,50.0,39.0,1,right,MISS G. Dick 6' driving Layup,[1641711],1610612761.0,TOR,driving,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,6.38,Missed,,,,,,,,,,,,,,,,,,
