actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
23,PT10M05.00S,2025-03-08T00:45:33.5Z,1,REGULAR,turnover,lost ball,[],1631117,,,1610612762,7,2,2025-03-08T00:45:39Z,230000,False,,,0,,W. Kessler lost ball TURNOVER (2 TO),"[1631117, 1631115]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2025-03-08T00:45:33.5Z,1,REGULAR,steal,,[],1631115,,,1610612761,7,2,2025-03-08T00:45:35Z,240000,False,,,0,,O. Robinson STEAL (1 STL),[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2025-03-08T00:45:39.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630193,28.07161629434954,23.03921568627451,1610612761,7,2,2025-03-08T00:45:46Z,250000,False,135.0,211.0,1,left,MISS I. Quickley 25' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,25.07,Missed,,,,,,,,,,,,,,,
26,PT09M55.00S,2025-03-08T00:45:43.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,7,2,2025-03-08T00:45:46Z,260000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,
27,PT09M38.00S,2025-03-08T00:45:59.7Z,1,REGULAR,3pt,Jump Shot,[],1641729,68.15045992115637,62.99019607843137,1610612762,7,2,2025-03-08T00:46:04Z,270000,False,65.0,247.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,,25.53,Missed,,,,,,,,,,,,,,,
28,PT09M33.00S,2025-03-08T00:46:04.7Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,7,2,2025-03-08T00:46:04Z,280000,False,,,0,,J. Walter REBOUND (Off:0 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT09M28.00S,2025-03-08T00:46:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612761,7,2,2025-03-08T00:46:29Z,290000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Walter 2 FT),"[1631117, 1642266]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Walter,1642266.0,,
31,PT09M28.00S,2025-03-08T00:46:37.4Z,1,REGULAR,freethrow,1 of 2,[],1642266,,,1610612761,8,2,2025-03-08T00:46:37Z,310000,False,,,0,,J. Walter Free Throw 1 of 2 (4 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
32,PT09M28.00S,2025-03-08T00:46:37.4Z,1,REGULAR,freethrow,2 of 2,[],1642266,,,1610612761,9,2,2025-03-08T00:46:52Z,320000,False,,,0,,J. Walter Free Throw 2 of 2 (5 PTS),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
33,PT09M08.00S,2025-03-08T00:47:12.3Z,1,REGULAR,turnover,lost ball,[],1629012,,,1610612762,9,2,2025-03-08T00:47:17Z,330000,False,,,0,,C. Sexton lost ball TURNOVER (2 TO),"[1629012, 1630639]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Center,2.0,Lawson,1630639.0,,,,,,,,,,,,,,,,,
34,PT09M08.00S,2025-03-08T00:47:12.3Z,1,REGULAR,steal,,[],1630639,,,1610612761,9,2,2025-03-08T00:47:14Z,340000,False,,,0,,A. Lawson STEAL (1 STL),[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2025-03-08T00:47:16.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630639,7.440867279894875,44.36274509803921,1610612761,9,2,2025-03-08T00:47:21Z,350000,False,28.0,17.0,1,left,MISS A. Lawson running Layup - blocked,"[1630639, 1629012]",1610612761.0,TOR,running,,,Lawson,A. Lawson,,,,,Restricted Area,0-8 Center,,,,3.31,Missed,,,,,,,,,,,,,,Sexton,1629012.0
36,PT09M05.00S,2025-03-08T00:47:16.1Z,1,REGULAR,block,,[],1629012,,,1610612761,9,2,2025-03-08T00:47:18Z,360000,False,,,0,,C. Sexton BLOCK (1 BLK),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M05.00S,2025-03-08T00:47:16.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,9,2,2025-03-08T00:47:21Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,35.0,,,,,,,,,
39,PT09M03.00S,2025-03-08T00:47:38.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630193,7.703679369250986,16.176470588235293,1610612761,11,2,2025-03-08T00:47:42Z,390000,False,169.0,20.0,1,left,I. Quickley 17' Jump Shot (4 PTS) (J. Walter 2 AST),"[1630193, 1642266]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right,,,,17.03,Made,4.0,J. Walter,1642266.0,2.0,,,,,,,,,,,
41,PT08M49.00S,2025-03-08T00:47:52.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,93.77463863337714,50.0,1610612762,11,4,2025-03-08T00:47:57Z,410000,False,0.0,6.0,1,right,W. Kessler cutting DUNK (2 PTS) (K. Martin 1 AST),"[1631117, 1630231]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,0.6,Made,2.0,K. Martin,1630231.0,1.0,,,,,,,,,,,
43,PT08M36.00S,2025-03-08T00:48:04.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,28.991458607095925,75.0,1610612761,11,4,2025-03-08T00:48:10Z,430000,False,-125.0,220.0,1,left,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,25.3,Missed,,,,,,,,,,,,,,,
44,PT08M31.00S,2025-03-08T00:48:09.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,11,4,2025-03-08T00:48:10Z,440000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,
45,PT08M27.00S,2025-03-08T00:48:15.8Z,1,REGULAR,turnover,out-of-bounds,[],1631117,,,1610612762,11,4,2025-03-08T00:51:07Z,450000,False,,,0,,W. Kessler lost ball out-of-bounds TURNOVER (3 TO),[1631117],1610612762.0,UTA,lost ball,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,3.0,,,,,,,,,1627529.0,,,,,,,,,,
46,PT08M09.00S,2025-03-08T00:48:41.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642266,6.915243101182654,45.588235294117645,1610612761,13,4,2025-03-08T00:48:44Z,460000,False,22.0,13.0,1,left,J. Walter driving finger roll Layup (7 PTS),[1642266],1610612761.0,TOR,driving finger roll,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,,,,2.54,Made,7.0,,,,,,,,,,,,,,
47,PT07M53.00S,2025-03-08T00:48:56.7Z,1,REGULAR,3pt,Jump Shot,[],1641729,94.95729303547962,3.6764705882352944,1610612762,13,4,2025-03-08T00:49:03Z,470000,False,-232.0,-5.0,1,right,MISS B. Sensabaugh 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,,23.17,Missed,,,,,,,,,,,,,,,
48,PT07M50.00S,2025-03-08T00:48:59.7Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,13,4,2025-03-08T00:49:03Z,480000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,
49,PT07M49.00S,2025-03-08T00:49:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641729,91.27792378449409,48.529411764705884,1610612762,13,4,2025-03-08T00:49:28Z,490000,False,-7.0,29.0,1,right,MISS B. Sensabaugh driving Layup,[1641729],1610612762.0,UTA,driving,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,3.04,Missed,,,,,,,,,,,,,,,
50,PT07M49.00S,2025-03-08T00:49:01.1Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,13,4,2025-03-08T00:49:06Z,500000,False,,,0,,W. Kessler REBOUND (Off:1 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,49.0,4.0,3.0,1.0,,,,,,
51,PT07M45.00S,2025-03-08T00:49:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,94.40999984741211,50.0,1610612762,13,6,2025-03-08T00:49:04Z,510000,False,0.0,0.0,1,right,W. Kessler tip Layup (4 PTS),[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,0.0,Made,4.0,,,,,,,,,,,,,,
52,PT07M42.00S,2025-03-08T00:49:11.5Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612761,13,6,2025-03-08T00:49:22Z,520000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Quickley 2 FT),"[1642268, 1630193]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,,,,200834.0,,,,,1.0,0.0,Quickley,1630193.0,,
54,PT07M42.00S,2025-03-08T00:49:45.4Z,1,REGULAR,freethrow,1 of 2,[],1630193,,,1610612761,14,6,2025-03-08T00:49:45Z,540000,False,,,0,,I. Quickley Free Throw 1 of 2 (5 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
55,PT07M42.00S,2025-03-08T00:49:46.0Z,1,REGULAR,substitution,out,[],1631117,,,1610612761,14,6,2025-03-08T00:49:52Z,550000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M42.00S,2025-03-08T00:49:46.0Z,1,REGULAR,substitution,out,[],1641729,,,1610612761,14,6,2025-03-08T00:49:52Z,560000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M42.00S,2025-03-08T00:49:46.0Z,1,REGULAR,substitution,in,[],1642271,,,1610612761,14,6,2025-03-08T00:49:52Z,570000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M42.00S,2025-03-08T00:49:46.0Z,1,REGULAR,substitution,in,[],1630548,,,1610612761,14,6,2025-03-08T00:49:52Z,580000,False,,,0,,SUB in: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M42.00S,2025-03-08T00:50:18.4Z,1,REGULAR,freethrow,2 of 2,[],1630193,,,1610612761,15,6,2025-03-08T00:50:18Z,590000,False,,,0,,I. Quickley Free Throw 2 of 2 (6 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
60,PT07M29.00S,2025-03-08T00:50:38.0Z,1,REGULAR,foul,personal,[],1642266,,,1610612762,15,6,2025-03-08T00:50:47Z,600000,False,,,0,,J. Walter personal FOUL (1 PF),"[1642266, 1629012]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Sexton,1629012.0,,
62,PT07M19.00S,2025-03-08T00:51:08.7Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,15,6,2025-03-08T00:51:13Z,620000,False,,,0,,C. Sexton bad pass TURNOVER (3 TO),"[1629012, 1642266]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,3.0,Walter,1642266.0,,,,,,,,,,,,,,,,,
63,PT07M19.00S,2025-03-08T00:51:08.7Z,1,REGULAR,steal,,[],1642266,,,1610612761,15,6,2025-03-08T00:51:10Z,630000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
64,PT07M15.00S,2025-03-08T00:51:12.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630193,31.61957950065703,61.51960784313726,1610612761,15,6,2025-03-08T00:52:17Z,640000,False,-58.0,245.0,1,left,MISS I. Quickley 25' running pullup 3PT,[1630193],1610612761.0,TOR,running pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,25.14,Missed,,,,,,,,,,,,,,,
65,PT07M14.00S,2025-03-08T00:51:13.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,15,6,2025-03-08T00:51:22Z,650000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,64.0,,,,,,,,,
