actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-23T23:44:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-23T23:44:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-10-23T23:44:25.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-10-23T23:44:25Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Pöltl: Tip to D. Garland,"[1629636, 1628386, 1627751]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Pöltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-10-23T23:44:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,85.10183968462549,56.127450980392155,1610612739,0,0,2024-10-23T23:44:47Z,70000,False,31.0,88.0,1,right,MISS E. Mobley 9' driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,9.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-10-23T23:44:42.4Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,0,2024-10-23T23:44:42Z,80000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-10-23T23:44:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,94.40999984741211,50.0,1610612739,0,0,2024-10-23T23:44:42Z,90000,False,0.0,0.0,1,right,MISS E. Mobley putback Layup,[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2024-10-23T23:44:43.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,0,2024-10-23T23:44:43Z,100000,False,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M38.00S,2024-10-23T23:44:43.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630596,94.40999984741211,50.0,1610612739,0,2,2024-10-23T23:46:25Z,110000,False,0.0,0.0,1,right,E. Mobley tip Layup (2 PTS),[1630596],1610612739.0,CLE,tip,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M29.00S,2024-10-23T23:44:53.1Z,1,REGULAR,3pt,Jump Shot,[],1641711,36.74441524310118,28.186274509803923,1610612761,0,2,2024-10-23T23:45:08Z,120000,False,109.0,293.0,1,left,MISS G. Dick 31' 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,31.26,Missed,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-10-23T23:45:00.1Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,2,2024-10-23T23:45:10Z,130000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2024-10-23T23:45:12.1Z,1,REGULAR,3pt,Jump Shot,[],1629731,68.41327201051249,32.35294117647059,1610612739,0,2,2024-10-23T23:45:17Z,140000,False,-88.0,244.0,1,right,MISS D. Wade 25' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,25.98,Missed,,,,,,,,,,,,,,,,,,
