actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-22T00:42:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-22T00:42:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-22T00:42:20.6Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2025-02-22T00:42:20Z,40000,False,,,0,,Jump Ball K. Ware vs. O. Robinson: Tip to D. Mitchell,"[1630558, 1642276, 1631115]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Ware,1642276.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-02-22T00:42:37.2Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612748,0,0,2025-02-22T00:42:46Z,70000,False,,,0,,A. Wiggins bad pass out-of-bounds TURNOVER (1 TO),[203952],1610612748.0,MIA,bad pass,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-02-22T00:42:57.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631115,93.38042049934296,51.71568627450981,1610612761,2,0,2025-02-22T00:43:02Z,80000,False,9.0,10.0,1,right,O. Robinson cutting Layup (2 PTS) (R. Barrett 1 AST),"[1631115, 1629628]",1610612761.0,TOR,cutting,,,Robinson,O. Robinson,,,,,Restricted Area,0-8 Center,,,1.3,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,
10,PT11M19.00S,2025-02-22T00:43:08.8Z,1,REGULAR,3pt,Jump Shot,[],203952,31.488173455978973,62.5,1610612748,2,0,2025-02-22T00:43:16Z,100000,False,-62.0,243.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,25.14,Missed,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-02-22T00:43:12.8Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,2,0,2025-02-22T00:43:16Z,110000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M10.00S,2025-02-22T00:43:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,69.72733245729303,26.96078431372549,1610612761,2,0,2025-02-22T00:44:00Z,120000,False,-115.0,232.0,1,right,MISS I. Quickley 25' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,25.91,Missed,,,,,,,,,,,,,,,,
13,PT11M06.00S,2025-02-22T00:43:21.4Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,2,0,2025-02-22T00:43:23Z,130000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M55.00S,2025-02-22T00:43:32.0Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612748,2,0,2025-02-22T00:43:36Z,140000,False,,,0,,A. Wiggins lost ball TURNOVER (2 TO),"[203952, 1629628]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,2.0,,,,,,,,,,,Barrett,1629628.0,,,,,,
15,PT10M55.00S,2025-02-22T00:43:32.0Z,1,REGULAR,steal,,[],1629628,,,1610612761,2,0,2025-02-22T00:43:34Z,150000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
