actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-01-04T00:42:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-04T00:42:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-04T00:42:34.1Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-01-04T00:42:34Z,40000,False,,,0,,Jump Ball J. Poeltl vs. G. Bitadze: Tip to I. Quickley,"[1630193, 1627751, 1629048]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-04T00:42:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.9862023653088,53.431372549019606,1610612761,2,0,2025-01-04T00:43:03Z,70000,False,17.0,13.0,1,right,J. Poeltl driving finger roll Layup (2 PTS) (I. Quickley 1 AST),"[1627751, 1630193]",1610612761.0,TOR,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.18,Made,2.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-01-04T00:42:58.8Z,1,REGULAR,foul,personal,['1freethrow'],1629048,,,1610612761,2,0,2025-01-04T00:43:08Z,90000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1629048, 1627751]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
11,PT11M39.00S,2025-01-04T00:43:24.8Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612761,3,0,2025-01-04T00:43:24Z,110000,False,,,0,,J. Poeltl Free Throw 1 of 1 (3 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2025-01-04T00:43:46.4Z,1,REGULAR,3pt,Jump Shot,[],1641783,6.915243101182654,3.9215686274509802,1610612753,3,3,2025-01-04T00:43:51Z,120000,False,230.0,13.0,1,left,T. da Silva 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1641783, 203484]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,23.07,Made,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
14,PT11M03.00S,2025-01-04T00:44:03.1Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,3,3,2025-01-04T00:44:06Z,140000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1629048]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Bitadze,1629048.0,,,,,,
15,PT11M03.00S,2025-01-04T00:44:03.1Z,1,REGULAR,steal,,[],1629048,,,1610612753,3,3,2025-01-04T00:44:04Z,150000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2025-01-04T00:44:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641783,5.863994743758213,49.50980392156863,1610612753,3,3,2025-01-04T00:44:20Z,160000,False,2.0,3.0,1,left,MISS T. da Silva driving reverse Layup - blocked,"[1641783, 1627751]",1610612753.0,ORL,driving reverse,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,0.36,Missed,,,,,,,,,,,,,Poeltl,1627751.0,,,,
17,PT10M52.00S,2025-01-04T00:44:14.3Z,1,REGULAR,block,,[],1627751,,,1610612753,3,3,2025-01-04T00:44:16Z,170000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
