actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-21T00:40:56.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T00:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T00:40:58.5Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2021-11-21T00:40:58Z,40000,,,0,,Jump Ball A. Horford vs. D. Favors: Tip to G. Williams,"[1629684, 201143, 202324]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-21T00:41:10.1Z,1,REGULAR,3pt,Jump Shot,[],203935,70.38436268068331,16.911764705882355,1610612738,3,0,2021-11-21T00:41:18Z,70000,-165.0,226.0,1,right,M. Smart 28' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.0,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-21T00:41:28.9Z,1,REGULAR,2pt,Jump Shot,[],202324,6.652431011826544,73.52941176470588,1610612760,3,0,2021-11-21T00:41:35Z,90000,-118.0,10.0,1,left,MISS D. Favors 11' fadeaway Shot,[202324],1610612760.0,OKC,fadeaway,,,Favors,D. Favors,,,,,11.8,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-21T00:41:30.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,3,0,2021-11-21T00:41:35Z,100000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-11-21T00:41:49.7Z,1,REGULAR,turnover,bad pass,[],203471,,,1610612738,3,0,2021-11-21T00:41:54Z,110000,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1630581]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,1.0,Giddey,1630581.0,,,,,,,,
12,PT11M06.00S,2021-11-21T00:41:49.7Z,1,REGULAR,steal,,[],1630581,,,1610612760,3,0,2021-11-21T00:44:50Z,120000,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-11-21T00:41:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,6.652431011826544,46.81372549019608,1610612760,3,0,2021-11-21T00:42:04Z,130000,16.0,10.0,1,left,MISS L. Dort running Layup - blocked,"[1629652, 1628369]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,1.88,Missed,,,,,,,,,,,,Tatum,1628369.0,,,,,,
14,PT11M01.00S,2021-11-21T00:41:54.6Z,1,REGULAR,block,,[],1628369,,,1610612760,3,0,2021-11-21T00:41:57Z,140000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2021-11-21T00:41:54.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,3,0,2021-11-21T00:42:04Z,150000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
