actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-20T00:45:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T00:45:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-20T00:45:38.4Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-01-20T00:45:38Z,40000,,,0,,Jump Ball A. Horford vs. M. Plumlee: Tip to G. Williams,"[1629684, 201143, 203486]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-20T00:45:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.01511169513797,53.431372549019606,1610612738,0,0,2022-01-20T00:45:59Z,70000,17.0,32.0,1,right,MISS J. Tatum reverse Layup,[1628369],1610612738.0,BOS,reverse,,,Tatum,J. Tatum,,,,,3.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-20T00:45:53.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-01-20T00:45:59Z,80000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-20T00:46:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,14.799605781865965,55.63725490196079,1610612766,0,0,2022-01-20T00:46:23Z,90000,-28.0,87.0,1,left,MISS M. Bridges 9' turnaround fadeaway Shot,[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,9.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-01-20T00:46:12.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-01-20T00:46:23Z,100000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-20T00:46:21.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,94.03745072273325,94.36274509803921,1610612738,0,0,2022-01-20T00:46:33Z,110000,222.0,4.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.18,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-20T00:46:23.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-01-20T00:46:33Z,120000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2022-01-20T00:46:34.3Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,0,0,2022-01-20T00:46:40Z,130000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1627759]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,,,,,,
14,PT11M01.00S,2022-01-20T00:46:34.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2022-01-20T00:47:17Z,140000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-01-20T00:46:39.1Z,1,REGULAR,foul,personal,[],202330,,,1610612738,0,0,2022-01-20T00:47:06Z,150000,,,0,,G. Hayward take personal FOUL (1 PF),"[202330, 1627759]",1610612766.0,CHA,take,,,Hayward,G. Hayward,,,,,,,,,,,,,,200832.0,1.0,0.0,Brown,1627759.0,,,,,,
17,PT10M47.00S,2022-01-20T00:47:13.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,78.79434954007884,64.70588235294117,1610612738,2,0,2022-01-20T00:47:20Z,170000,74.0,147.0,1,right,J. Brown 16' Jump Shot (2 PTS) (D. Schroder 1 AST),"[1627759, 203471]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,16.42,Made,,,,,,,,,,,,,2.0,D. Schroder,203471.0,1.0,,
19,PT10M31.00S,2022-01-20T00:47:29.3Z,1,REGULAR,3pt,Jump Shot,[],202330,23.340998685939553,9.558823529411764,1610612766,2,0,2022-01-20T00:47:35Z,190000,202.0,167.0,1,left,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2022-01-20T00:47:31.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2022-01-20T00:47:35Z,200000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M17.00S,2022-01-20T00:47:49.5Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,2,0,2022-01-20T00:47:56Z,220000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,,,,,,,1.0,,,1627541.0,,,,,,,,,,
23,PT10M02.00S,2022-01-20T00:48:04.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203486,13.354139290407357,51.470588235294116,1610612766,2,2,2022-01-20T00:48:12Z,230000,-7.0,73.0,1,left,M. Plumlee 7' driving Hook (2 PTS),[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,7.34,Made,,,,,,,,,,,,,2.0,,,,,
24,PT09M48.00S,2022-01-20T00:48:23.2Z,1,REGULAR,violation,kicked ball,[],1628970,,,1610612738,2,2,2022-01-20T00:48:46Z,240000,,,0,,M. Bridges kicked ball VIOLATION,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,200832.0,,,,,,,,,,
25,PT09M37.00S,2022-01-20T00:48:46.0Z,1,REGULAR,foul,personal,['3freethrow'],1628970,,,1610612738,2,2,2022-01-20T00:48:59Z,250000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Tatum 3 FT),"[1628970, 1628369]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,200832.0,1.0,0.0,Tatum,1628369.0,,,,,,
27,PT09M37.00S,2022-01-20T00:49:17.1Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,2,2,2022-01-20T00:49:17Z,270000,,,0,,MISS J. Tatum Free Throw 1 of 3,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
