actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-11T00:40:17.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T00:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-11T00:40:19.9Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612738,0,0,2021-11-11T00:40:19Z,40000,,,0,,Jump Ball R. Williams III vs. S. Barnes: Tip to D. Schroder,"[203471, 1629057, 1630567]",1610612738.0,BOS,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Williams III,1629057.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-11T00:40:40.9Z,1,REGULAR,foul,personal,[],1629018,,,1610612738,0,0,2021-11-11T00:40:53Z,70000,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 203471]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,201638.0,1.0,0.0,Schroder,203471.0,,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-11-11T00:41:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,86.5473061760841,62.00980392156863,1610612738,2,0,2021-11-11T00:41:21Z,90000,60.0,74.0,1,right,A. Horford 9' turnaround fadeaway Jump Shot (2 PTS),[201143],1610612738.0,BOS,turnaround fadeaway,,,Horford,A. Horford,,,,,,,,,,9.53,Made,2.0,,,,,,,,,,,,,
10,PT11M01.00S,2021-11-11T00:41:38.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,8.492115637319317,45.09803921568628,1610612761,2,2,2021-11-11T00:41:44Z,100000,25.0,27.0,1,left,S. Barnes alley-oop DUNK (2 PTS) (F. VanVleet 1 AST),"[1630567, 1627832]",1610612761.0,TOR,alley-oop,,,Barnes,S. Barnes,,,,,,,,,,3.67,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
12,PT10M45.00S,2021-11-11T00:41:53.3Z,1,REGULAR,2pt,Hook,[],201143,92.32917214191852,67.64705882352942,1610612738,2,2,2021-11-11T00:42:01Z,120000,88.0,20.0,1,right,MISS A. Horford 9' driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,,,,9.04,Missed,,,,,,,,,,,,,,
13,PT10M41.00S,2021-11-11T00:41:57.3Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,2,2021-11-11T00:42:01Z,130000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,
14,PT10M41.00S,2021-11-11T00:41:58.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,4,2,2021-11-11T00:41:58Z,140000,0.0,0.0,1,right,R. Williams III tip DUNK (2 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,
15,PT10M21.00S,2021-11-11T00:42:17.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,33.327858081471746,44.36274509803921,1610612761,4,2,2021-11-11T00:42:25Z,150000,28.0,261.0,1,left,MISS G. Trent Jr. 26' step back 3PT,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,26.23,Missed,,,,,,,,,,,,,,
16,PT10M19.00S,2021-11-11T00:42:19.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,2,2021-11-11T00:42:25Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M12.00S,2021-11-11T00:42:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,89.70105124835742,95.34313725490196,1610612738,7,2,2021-11-11T00:42:32Z,170000,227.0,44.0,1,right,J. Tatum 3PT  (3 PTS) (D. Schroder 1 AST),"[1628369, 203471]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,23.1,Made,3.0,D. Schroder,203471.0,1.0,,,,,,,,,,
19,PT10M00.00S,2021-11-11T00:42:38.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,6.652431011826544,50.0,1610612761,7,4,2021-11-11T00:42:43Z,190000,0.0,10.0,1,left,O. Anunoby cutting DUNK (2 PTS) (F. VanVleet 2 AST),"[1628384, 1627832]",1610612761.0,TOR,cutting,,,Anunoby,O. Anunoby,,,,,,,,,,1.0,Made,2.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,
21,PT09M46.00S,2021-11-11T00:42:53.0Z,1,REGULAR,2pt,Layup,[],203471,90.75229960578186,72.05882352941177,1610612738,7,4,2021-11-11T00:42:59Z,210000,110.0,34.0,1,right,MISS D. Schroder 11' driving finger roll Layup,[203471],1610612738.0,BOS,driving finger roll,,,Schroder,D. Schroder,,,,,,,,,,11.55,Missed,,,,,,,,,,,,,,
22,PT09M43.00S,2021-11-11T00:42:56.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,7,4,2021-11-11T00:42:59Z,220000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT09M39.00S,2021-11-11T00:42:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,18.873193166885677,43.13725490196079,1610612761,7,4,2021-11-11T00:43:10Z,230000,34.0,125.0,1,left,MISS S. Barnes 12' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,12.95,Missed,,,,,,,,,,,,,,
24,PT09M35.00S,2021-11-11T00:43:03.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,4,2021-11-11T00:43:03Z,240000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,
25,PT09M24.00S,2021-11-11T00:43:15.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.66294349540078,82.1078431372549,1610612738,7,4,2021-11-11T00:43:22Z,250000,161.0,148.0,1,right,MISS J. Tatum 21' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,21.84,Missed,,,,,,,,,,,,,,
26,PT09M22.00S,2021-11-11T00:43:17.2Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,7,4,2021-11-11T00:43:37Z,260000,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,
27,PT09M18.00S,2021-11-11T00:43:24.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,7,4,2021-11-11T00:43:24Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M13.00S,2021-11-11T00:43:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,18.2161629434954,42.8921568627451,1610612761,7,4,2021-11-11T00:45:16Z,280000,36.0,119.0,1,left,MISS P. Siakam 12' floating Shot,[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,,,,,,12.39,Missed,,,,,,,,,,,,,,
